{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ちぃっ…{/n}うちとしたことが 油断したわ！{/n}おぼえとき{var4},{Par}啧…{/n}居然一时大意了！{/n}你们给我记住{var4}
{Par}少しは 強くなったようだな。{/n}{/n},{Par}看来稍微变强了些呢。{/n}{/n}
フェリオ…{/n}どうして この町に来たんだ？{/n},菲力欧…{/n}为什么会来这个城镇？{/n}
{var0}になることは{/n}できなくても、エメロード姫を{/n}助けたい気持ちに変わりはない。,即使无法成为{var0}{/n}但想救艾美诺公主的心意{/n}我从未改变。
それには、ザガートの一味を{/n}倒していくことが、道の一つだと{/n}思わないか？,为此 打倒扎加特一伙{/n}不正是可行之路吗？{/n}
じゃあ…村では ああやって{/n}カルディナの様子を{/n}見ていたのか…！,难道说…在村子里那样{/n}观察卡尔汀娜的动向{/n}原来是…！
そうか！{/n}{/n},原来如此！{/n}{/n}
笛を吹いて人を集めていたのは、{/n}カルディナの術から 村の人の{/n}気を そらすためだったのね！,吹笛子召集大家{/n}是为了分散村民的注意力{/n}免受卡尔汀娜的法术影响吧！
あ…！{/n}{/n},啊…！{/n}{/n}
オレは もともと旅芸人だ。{/n}笛は お手のものだからな。{/n}あんな踊りに負けやしないさ。,我原本就是云游艺人。{/n}吹笛子可是拿手好戏。{/n}才不会输给那种舞蹈呢。
ほら…風。{/n}{/n},你看…风。{/n}{/n}
あのっ…ご、ごめんなさい。{/n}わたくし、何も知らなくて…{/n}つい あんなこと…,那个…对、对不起。{/n}我什么都不知道就…{/n}不小心说出那种话…
…ってな！ また信じたかい？{/n}{/n},…开玩笑的！又上当了吧？{/n}{/n}
…！{/n}{/n},…！{/n}{/n}
そんなもん、女の子集めて{/n}両手に花また花で ああ幸せと{/n}思ってたに決まってるだろう！,那还用说！当然是召集女孩子{/n}左拥右抱享受幸福啦！{/n}
な…な…な…！{/n}{/n},什…什…什…！{/n}{/n}
はっはっはっは！{/n}じゃあな！ また会おうぜ！{/n},哈！哈！哈！哈！{/n}再见啦！下次再会吧！{/n}
{Par}またねーっ。{/n}フェリオーっ{var4}{/n},{Par}再见啦。{/n}菲力欧{var4}{/n}
フェリオって、意外と{/n}テレ屋さんなのかしら？{/n}ねー、風？,菲力欧这人{/n}意外地容易害羞呢？{/n}对吧、风？
知りませんわっ！,才不知道呢！
