{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}火山の噴火だ…！{/n}{/n},{Par}火山喷发了…！{/n}{/n}
これも エメロード姫が{/n}さらわれたせいなの？{/n},这也是因为艾美诺公主{/n}被掳走的缘故吗？{/n}
ここまで セフィーロの自然に{/n}影響が出ているとしたら…{/n}もう 一刻の猶予もありませんわ！,如果锡菲罗的自然环境{/n}已经恶化到这种程度…{/n}那就一刻都不能拖延了呀！
魔神が…{/n}{/n},魔神…{/n}{/n}
え？{/n}{/n},咦？{/n}{/n}
あそこに わたしの魔神がいる！{/n}{/n},我的魔神就在那里！{/n}{/n}
海にセレス、空にウインダム、{/n}そして…{/n},海洋是瑟列斯、天空是温达姆、{/n}然后…{/n}
火山に 光の魔神！{/n}{/n},火山里是光的魔神！{/n}{/n}
きっといる！{/n}行こう、海ちゃん、風ちゃん！{/n},绝对在那里！{/n}出发吧、小海、小风！{/n}
ええ！,嗯！{/n}
