{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}きゃああああああ！{/n}{/n},{Par}呀啊啊啊啊啊！{/n}{/n}
{Par}ゆ、油断したわ！{/n}よくも やってくれたわね{var4}{/n},{Par}太、太大意了！{/n}竟敢这么做{var4}{/n}
いいわ、今日は引いてあげる。{/n}けど、次はそうはいかなくてよ！{/n},算了、今天姑且撤退。{/n}但下次可不会这么容易了！{/n}
{Par}ありがとう、海ちゃん！{/n}{/n},{Par}谢谢你、小海！{/n}{/n}
いいのよ。{/n}それより、フェリオが！{/n},没事的。{/n}倒是菲力欧先生！{/n}
{Par}フェリオさん！{/n}{/n},{Par}菲力欧先生！{/n}{/n}
まいったな…{/n}おまえたちが…{/n}伝説の{var0}だったとは…,真没想到…{/n}你们居然真的…{/n}是传说中的{var0}…
フェリオさん！{/n}しっかりしてくださいっ！{/n},菲力欧先生！{/n}请振作一点！{/n}
ごめんなさい！{/n}わたくしを{/n}かばったばっかりに…！,对不起！{/n}都是因为保护我{/n}才会变成这样…！
クビになったはずなのにな…{/n}損しちまった…ぜ…{/n},明明已经被解雇了…{/n}亏大发了啊…啧…{/n}
フェリオさんっ！{/n}{/n},菲力欧先生！{/n}{/n}
フェリオさんを助けたい…{/n}フェリオさんを…！{/n},好想救菲力欧先生…{/n}菲力欧先生…！{/n}
{Par}忘れるな…{/n}このセフィーロでは 何よりも{/n}意志の力が 勝るのだ…。,{Par}不要忘记…{/n}在锡菲罗最强大的{/n}永远是意志之力…。
「信じる心」こそが、{/n}このセフィーロでは{/n}力になるのだ…！,「相信的心意」{/n}在这个世界{/n}就是力量之源…！
