{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}アルト、ありがとう！{/n}あの時は助かったよ。{/n},{Par}阿尔托、谢谢你！{/n}那时候真是帮大忙啦。{/n}
あの…ぼく…{/n}いっしょに行きたいんだ。{/n},那个…我…{/n}想和大家一起去。{/n}
え…？{/n}{/n},诶…？{/n}{/n}
あの、でも…{/n}ちょっと危険ですのよ、{/n}わたくしたちの旅は…。,那个、但是…{/n}稍微有点危险哦、{/n}我们的旅程…。
いいんだ。協力したいんだ！{/n}ダメだって言っても{/n}ついていくよ！,没关系的！我想要帮忙！{/n}就算你们说不行{/n}我也会跟去的！
遊びに行くんじゃないのよ？{/n}{/n},可不是去玩的喔？{/n}{/n}
…いいよ、アルト。{/n}{/n},…可以啊、阿尔托。{/n}{/n}
光さん！{/n}{/n},光小姐！{/n}{/n}
アルトも目的地までだろうし、{/n}それまで いざとなったら{/n}わたしが守ってあげるよ！,反正阿尔托也要到目的地吧、{/n}期间遇到危险的话{/n}我会保护他的！
光が そこまで言うなら…{/n}{/n},既然光都这么说了…{/n}{/n}
断れませんわね。{/n}{/n},那就没法拒绝了呢。{/n}{/n}
やったぁ！ ありがとう！{/n}{/n},太好啦！谢谢！{/n}{/n}
