{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ぐ…ぐぁあああ！,{Par}呜…呜啊啊啊！
ひ…ヒ・カ・ル・ッ！{/n}{/n},光…光…光…！{/n}{/n}
ラファーガっ{var3}{/n},拉法格{var3}{/n}
こ…殺せっ！{/n}わたしを、殺せっ{var4}{/n},杀…杀死我！{/n}快把我、杀死啊{var4}{/n}
何を言うんだ{var4}{/n}{/n},说什么傻话{var4}{/n}{/n}
わたしは…ザガートに…{/n}洗脳された！ …二度と{/n}解けることは…ない{var4},我…被扎加特…{/n}洗脑了！ …永远{/n}不会解开了…不可能的{var4}
そんな！{/n}{/n},怎么可能！{/n}{/n}
ほうっておけば、また{/n}わたしは おまえたちに{/n}刃を向けるだろう！,放着不管的话、迟早{/n}我又会向你们挥剑的吧！{/n}
その前に…その前に、光！{/n}おまえの剣で…{/n}わたしを{var4},在那…在那之前、光！{/n}用你的剑…{/n}把我{var4}
そんな…そんな…{/n}{/n},这种事情…这种事情…{/n}{/n}
できるわけない！{/n}そんなこと{var4}{/n},根本做不到啊！{/n}这种事情{var4}{/n}
やれ！{/n},动手啊！{/n}
やるんだぁ{var4}{/n},给我动手啊{var4}{/n}
