{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}行っちゃったよ、海ちゃん。{/n}{/n},{Par}走掉了啊、海。{/n}{/n}
人の話を聞いてよー！{/n}{/n},好歹听人说话嘛ー！{/n}{/n}
{Par}ぼくが おしえたげる。{/n}{/n},{Par}我来教你们吧。{/n}{/n}
キミは、あのお兄ちゃんから{/n}「瞬発疾行脚」を{/n}教わった子だね。,你就是跟着那个大哥{/n}学过「瞬发疾行脚」的孩子吧。{/n}
アベニールはね、足だけは{/n}速いけど、腕っぷしは{/n}てんで 弱っちいんだ。,阿贝尼尔那家伙啊、{/n}虽然跑得飞快、但拳头功夫{/n}可差得远咧。
お姉ちゃんたちの方が{/n}強そうだから、お願い！{/n}アベニールを助けてあげて！,姐姐们看起来更强些、{/n}拜托啦！{/n}请救救阿贝尼尔吧！
ああ見えても、ぼくらには{/n}いいアニキ分なんだ！{/n},别看他那样、对我们来说{/n}他可是好大哥啊！{/n}
あーーーーッ！{/n}世話が焼けるわねぇッ{var4}{/n},啊ーーーー！{/n}真会给人添麻烦呢{var4}{/n}
