{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}我らはこの先のローゼンの村の者。{/n}荒れた海に 村人が落ちないよう、{/n}ここで見張りをしているのだが…,{Par}我们是前方罗森村的村民。{/n}为了防止村民坠入狂暴之海、{/n}才在此处站岗放哨的…
なんだか そうぞうしい音が{/n}後ろから聞こえてくる…{/n}ああ、ふりむきたくない！,但后方传来{/n}莫名喧嚣的声响…{/n}啊啊、实在是不敢回头！
{Par}結局 後ろを振り向かぬうちに{/n}海も おだやかになったようだ。{/n},{Par}最终还没来得及回头、{/n}海面似乎已经恢复平静。{/n}
{Par}あな恐ろしや、{/n}荒海に響きわたる{/n}大音声（だいおんじょう）！,{Par}真是可怕啊、{/n}怒涛的巨响惊天动地！{/n}
今にも ここを{/n}逃げ出したいのだが、{/n}足がふるえて動けないのだ。,当时虽然想逃离此地、{/n}双腿却瑟瑟发抖{/n}动弹不得。
{Par}海が静まる直前、いったい{/n}何が おこっていたのか…{/n},{Par}海面归于沉寂的前一刻、{/n}究竟发生了什么…{/n}
知りたいような、{/n}知りたくないような…。{/n},既想知道、{/n}又不敢知道…。{/n}
