{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}クレフの姿は もう見えない…。{/n}{/n},{Par}克雷夫的身影 已经看不见了…。{/n}{/n}
{Par}クレフの姿は もう現れないわ…。{/n}{/n},{Par}克雷夫的身影 不会再出现啦…。{/n}{/n}
{Par}クレフさんは もう お姿を{/n}見せてくださらないようですね…。,{Par}克雷夫先生似乎{/n}已经不会再现身了呢…。
{Par}看板を横から見たところだよ。{/n}{/n},{Par}从侧面看告示牌的样子。{/n}{/n}
{Par}えーっと、板の断面が見えるわ。{/n}厚さは４センチくらいかしら。{/n},{Par}呃…能看到木板的横截面。{/n}厚度大约四厘米左右吧。{/n}
{Par}看板を横から見ても{/n}何も わかりませんわ。{/n},{Par}就算从侧面看告示牌{/n}也看不出什么端倪呢。{/n}
{Par}「花を たいせつに」{/n}  …って書いてある。{/n},{Par}「请爱护花朵」{/n}  …写着这样的标语。{/n}
{Par}「花を たいせつに」{/n}  …って書いてあるわ。{/n}  あたりまえのことよね？,{Par}「请爱护花朵」{/n}  …写着这样的标语呢。{/n}  这不是理所当然的吗？
{Par}「花を たいせつに」{/n}  …とありますわ。{/n},{Par}「请爱护花朵」{/n}  …如此写着。{/n}
このまわりにある{/n}花のことでしょうか？{/n},是指周围这些花朵吗？{/n}{/n}
{Par}ヒビが入っている。{/n}どうにかすれば こわせそうだ。{/n},{Par}出现了裂痕。{/n}似乎用点力就能破坏。{/n}
{Par}ボロボロね。{/n}今にも くずれてきそうだわ。{/n}何とか こわせないかしら？,{Par}破破烂烂的。{/n}眼看就要散架了。{/n}能想办法破坏吗？
{Par}かなり 劣化していますわね。{/n}強い衝撃をあたえれば{/n}こわせそうですわ。,{Par}老化得很严重呢。{/n}施加强力冲击的话{/n}应该就能破坏掉吧。
