{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あっ！{/n}{/n},{Par}啊！{/n}{/n}
おまえらだけじゃ危ない。{/n}オレも ついてってやるよ。{/n},只有你们去太危险了。{/n}我也跟着去吧。{/n}
ラッキー！ ありがたいわ。{/n}{/n},太好了！帮大忙了。{/n}{/n}
フェリオ、助かるよ！{/n}{/n},菲力欧、太感谢了！{/n}{/n}
けっこうですわ。{/n}{/n},不必了。{/n}{/n}
え…。{/n}{/n},诶…？{/n}{/n}
フェリオさんは とっても{/n}お忙しいみたいですから、{/n}ごえんりょ申し上げます。,菲力欧先生似乎{/n}非常忙碌的样子、{/n}就不劳您费心了。
あなたは とりまきの{/n}女の子たちと、ゆっくり{/n}遊んでいればいいんですわ。,您只要和那些{/n}围绕着您的女孩子们{/n}尽情玩乐就好。
…！{/n}{/n},…！{/n}{/n}
ここは わたくしたちだけで{/n}充分ですわ。{/n}ねぇ、光さん、海さん。,这里只靠我们就足够了。{/n}对吧、光小姐、海小姐。{/n}
え…{/n}{/n},呃…{/n}{/n}
いや…その…{/n}{/n},不…那个…{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
あーそうかい。{/n}それじゃ 勝手にしろっ！{/n},啊～这样啊。{/n}那就随你们便吧！{/n}
{Par}風、どういうつもりなの？{/n}{/n},{Par}风、你到底什么意思？{/n}{/n}
フェリオ、待っててくれたのに…{/n}かわいそうだよぉ。{/n},菲力欧特意等着我们…{/n}这样对他太可怜了啦。{/n}
どうして…？{/n}{/n},为什么…？{/n}{/n}
え？{/n}{/n},诶？{/n}{/n}
どうしてですの？{/n}{/n},你问为什么？{/n}{/n}
あんなこと 言うつもりじゃ{/n}なかったのに…{/n}わたくし…わたくし…。,我本来没想说那种话的…{/n}我…我…。{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
風ちゃん…{/n}{/n},小风…{/n}{/n}
風…今度 フェリオに会ったら、{/n}ちゃんと あやまろうね。{/n},风…下次见到菲力欧、{/n}要好好道歉哦。{/n}
ええ…ごめんなさい…{/n}わたくしったら…。{/n},嗯…对不起…{/n}都是我不好…。{/n}
わたしも いっしょに{/n}あやまってあげるよ…ね？{/n},我也陪你一起道歉吧…{/n}好吗？{/n}
ええ…{/n}ありがとうございます、光さん。{/n},嗯…{/n}谢谢你、光小姐。{/n}
じゃ、気をとりなおして{/n}行きましょっ！{/n},那么、就打起精神{/n}出发吧！{/n}
はいっ！{/n}{/n},嗯！{/n}{/n}
