{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}どうくつに住む魔物も退治されて、{/n}このポリーズの村も{/n}安泰だと思ってたのに…！,{Par}明明已经讨伐了洞窟里的魔物{/n}还以为波利兹村{/n}能就此安稳下来…！
{Par}た、たたたた たいへんだ！{/n}{/n},{Par}不、不不不不 不得了！{/n}{/n}
村の裏手の山が、{/n}突然 噴火して…！{/n},村子后山{/n}突然火山爆发了…！{/n}
{Par}ここは 村長の家だ。{/n}{/n},{Par}这里是村长家。{/n}{/n}
そして わたしは 警備の人だ。{/n}{/n},而我是警备人员。{/n}{/n}
ここを守るのが わたしの仕事だ。{/n}でも…{/n},守护这里就是我的工作。{/n}但是…{/n}
コワいよー{var1}{/n}{/n},好可怕啊{var1}{/n}{/n}
{Par}ルキノは エラい！{/n}{/n},{Par}卢基诺真厉害！{/n}{/n}
村をおそった土石流を{/n}魔法で止めようとしたんだ！{/n},他试图用魔法阻止{/n}袭击村庄的泥石流！{/n}
…ダメだったけどね。{/n}{/n},…虽然失败了。{/n}{/n}
{Par}天から 岩が{/n}ドカドカ 降ってきたんだよぅ。{/n}こわかったよぅ。,{Par}天上哐当哐当地{/n}不断有岩石掉下来。{/n}好可怕哟。
こ、これも空から降ってきたんだ。きれいだけど 気持ち悪いから{/n}あげるよっ！,这、这个也是从天上掉下来的。{/n}虽然漂亮但感觉怪怪的{/n}送给你吧！
虹のアミュレット（青）を{/n}手に入れた！{/n},获得了彩虹护身符（蓝）！{/n}{/n}
{Par}裏の山、火山だったんだ！{/n}{/n},{Par}后山居然是火山！{/n}{/n}
今までは{/n}休火山だったってことだよね？{/n},以前明明说是{/n}休眠的死火山对吧？{/n}
{Par}村の南側は 土石流と火山灰で{/n}メチャクチャじゃ…！{/n},{Par}村子南边被泥石流和火山灰{/n}搞得乱七八糟的…！{/n}
{Par}危ないから、{/n}火山に近づいてはいかんぞ。{/n},{Par}太危险了{/n}绝对不可以靠近火山。{/n}
村の南西の道へ入るなぞ{/n}もってのほかじゃ！{/n},村西南边的道路{/n}更是万万不可以进入！{/n}
{Par}魔物は 減じたが、{/n}災難は絶えぬ…！{/n},{Par}魔物虽减少了{/n}灾难却接连不断…！{/n}
{Par}魔物は 確かに 出なくなったが、{/n}次から次へと 事件がおきるな…！{/n},{Par}魔物确实不再出现了{/n}但接二连三的麻烦事又…！{/n}
{Par}あんたら、日記は{/n}ちゃんと つけてるかい？{/n},{Par}你们啊{/n}有好好写日记吗？{/n}
なぜだか知らないが、日記は{/n}ちょくちょく つけておくと{/n}いいらしいよ。,虽然不知道原因、{/n}但是日记还是要时不时{/n}写一写比较好哦。
{Par}この泉は「元気の泉」といってな。のめば 元気いっぱいじゃ！{/n},{Par}这口泉水叫做「元气之泉」哦。{/n}喝了就会元气满满的！{/n}
…って ウチのおじいちゃんは{/n}いうんだけどね。{/n},…虽然是我爷爷{/n}这么说的啦。{/n}
心の元気までは{/n}取りもどせないのよね。{/n},心灵上的元气{/n}可是恢复不了的哟。{/n}
{Par}ううううう。{/n}{/n},{Par}呜呜呜呜。{/n}{/n}
時ならぬ地鳴りを感じて{/n}外に出てみれば 火山の大爆発！{/n},感受到不寻常的地鸣{/n}出去一看竟是火山大爆发！{/n}
きたえなおした結界魔法で{/n}村を守ろうとしたのじゃが、{/n}力 ここに及ばず…,本想用重新锤炼的结界魔法{/n}保护住村子。{/n}无奈力有未逮…
村を半分、壊滅させてしまった…。{/n}不覚じゃ…！{/n},让村子毁掉了一半…。{/n}真是失策啊…！{/n}
ルキノさんはがんばったよ。{/n}ルキノさんが守ってくれなかったら{/n}村は全滅してたかもしれない。,卢基诺先生已经很努力了。{/n}要不是卢基诺先生的守护{/n}村子可能就全灭了。
そんなに 自分を責めないで、{/n}ルキノさん…。{/n},请不要如此自责{/n}卢基诺先生…{/n}
村のみなさんも{/n}感謝していますわ。{/n},村民们也都{/n}对您心怀感激哦。{/n}
ああ、ありがとう。{/n}ありがとうよ…。{/n},啊啊、多谢。{/n}真是多谢了…{/n}
{Par}次にこんなことがあったときは、{/n}その時こそ{/n}村を守って見せるぞー！,{Par}下次再有这种事发生、{/n}到时候就换我来{/n}守护村子给你们看！
そう たびたび{/n}こんなことがあっても{/n}困ってしまいますわねぇ。,不过要是频繁地{/n}发生这种事情{/n}可就伤脑筋了呢。
{Par}ルキノは あれ以来{/n}まじめに魔法の修行を{/n}続けていました。,{Par}卢基诺从那之后{/n}就一直认认真真地{/n}进行魔法修行。
そして今回、火山の噴火から{/n}村を守ろうとしてケガを…{/n},结果这次因为试图阻止火山爆发{/n}为保护村子而受伤…{/n}
村を守りきることは{/n}できませんでしたが、ルキノは{/n}よくやったと思いますわ。,虽然没能完全守住住村子{/n}但卢基诺已经做得很好了。{/n}
{Par}とにかく ビックリしましたわ。{/n}{/n},{Par}总之真是吓坏了。{/n}{/n}
ルキノさんが 土石流を{/n}せき止めてくれていたので、{/n}村人は みな 無事ですわ。,多亏卢基诺先生{/n}阻止了泥石流、{/n}村民们才平安无事。
家を追われた人たちは、{/n}今は ウチの地下室に{/n}避難しています。,失去家园的人们{/n}现在暂时在我家地下室避难。{/n}
{Par}村を全滅から救ったおかげで、{/n}村人の人気はルキノに集中じゃ！{/n},{Par}因为拯救村子免于全灭、{/n}村民的崇拜都集中到卢基诺身上了！{/n}
…ちょっと クヤしいのぅ。{/n}{/n},…稍微有点不甘心啊。{/n}{/n}
{Par}何をかくそう、わが家は{/n}グチャッとつぶれてしまいました。{/n},{Par}实不相瞒、{/n}我家被压得稀巴烂了。{/n}
魔物が出なくなって{/n}安心してたら これだ。{/n}…ツイてないですよね。,魔物消失后刚松口气{/n}就遇到这种事。{/n}…真是倒霉呢。
{Par}魔物がいなくなって{/n}浮かれていた バチが{/n}当たったんと違うか。,{Par}魔物消失后就得意忘形{/n}遭报应了吧。{/n}
{Par}おばあちゃんの{/n}言う通りだったわね…。{/n},{Par}就像奶奶说的{/n}那样呢…{/n}
{Par}ホレ見ろ。わしの言った通り、{/n}災厄は 過ぎ去っては{/n}いなかったんじゃ！,{Par}看吧！正如老朽所言、{/n}灾祸从未真正远离过！{/n}
しかし、それが わが身に{/n}ふりかかろうとはのぅ！{/n},然而竟会降临到{/n}老朽身上啊！{/n}
{Par}いきなり ドォンと音がして、{/n}あっという間に 村は{/n}土石流に包まれました…。,{Par}突然轰隆一声{/n}转眼间村子{/n}就被泥石流吞没了…。
それでも 村が{/n}全滅をまぬがれたのは{/n}ルキノさんのおかげです。,即便如此、{/n}村子还能幸免于难{/n}都是卢基诺先生的功劳。
{Par}あれ以来、ルキノは{/n}人が かわったようじゃ。{/n},{Par}那件事之后、{/n}卢基诺就像变了个人似的。{/n}
以前の 努力家ルキノに{/n}もどったよ。{/n},变回从前那个{/n}努力家卢基诺了。{/n}
{Par}い、いったい これから{/n}どうなっちまうんだ？{/n},{Par}到、到底今后{/n}会变成怎样啊？{/n}
{Par}どうして こんな異変が…？{/n}{/n},{Par}为什么会有这种异变…？{/n}{/n}
{Par}丸太が いっぱい おいてある。{/n}{/n},{Par}堆着很多原木。{/n}{/n}
{Par}こんなに たくさんの丸太、{/n}どうするのかしら？{/n},{Par}这么多原木{/n}要用来做什么呢？{/n}
{Par}たきぎか なにかに{/n}使うんでしょうか。{/n},{Par}是用来当柴火{/n}还是有什么其他用途？{/n}
{Par}たんすだ。{/n}よそ様の家のものだから{/n}勝手にあけちゃいけない。,{Par}衣柜。{/n}别人家的东西{/n}不能擅自打开。
{Par}ちょっと地味な色のたんすだわ。{/n}決して立派ではないけど、{/n}落ちついた感じがするわね。,{Par}颜色朴素的衣柜。{/n}虽然不华丽但很沉稳。{/n}
{Par}たんすが二つ並んでいますわ。{/n}{/n},{Par}并排摆着两个衣柜。{/n}{/n}
{Par}鏡台だね。{/n}{/n},{Par}梳妆台。{/n}{/n}
{Par}鏡台だわ。{/n}セフィーロの人たちにも{/n}鏡を見る風習があるのね。,{Par}梳妆台。{/n}锡菲罗的人们{/n}也有照镜子的习惯呢。
{Par}鏡台ですわ。上に乗っている{/n}ビンは何が入っているのでしょう。化粧品とは思えませんが…。,{Par}梳妆台。{/n}上面的瓶子装着什么？{/n}不像是化妆品…
{Par}鏡がある。{/n}{/n},{Par}是镜子。{/n}{/n}
{Par}鏡があるわ。{/n}…問題なしね、うん。{/n},{Par}是镜子呢。{/n}…没问题、嗯。{/n}
{Par}鏡がありますわ。{/n}きれいにふいてありますわね。{/n},{Par}有面镜子啊。{/n}擦得很干净呢。{/n}
{Par}台所があるよ。{/n}きれいにしてあるね。{/n},{Par}是厨房。{/n}收拾得很干净。{/n}
{Par}小ぎれいなキッチンね。{/n}{/n},{Par}整洁的小厨房。{/n}{/n}
{Par}キッチンは清潔にしてありますわ。こちらの家には奥さんがいて、今は出かけてらっしゃるのでしょうか。,{Par}厨房很干净。{/n}这家有女主人吧、{/n}现在出门了吗？
{Par}かまどだね…。{/n}{/n},{Par}是灶台啊…。{/n}{/n}
{Par}かまどと…オーブンみたいね。{/n}大事に使わないといけないわね…。,{Par}灶台和…烤箱之类的。{/n}必须小心使用才行…。{/n}
{Par}かまどのようなものが{/n}ありますわ…。{/n},{Par}有类似灶台的东西。{/n}{/n}
{Par}お皿やカップが入っているね…。{/n}{/n},{Par}摆放着碗盘杯子。{/n}{/n}
{Par}食器棚だわ。{/n}さすがに立派なものを{/n}そろえているわね…。,{Par}碗橱呀。{/n}摆着挺讲究的餐具呢…。{/n}
{Par}食器の入っているたなですわ…。{/n}{/n},{Par}放着餐具的架子…。{/n}{/n}
