{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}手当しなかったの？{/n}そんなに…{/n}血が出てるじゃない！,{Par}没做应急处理吗？{/n}明明已经…{/n}流了这么多血！
ほうっておいては{/n}危険ですわ！{/n},放着不管的话{/n}很危险的呀！{/n}
フ…フフフ…ホーホホホ！{/n}いいのよ…もう、いいの…{/n}わたしなんか どうなっても…,呵…呵呵呵…噢呵呵呵！{/n}不要紧的…已经、没关系了…{/n}像我这种人变成怎样都…
何を言うんだ！{/n}{/n},说什么傻话！{/n}{/n}
どんな人でも、{/n}命は 大事だよ{var4}{/n},无论是谁、{/n}生命都是宝贵的啊{var4}{/n}
フフ…じゃあ{/n}どうするというの？{/n}敵である わたしを 助ける？,呵呵…那么{/n}你打算怎么做呢？{/n}要救身为敌人的我吗？
… … …。{/n}{/n},… … …。{/n}{/n}
助けるわ！{/n}{/n},我会救你的！{/n}{/n}
ホーホホホ！ どこまで{/n}おめでたいの、あなたたち！{/n}…何も 知らないで！,噢呵呵呵！到底要天真到{/n}什么地步啊、你们这些人！{/n}…明明什么都不知道！
？？{/n}{/n},？？{/n}{/n}
な、何ですって？{/n}{/n},你、你说什么？{/n}{/n}
わたしは…どんなときも…{/n}働いてきた…戦ってきたわ…{/n}あの方のために…。,我啊…无论何时…{/n}都在工作…都在战斗…{/n}为了那位大人…。
あの方を信じて…{/n}{/n},相信着那位大人…{/n}{/n}
あの方を愛して{var4}{/n}{/n},爱慕着那位大人{var4}{/n}{/n}
だのに…{/n}{/n},可是呢…{/n}{/n}
とんだ道化よね、わたしも…{/n}{/n},真是天大的笑话啊、我真是…{/n}{/n}
何を言ってるの{var3}{/n}どうしたのよ、アルシオーネ！{/n},你到底在说什么啊{var3}{/n}怎么了嘛、阿尔希欧蕾！{/n}
フフ…本当に{/n}何も知らないのね…。{/n},呵呵…真的是{/n}什么都不知道呢…。{/n}
幸せなことだわ…。{/n}{/n},真是幸福啊…。{/n}{/n}
ホント、無邪気で…{/n}純粋で…かわいいわ、{/n}あなたたち…,真的、又天真…{/n}又纯洁…又可爱呢、{/n}你们…
殺したいくらいにね{var4}{/n}{/n},可爱得让我想杀了你们哦{var4}{/n}{/n}
