{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}われわれは 庭園の管理人家の{/n}警備を務める者。{/n},{Par}我们是庭园管理人家中{/n}负责警备任务的人。{/n}
管理人さんという人は{/n}ひどく用心深い人で、それでこんな{/n}モノモノしい事になっているのだ！,管理人先生是个{/n}非常谨慎的人、所以才会{/n}搞出这么大阵仗！
{Par}われわれは 庭園の管理人家の{/n}警備を務める者。{/n},{Par}我们是庭园管理人家中{/n}负责警备任务的人。{/n}
今日は朝から ひどくおしかりを{/n}受けて、オレも あんまり{/n}いい気持ちじゃないのだ。,今天从早上开始{/n}就被狠狠地训斥、{/n}我现在心情可不太好啊。
{Par}こらっ！{/n}おまえたち、どうやって{/n}出てきやがった{var3},{Par}喂！{/n}你们这些家伙{/n}是怎么逃出来的啊{var3}
{Par}おまえたち、{/n}犯人じゃなかったんだってな。{/n},{Par}原来你们{/n}不是犯人啊。{/n}
オレは 最初から{/n}そう思っていたぜ。{/n},我打从一开始{/n}就这么觉得啦。{/n}
{Par}なんだか 管理人さん、{/n}だいぶ 落ち込んでたぜ。{/n},{Par}管理人先生{/n}好像相当消沉啊。{/n}
{Par}地上の世界よりの客人か。{/n}管理人さんに{/n}そそうのないようにな。,{Par}来自地上世界的客人吗。{/n}面对管理人先生{/n}要谨言慎行哦。
{Par}ああ、なんてこった！{/n}われわれの信用が…。{/n},{Par}啊啊、这下糟了！{/n}我们的信用…{/n}
{Par}おい！ たのむから{/n}おとなしくしといてくれよ！{/n},{Par}喂！拜托你们{/n}安分点好不好！{/n}
{Par}…通ってよし。{/n}{/n},{Par}…可以通行。{/n}{/n}
{Par}管理人さんに かける言葉も{/n}思いつかないよ。{/n},{Par}实在想不出安慰{/n}管理人先生的话啊。{/n}
{Par}なんで こんな小さい子どもが{/n}こんなところに？{/n},{Par}为什么这么小的孩子{/n}会出现在这种地方？{/n}
{Par}くわしくは まだ聞いてないんだが{/n}きのうの晩、とんでもないことが{/n}おきたらしいぞ！,{Par}详细情况还不清楚{/n}但昨晚好像发生了{/n}什么不得了的大事！
今日は 管理人さんに{/n}話しかけるのは やめようかな…。{/n},今天还是别跟{/n}管理人先生搭话吧…{/n}
{Par}おまえたち、何をやったんだ？{/n}よくは知らんが、命令だからな。{/n},{Par}你们干了什么？{/n}虽然不太清楚、{/n}但这是命令。
{Par}む、おまえたちか…。{/n}{/n},{Par}嗯、是你们啊…{/n}{/n}
{Par}何事があったというのだ？{/n}{/n},{Par}发生什么事了？{/n}{/n}
{Par}ここが 雲の迷宮のカギを{/n}しまってある…あわわわ。{/n},{Par}这里是保管云之迷宫钥匙的…{/n}哇哇哇。{/n}
い、今のは{/n}聞かなかったことにしといてくれ。{/n},刚、刚才的{/n}就当作没听到吧！{/n}
{Par}ここが 事件のあった…{/n}あわわわ。{/n},{Par}这里是案发现场…{/n}哇哇哇。{/n}
な、何を言わせるんだ！{/n}{/n},你、你在让我说什么啊！{/n}{/n}
{Par}ダメダメ！{/n}この部屋に近づいちゃあ。{/n},{Par}不行不行！{/n}不能靠近这个房间。{/n}
{Par}なんと 犯人は{/n}別の人物だったとか！{/n},{Par}听说犯人{/n}另有其人！{/n}
いったい だれが{/n}やったのだろう…？{/n},到底是谁{/n}干的呢…？{/n}
{Par}コトは深刻だ…。{/n}{/n},{Par}事态很严重啊…{/n}{/n}
{Par}大きい本だなだなぁ。{/n}{/n},{Par}好大的书柜啊。{/n}{/n}
{Par}背の高い本だなねぇ。{/n}わたしたちの身長の倍はあるわね！,{Par}好高的书柜呢。{/n}有我们身高的两倍那么高！
{Par}大きな本だなには、{/n}大きな版型の本が並んでいますわ。,{Par}大型书柜上排列着{/n}大开本的书籍。
{Par}本だなだ。{/n}かなり 大きいけど、{/n}別に変わったところはないよ。,{Par}普通的书柜。{/n}虽然挺大的、{/n}但没什么特别之处。
{Par}ふつうの本だなに見えるけどなぁ。{/n},{Par}看起来就是个普通的书柜。{/n}
{Par}本だなは２重になっていて、{/n}各々のたなをスライドさせることができるようになっています。,{Par}书柜是双层结构、{/n}每层都可以滑动。
それによって、{/n}左のデッドスペースが有効に{/n}利用できるようになっていますわ。,这样一来、{/n}左侧死角的空间{/n}就能被有效利用了呢。
…でも、あやしいところは{/n}ありませんわね…♨{/n},…不过可疑的地方{/n}倒是没有呢…♨{/n}
{Par}大きい本だなだ。{/n}別に 変わったところはない。{/n},{Par}大型书柜。{/n}没什么特别之处。{/n}
{Par}本だなだわ。{/n}もう あらさがしは{/n}しなくてもいいのよね？,{Par}是书柜呢。{/n}已经不需要{/n}再调查了吧？
{Par}二重構造の本だなですわ。{/n}{/n},{Par}双层结构的书柜。{/n}{/n}
{Par}大きな本だなには、{/n}大きな版型の本が並んでいますわ。,{Par}大型书柜上排列着{/n}大开本的书籍。
{Par}この辺の本を ごそっと取り出すと{/n}奥に あやしいスイッチが…{/n},{Par}要是把这些书都搬开{/n}后面说不定会有可疑的开关…{/n}
…ありませんわね。{/n}{/n},…并没有呢。{/n}{/n}
{Par}とても立派な 本だなですわね。{/n}{/n},{Par}非常漂亮的书柜呢。{/n}{/n}
{Par}本だなを 横から見たところだ。{/n}{/n},{Par}书柜的侧面。{/n}{/n}
{Par}本だなの横には{/n}シールもはってないし{/n}落書きもされていないわ。,{Par}书柜侧面既没有贴纸{/n}也没有涂鸦。{/n}
{Par}本だなですわ。{/n}横から見ていますから、{/n}これは側板ですわね。,{Par}是书柜。{/n}现在是从侧面看、{/n}这是侧板呢。
{Par}本だなを 横から見ても、{/n}あやしいところはないよ…。{/n},{Par}从书柜的侧面来看、{/n}也没什么可疑之处…{/n}
{Par}じっと 目をこらしてみても{/n}やっぱり ただの本だなだわ。{/n},{Par}就算瞪大眼睛看{/n}也只是普通书柜呢。{/n}
{Par}本だなの側面に、赤い文字で{/n}真犯人の残したメッセージが{/n}書かれているなんて事は…,{Par}书柜侧面上用红字写着{/n}真正的犯人留下的信息什么的…{/n}
ありませんわね…♨{/n}{/n},并没有呢…♨{/n}{/n}
{Par}本だなを 横から見たところだ。{/n}{/n},{Par}书柜的侧面。{/n}{/n}
{Par}落書きもされていなければ{/n}シールもはられていない{/n}本だなだわ。,{Par}既没有涂鸦{/n}也没贴贴纸的{/n}普通书柜。
{Par}別に 何も記されていない{/n}本だなの側面ですわ。{/n},{Par}书柜的侧面{/n}什么标记都没有。{/n}
{Par}鉢植えだ。{/n}ちょっと 元気がないかな？{/n},{Par}盆栽。{/n}好像有点没精神？{/n}
{Par}観葉植物だわ。{/n}色が黄色がかってて、いまいちね。,{Par}观叶植物。{/n}颜色有些发黄、状态不太好啊。
{Par}観葉植物がありますわ。{/n}{/n},{Par}是观叶植物。{/n}{/n}
{Par}このコ、元気がないなぁ。{/n}きっと光の当たらない部屋の中に{/n}いるせいだね…。,{Par}这孩子没精神啊。{/n}一定是因为待在{/n}照不到光的房间里…
{Par}観葉植物よ。{/n}特に 変わったところは{/n}見あたらないけど？,{Par}观叶植物。{/n}暂时没发现{/n}什么异常之处哦？
{Par}観葉植物ですわ。{/n}よく見ると、鉢植えの位置を{/n}ずらしたような形跡が…？,{Par}观叶植物。{/n}仔细看的话、花盆位置{/n}好像有被移动的痕迹…？
ありませんわね…♨{/n}{/n},并没有呢…♨{/n}{/n}
{Par}鉢植えだ。{/n}ちょっと 元気がないかな？{/n}外の光に当ててあげたいな。,{Par}盆栽。{/n}好像有点没精神？{/n}好想让它晒晒太阳。
{Par}観葉植物よ。{/n}ちょっと黄色がかった色の。{/n},{Par}观叶植物。{/n}颜色有些发黄呢。{/n}
{Par}観葉植物の鉢植えですわ。{/n}{/n},{Par}观叶植物的盆栽。{/n}{/n}
{Par}大きなタンスだ。{/n}{/n},{Par}大型衣柜。{/n}{/n}
{Par}かなり奥行きがあるタンスだわ。{/n}こんなのがあったら、どんなに{/n}たくさん 服を買ってもＯＫね！,{Par}好深的衣柜啊。{/n}有这样的衣柜、{/n}买多少衣服都装得下！
{Par}タンスですわ。{/n}かなり古いもののようですが、{/n}よく お手入れされてるようです。,{Par}衣柜。{/n}虽然看起来很旧、{/n}但保养得不错。
{Par}大きいタンスだ。{/n}うーん…別に あやしいところは{/n}見あたらないよ？,{Par}大型衣柜。{/n}嗯…没发现{/n}可疑之处啊？
{Par}奥行きの深いタンスだわ。{/n}変わったところはないように{/n}見えるわね…。,{Par}很深的衣柜呢。{/n}看起来没什么{/n}特别的地方…
{Par}タンスですわ。{/n}何の へんてつもないようですが{/n}実は中に 真犯人がまだ隠れて…,{Par}是衣柜。{/n}其实里面还藏着{/n}真正的犯人什么的…
…は いませんわよね、もちろん♨{/n}{/n},…当然不可能啦♨{/n}{/n}
{Par}大きなタンスだ。{/n}{/n},{Par}大型衣柜。{/n}{/n}
{Par}かなりな奥行きのタンスだわ。{/n}{/n},{Par}很深的衣柜呢。{/n}{/n}
{Par}タンスですわ。{/n}かなり古いもののようですが、{/n}よく お手入れされてるようです。,{Par}衣柜。{/n}虽然看起来很旧、{/n}但放着漂亮的衣物。
{Par}タンスの上に{/n}三つの玉がおいてある。{/n},{Par}衣柜上放着{/n}三个彩色珠子。{/n}
{Par}カラフルな玉が タンスの上に{/n}のってるわね。インテリアにしちゃ見にくいところにあるわね。,{Par}彩色珠子放在衣柜顶上。{/n}作为装饰摆在这里{/n}位置有点奇怪呢。
{Par}タンスの上に 三つ、色違いの{/n}宝玉がおいてありますわ。{/n},{Par}衣柜上摆放着{/n}三个不同颜色的宝珠。{/n}
