{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}また会おう！{/n}{/n},{Par}还会再见的！{/n}{/n}
{Par}な、なに…あいつ{var3}{/n}かっこつけて…！{/n},{Par}什、什么嘛…那家伙{var3}{/n}耍什么帅…！{/n}
またねー！{/n}{/n},再见啦！{/n}{/n}
さ、じゃ 行きましょ！{/n}{/n},好、那我们出发吧！{/n}{/n}
{Par}…って、風！{/n}{/n},{Par}…话说、风！{/n}{/n}
どうしたの、風ちゃん？{/n}{/n},你怎么了、小风？{/n}{/n}
！,！
なっ、なな{/n}なんでも ありませんわ。{/n},没、没没{/n}没什么啦。{/n}
真っ赤よ、風…。{/n}{/n},脸超红哦、风…。{/n}{/n}
えっ…{/n}えっ？ えっ{var3}{/n},诶…{/n}诶？ 诶{var3}{/n}
あなた…{/n}{/n},你该不会…{/n}{/n}
早く 行こうよっ！{/n}{/n},快点走啦！{/n}{/n}
そっ、そそそうですわ、海さん。{/n}もたもたしては{/n}いられませんわよ！,是、是是是呢、海小姐。{/n}可不能在这里{/n}磨磨蹭蹭地啦！
{Par}風ちゃん、そっちじゃないよ。{/n}{/n},{Par}小风、不是那边啦。{/n}{/n}
{Par}…ま、いーけど。{/n}{/n},{Par}…嘛、算了。{/n}{/n}
