{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ちょっと ちょっと！{/n}起きてごらんなさいよ！{/n},{Par}喂喂！{/n}快醒醒啊！{/n}
えー？{/n}{/n},诶～？{/n}{/n}
何ですのー？{/n}{/n},什么事啊～？{/n}{/n}
{Par}うわー、何あれ？{/n}{/n},{Par}呜哇～、那是什么？{/n}{/n}
何か 集会でも{/n}あるんでしょうか？{/n},是在举行什么集会吗？{/n}{/n}
{Par}ナゾなんですぅ！{/n}{/n},{Par}好可疑啊！{/n}{/n}
わあっ！,哇啊！
{Par}街の男たちは 最近、{/n}こうして 夜な夜な{/n}家を抜け出すのです！,{Par}镇上的男人们{/n}最近每到深夜就这样{/n}偷偷溜出家门！
わたしは、遅くまで帳簿を{/n}つけるため 起きているので{/n}気づいたのですが、恐ろしくて…,我是因为要整理账本{/n}熬夜时才发现的、{/n}实在太可怕了…
ふぅん…じゃ、わたしたちが{/n}様子を見てきてあげるよ！{/n},哼嗯…那我们就去{/n}帮你看个究竟吧！{/n}
ちょっと、光！{/n}{/n},等等、光！{/n}{/n}
「困っている人がいるのに{/n}  ほうっておけないよ！」{/n}…ですわよね。,「看到有困难的人{/n}  就不能放着不管啊！」{/n}…对吧。
風ちゃん…。{/n}{/n},小风…。{/n}{/n}
んーもう しょうがないなぁ！{/n}{/n},真是的、真拿你没办法呢！{/n}{/n}
