{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}我らは タフロンの海を{/n}警護していた者。{/n},{Par}我们是在塔夫隆的海边{/n}担任警备的人。{/n}
夜になると、{/n}ローゼンに戻ってきて{/n}村を魔物から守るのだ。,每到夜晚、{/n}就会返回罗森村{/n}守护村庄免受魔物侵扰。
{Par}我らが こうして{/n}一所懸命みはっているのに{/n}怪しい事件が起こっただと！,{Par}明明我们如此{/n}拼命地看守着{/n}居然还会发生可疑事件！
我らの存在価値って{/n}いったい…。{/n},我们的存在价值{/n}究竟…。{/n}
{Par}昼はタフロン、{/n}夜はローゼン。{/n},{Par}白天在塔夫隆、{/n}夜晚在罗森。{/n}
休む間もないとは{/n}まさにこのこと。{/n}キビシーッ！,所谓片刻不得喘息{/n}说的就是这种情况吧。{/n}好严苛啊——！
{Par}あんな事件が起こったおかげで{/n}村のみんなは ますます{/n}用心深くなったようです。,{Par}由于发生了那样的事件{/n}村民们似乎变得{/n}愈发谨慎了。
夜といったら 戸じまりバッチリ、{/n}外には ひとっこ一人{/n}出やしません。,一到晚上就紧闭门窗、{/n}外面连半个人影{/n}都看不到。
わたしら、そんなに{/n}アテになりませんかねぇ。{/n},难道我们{/n}就这么靠不住吗。{/n}
{Par}男の人たちは この家の{/n}東の方に向かっているようですわ。{/n}どうか よろしくお願いします。,{Par}男性们似乎都朝着{/n}这间屋子的东边方向去了。{/n}还请各位多加小心。
{Par}あなた方も 気がつきましたか！{/n}これは いったい…{var3}{/n},{Par}各位也察觉到了吗！{/n}这到底是…{var3}{/n}
{Par}ラファーガ…どうしたんだ？{/n}{/n},{Par}拉法格…怎么了？{/n}{/n}
ん…ヒカル、か。{/n}いや、何でもないが…な。{/n},嗯…是光啊。{/n}不、没什么…{/n}
{Par}うわー、すごい！{/n}これ、氷だよ！{/n},{Par}呜哇、好厉害！{/n}这是冰雕耶！{/n}
{Par}氷のオブジェだわ。{/n}この吹雪で こんなものが{/n}できたのかしら？,{Par}冰雕艺术品呢。{/n}难道是在暴风雪中{/n}自然形成的吗？
{Par}こんな芸術をも{/n}作り出してしまうとは、{/n}自然とは偉大な存在ですわね。,{Par}连这样的艺术品{/n}都能创造出来、{/n}大自然真是伟大的存在呢。
{Par}穴が 大きな岩でふさがれている。{/n}ちょっとやそっとじゃ{/n}びくともしそうもないなぁ。,{Par}洞口被巨大岩石堵住了。{/n}就凭这点力气{/n}根本纹丝不动嘛。
{Par}大きな穴の入り口が{/n}氷の岩でふさがってるわ。{/n},{Par}巨大的洞口被{/n}冰岩堵住了。{/n}
{Par}どうくつの入口に{/n}大きな氷の岩があって{/n}行く手をさえぎっていますわ。,{Par}洞窟入口处{/n}有巨大的冰岩{/n}阻挡了去路。
{Par}これがウワサの火山の地下道だね。ローゼンから 先に行くには、{/n}この岩をなんとかしないと…！,{Par}这就是传闻中的火山地道。{/n}要从罗森继续前进、{/n}必须解决这块岩石…！
{Par}火山の地下道を通るためには、{/n}この大岩がジャマね。{/n}なんとかできないのかしら…？,{Par}要通过火山地道、{/n}这块巨岩很碍事呢。{/n}没办法解决吗…？
{Par}この岩を なんとかして{/n}どかさないと、いつまでたっても{/n}進展はありませんわ。,{Par}不设法移开这块岩石、{/n}就永远无法{/n}取得进展呢。
{Par}よぉし、ラファーガから教わった{/n}「重衝粉砕弾」で{/n}この岩を こわそう！,{Par}好、用拉法格传授的{/n}「重冲粉碎弹」{/n}破坏这块岩石吧！
{Par}「重衝粉砕弾」があれば{/n}こんな岩、「ヘ」でもないわ！{/n},{Par}有「重冲粉碎弹」的话{/n}这种烂石头根本不在话下！{/n}
…あら、わたしったら{/n}今 何か はしたないこと{/n}言っちゃったかしら？,…哎呀、我刚才{/n}是不是说了{/n}不太淑女的话？
{Par}「重衝粉砕弾」で この岩を{/n}こわせば、先の村に続くという{/n}火山の地下道に入れますわね。,{Par}用「重冲粉碎弹」破坏岩石、{/n}就能进入通往邻村的{/n}火山地道了呢。
{Par}こんなところに 大きな台が！{/n}{/n},{Par}这种地方居然有大型舞台！{/n}{/n}
{Par}うわ、なぁに このステージ。{/n}ハデねぇ。{/n},{Par}哇、这舞台怎么回事。{/n}好华丽啊。{/n}
{Par}ステージがありますわ。台としては大きいし、ステージというと{/n}小さいし、表現が難しいですわね。,{Par}这里有舞台呢。作为平台太大、{/n}作为舞台又太小、难以形容呢。
{Par}カルディナの踊っていた{/n}ステージだ。{/n},{Par}卡尔汀娜在这里{/n}跳舞用的舞台。{/n}
{Par}カルディナが 村人をだますために{/n}踊っていたステージよ。まだここにおかれたままになっているのね。,{Par}卡尔汀娜为欺骗村民{/n}而使用过的舞台。{/n}还留在这里啊。
{Par}もともと ここに{/n}あったものなんでしょうか、{/n}このステージ…？,{Par}原本就放在这里的吗、{/n}这个舞台…？{/n}
{Par}この家のとびら、{/n}氷で ふさがっちゃってるよ。{/n},{Par}这间屋子的门{/n}被冰封住了。{/n}
{Par}この家、とびらが氷でできて…ってそんなわけないわね。どうして{/n}こんなになっちゃったのかしら？,{Par}这间屋子的门居然是{/n}用冰做…怎么可能嘛。{/n}为什么会变成这样呢？
{Par}ふきすさぶ雪やひょうが{/n}とびらに こびりついた{/n}結果なのでしょうか？,{Par}是暴风雪中的冰雹{/n}附着在门上的结果吗？{/n}
{Par}ラファーガの家だ。{/n}ラファーガは この氷の扉を{/n}突き破って出入りしているんだ。,{Par}拉法格的家。{/n}拉法格是撞破这冰门{/n}进出这屋子的。
{Par}この氷を破壊して出入りするなんて信じられないわよね！{/n},{Par}居然能破坏冰门出入{/n}真是难以置信！{/n}
でも、わたしたちも できるように{/n}なっちゃってるのよね♨{/n},不过现在我们也{/n}能做到这种事了呢♨{/n}
{Par}「重衝粉砕弾」を得ていますから、今では わたくしたちも この氷を{/n}突き破ることができますわ。,{Par}既然获得了「重冲粉碎弹」、{/n}如今我们也能破开这冰门了。{/n}
{Par}ラファーガは もう{/n}ここにはいない…。{/n},{Par}拉法格已经不在这里了…。{/n}{/n}
{Par}ラファーガが住んでいた家だわ…。今は もう 主のいない…{/n},{Par}拉法格住过的家…。{/n}如今已是人去楼空…{/n}
{Par}ラファーガさんの家ですわ。{/n}いえ、「だった」と{/n}いうべきでしょうか…。,{Par}是拉法格先生的家呢。{/n}或者应该说「曾经是」…{/n}
{Par}窓には 氷がびっちりだ。{/n}{/n},{Par}窗户结满厚冰。{/n}{/n}
{Par}窓には雪や氷がこびりついてるわ。{/n}かろうじて 外の景色が判別できる{/n}…って感じね。,{Par}冰雪覆盖着窗户。{/n}勉强能辨认{/n}外面的景色…吧。
{Par}寒い地方では、部屋の熱が{/n}逃げないように、ふつう{/n}窓を二重構造にするものですが…,{Par}寒冷地区本应该{/n}把窗户做成双层结构{/n}来防止热量流失…
突然の異常気象ということ{/n}なのでしょうか？{/n},难道是{/n}突发的异常气候吗？{/n}
{Par}タオルとスコップだ。{/n}スコップは雪かき用かな？{/n},{Par}毛巾和铲子。{/n}铲子是除雪用的吧？{/n}
{Par}スコップがあるわ。{/n}その上にはタオルがかかってる。{/n}スコップは年期が入ってるわねー！,{Par}有把铲子。{/n}上面搭着毛巾。{/n}铲子很有年头呢！
{Par}スコップの立てかけられた壁には{/n}タオルがかかっていますわ。{/n},{Par}铲子靠着的墙上{/n}挂着毛巾。{/n}
{Par}ラファーガ…。{/n}{/n},{Par}拉法格…。{/n}{/n}
{Par}ラファーガの使っていた{/n}タオルとスコップが{/n}まだ そのままだわ…。,{Par}拉法格用过的{/n}毛巾和铲子{/n}还保持着原样…。
{Par}ラファーガさんの…{/n}遺品、ということに{/n}なりますわね…。,{Par}拉法格先生的…{/n}遗物呢…。{/n}
{Par}ものすごい大きさのベッドだ。{/n}さすが ラファーガ！{/n},{Par}超巨大的床。{/n}不愧是拉法格！{/n}
{Par}想像を絶する大きさのベッドね。{/n}ラファーガほどの体格だと、{/n}確かに このくらいは必要かもね。,{Par}超乎想象的巨床。{/n}以拉法格的体格、{/n}确实需要这么大的呢。
…実は ものすごく{/n}寝相が悪いだけだったりして。{/n},…说不定只是{/n}睡相很差而已吧？{/n}
{Par}ラファーガさんのベッドですわ。{/n}ふつうの倍以上の大きさは{/n}ありますわね。,{Par}拉法格先生的床。{/n}比普通的大了不止一倍啊。{/n}
{Par}ラファーガの寝ていたベッドだ…。{/n},{Par}拉法格睡过的床…。{/n}
{Par}ラファーガのベッドだわ。{/n}一晩だけ 寝かせてもらったことが{/n}あったわよね…。,{Par}拉法格的床。{/n}曾经借宿过一晚呢…。{/n}
{Par}ラファーガさんのベッドですわ。{/n}わたくしたち三人が寝ても{/n}余裕がありましたっけ…。,{Par}拉法格先生的床。{/n}我们三人一起睡{/n}都绰绰有余呢…。
{Par}暖炉を横からみたところだ。{/n}{/n},{Par}壁炉的侧面。{/n}{/n}
{Par}横から暖炉を見ると、{/n}変な表がはってあるわ。{/n}何かしら、これ。,{Par}从壁炉侧面看、{/n}贴着奇怪的表格。{/n}这是什么？
{Par}ラファーガさんの 一日の{/n}トレーニング予定表らしきものが{/n}はってありますわ。,{Par}像是拉法格先生{/n}每日训练计划表{/n}的东西贴在墙上呢。
{Par}暖炉だ。{/n}こんな寒さじゃ{/n}暖炉はかかせないよね。,{Par}壁炉。{/n}这种寒冷天气{/n}少不了壁炉呢。
{Par}暖炉だわ。ヒーターなんかより{/n}趣（おもむき）があって{/n}ロマンチックよね。,{Par}壁炉啊。{/n}比起暖风机更有情调{/n}很浪漫呢。
