{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}犯人に見つからないように、{/n}どこかに かくれないとね。{/n},{Par}为了不被犯人发现、{/n}得找个地方躲起来呢。{/n}
ちょっと ワクワクしちゃうわね。{/n}…張り込みだなんてさ、{/n}刑事ドラマみたいじゃない？,有点让人小兴奋呢～{/n}…埋伏调查这种事、{/n}简直就像刑侦剧不是吗？
海ちゃん…{/n}{/n},小海…{/n}{/n}
… … …{/n}{/n},… … …{/n}{/n}
あ…{/n}ご、ごめん、風…。{/n},啊…{/n}对、对不起、风…。{/n}
えっ…い、いえ、{/n}気にしていませんわよ。{/n},诶…没、没事、{/n}我没放在心上哦。{/n}
光さん、海さん、あの岩かげが{/n}よろしいようですよ。{/n}さ、かくれましょう。,光小姐、海小姐、{/n}那块岩石背面似乎很合适呢。{/n}来吧、快藏好。
{Par}本当に フェリオが{/n}やったのか…？{/n},{Par}菲力欧真的{/n}做了那种事吗…？{/n}
… … …{/n}{/n},… … …{/n}{/n}
風…{/n}{/n},风…{/n}{/n}
