{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ライリーの村へ よく来たな。{/n}{/n},{Par}欢迎来到莱利村 真是辛苦了。{/n}{/n}
おじょうちゃんたちも{/n}どこか 悪くしているのかい？{/n},小姑娘们是哪里不舒服吗？{/n}{/n}
{Par}ここは ライリーの村だが…{/n}{/n},{Par}这里虽然是莱利村…{/n}{/n}
生命の木に向かうんだって？{/n}おじょうちゃんたち。{/n},你们是要前往生命之树吗？{/n}小姑娘们。{/n}
気をつけるんだよ。{/n}{/n},千万要小心啊。{/n}{/n}
{Par}ライリーの村へ よく来たな。{/n}{/n},{Par}欢迎来到莱利村 真是辛苦了。{/n}{/n}
アベニールが{/n}生命の木の葉を{/n}取ってきてくれた。,阿贝尼尔帮我们{/n}取来了生命之树的叶子。{/n}
これで 薬ができるぞ、{/n}おじょうちゃんたち！{/n},这样就能制作药剂了、{/n}小姑娘们！{/n}
{Par}ライリーの村へ よく来たな。{/n}{/n},{Par}欢迎来到莱利村 真是辛苦了。{/n}{/n}
生命の木の薬のおかげで{/n}集まった病人も じきよくなるよ。{/n},多亏了生命之树的药、{/n}聚集的病人们很快就能痊愈啦。{/n}
{Par}治療魔法を使える者が集まって、{/n}この村に 大きな治療院を{/n}作ったんだ。,{Par}能够使用治疗魔法的人们聚集起来、{/n}在这个村子里建造了{/n}大型治疗院。
だけど、なぜだか知らないけど{/n}ここ最近、治療魔法のきき目が{/n}良くなくて…,但不知为何{/n}最近治疗魔法的效果{/n}越来越差…
セフィーロ中から{/n}病気になった人が この村に{/n}集まってくるというのに！,明明整个锡菲罗的病人{/n}都在往这个村子聚集啊！{/n}
{Par}ムリムリ。{/n}{/n},{Par}不行不行。{/n}{/n}
生命の木の葉を{/n}取ってくるなんて、無理無理。{/n},要去取生命之树的叶子{/n}这种事根本做不到嘛。{/n}
{Par}アベニールが こんな{/n}大したことをするなんてなぁ！{/n},{Par}阿贝尼尔居然能完成{/n}这么了不起的事啊！{/n}
{Par}治療魔法を使える者が集まって、{/n}この村に 大きな治療院を{/n}作ったんだ。,{Par}能够使用治疗魔法的人们聚集起来、{/n}在这个村子里建造了{/n}大型治疗院。
セフィーロ中から{/n}病気になった人が{/n}この村に集まってくるんだぜ！,整个锡菲罗的病人{/n}都在往这个村子聚集呢！{/n}
{Par}生命の木の葉っぱさえ{/n}あればのぅ。{/n},{Par}要是有生命之树的叶子{/n}就好了啊。{/n}
{Par}生命の木の葉を取りに行くとな？{/n}期待していますぞ。{/n},{Par}你们要去取生命之树的叶子？{/n}我可是很期待的哦。{/n}
{Par}ウワサでは、{/n}生命の木は 巨大な虫に{/n}くわれていたとか！,{Par}听说生命之树{/n}被巨大的虫子{/n}啃噬过呢！
しかし、あろうことか{/n}アベニールが その虫を{/n}退治したというじゃないか！,然而令人惊讶的是{/n}阿贝尼尔居然{/n}消灭了那些虫子！
これで 枯れかかった木も{/n}すぐにまた 葉が{/n}ついてくるだろうよ。,这样一来 濒临枯萎的树{/n}很快又会长出新叶了吧。{/n}
{Par}生命の木が 再び{/n}葉をつけるのが{/n}待ち遠しいのぅ。,{Par}生命之树重新{/n}长出叶子这件事{/n}真是让人期待啊。
{Par}なんだい、アイアイの村は{/n}大火事になったんだって？{/n}気の毒だねぇ。,{Par}听说艾艾村发生了大火灾？{/n}真是可怜呐。{/n}
{Par}生命の木へは、{/n}村の北にある小道から{/n}行くんだけど…,{Par}要去生命之树的话、{/n}得从村子北边的小路过去…{/n}
魔物がいて危ないよ？{/n}生命の木への道はさ。{/n},但那里有魔物很危险哦？{/n}通往生命之树的路。{/n}
{Par}ああ！ こんなありがたいことが{/n}あったのも、みなエメロード姫の{/n}おかげでございます。,{Par}啊啊！ 能有这般恩惠{/n}全都是托艾美诺公主的福啊。{/n}
{Par}エメロード姫が いなくなったって{/n}ホントなの？{/n},{Par}艾美诺公主失踪的消息{/n}是真的吗？{/n}
残された わたしたちは{/n}どうなるの？{/n},我们这些留下来的人{/n}该怎么办啊？{/n}
{Par}わたしは見た！,{Par}我亲眼看见了！
若い女が ひとり、{/n}生命の木への道に{/n}入っていったのを！,有个年轻女子独自走进了{/n}通往生命之树的道路！{/n}
だが…しかし、かわいそうに。{/n}{/n},不过…真是可怜啊。{/n}{/n}
生きて帰ってくることは{/n}あるまいよ。{/n},不可能活着回来的。{/n}{/n}
{Par}帰ってきたのは、アベニールと{/n}あんたたちだけか…{/n},{Par}回来的只有阿贝尼尔和{/n}你们几位吗…{/n}
その前に入っていった女は、{/n}やはり帰ってこなかったな。{/n},之前进去的那个女人、{/n}果然没回来啊。{/n}
{Par}よぅ！ 元気だったかい、{/n}運の強い おじょうちゃんたち！{/n},{Par}哟！ 最近还好吗、{/n}运气超强的小姑娘们！{/n}
{Par}魔法もきかず 生命の木の葉も{/n}とれなくなってしまって…{/n},{Par}魔法失效 连生命之树的叶子{/n}也采不到了…{/n}
治療院の 患者さんたちも{/n}治療師さんたちも、{/n}元気をなくしてしまいました。,治疗院的患者和治疗师们{/n}都失去了干劲。{/n}
なんとか 元気づけることが{/n}できればいいんですが…。{/n},要是能想办法{/n}让大家振作起来就好了…。{/n}
{Par}アベニールも行ってしまい、{/n}今また あなたたちも…？{/n},{Par}连阿贝尼尔也离开了、{/n}现在连你们也要…？{/n}
お願いだから、{/n}無事で帰ってきてくださいね。{/n},拜托请一定要{/n}平安归来啊。{/n}
{Par}よかった、アベニールも{/n}みなさんも 無事で…{/n},{Par}太好了、阿贝尼尔和{/n}各位都平安无事…{/n}
{Par}村を出ていった治療師さんたち、{/n}どうしているのかしらね。{/n},{Par}离开村子的治疗师们、{/n}不知道现在怎么样了呢。{/n}
{Par}あたしら、心配してるのよ！{/n}{/n},{Par}我们很担心啊！{/n}{/n}
だって、おかしいじゃない？{/n}きかなくなった魔法、{/n}うようよ出てくる魔物…,这不是很奇怪吗？{/n}失效的魔法、{/n}大量出现的魔物…
これ きっと、エメロード姫が{/n}お身体でも悪くされてるに{/n}違いないんだわよ。,这一定是艾美诺公主{/n}身体欠安的缘故啊。{/n}
ああ、心配だわ…！{/n}{/n},啊啊、好担心啊…！{/n}{/n}
{Par}エメロード姫は{/n}どうされているんだろうねぇ…{/n}あたしゃ心配だよ。,{Par}艾美诺公主现在{/n}到底怎么样了呢…{/n}真让人担心啊。
{Par}まことしやかな{/n}ウワサがあるんだけど…{/n},{Par}有个煞有其事的{/n}传闻说…{/n}
エメロード姫が{/n}いなくなったって… {/n}まさかねぇ！ まさか…ねぇ。,艾美诺公主{/n}失踪了…{/n}怎么可能！ 绝对不可能…吧。
{Par}エメロード姫のおかげで{/n}このセフィーロでは みんなが{/n}幸せに暮らしていま…した。,{Par}托艾美诺公主的福{/n}锡菲罗的大家{/n}才能幸福地生活着…。
それが 当たり前すぎたのです。{/n}みんな、感謝の気持ちを忘れて…{/n},这曾是理所当然的事。{/n}大家却忘记了感恩…{/n}
だから 姫は、わたしたちに{/n}罰を与えているのですわ。{/n}ええ、そうに違いありません。,所以公主才要惩罚我们啊。{/n} 没错、一定是这样。{/n}
{Par}どうか わたしたちを{/n}お許しください、姫…！{/n},{Par}请宽恕我们吧、{/n}公主…！{/n}
{Par}エメロード姫…{/n}どうか お姿を{/n}お見せください…。,{Par}艾美诺公主…{/n}恳请您现身一见…{/n}
{Par}もうすぐ かけっこだわ。{/n}{/n},{Par}马上就要赛跑了。{/n}{/n}
治療院にいるコたちの{/n}運動の時間なんだけど、{/n}あたしもまぜてもらうんだ！,是治疗院孩子们的运动时间、{/n}我也要参加哦！{/n}
{Par}体を動かすのって、{/n}気持ちいいよね！{/n},{Par}活动身体{/n}很舒服对吧！{/n}
{Par}病気にならないように、{/n}常日ごろ 運動はしないとね。{/n},{Par}为了不生病、{/n}平时就要坚持运动呢。{/n}
{Par}ライリーの先っていうと、{/n}レクイドという村があるな。{/n}湖のほとりの村だよ。,{Par}莱利村再往西走{/n}有个叫雷奎德的村子。{/n}在湖畔的村子哦。
そこに行くには、この先の{/n}ラカタク大滝にかかっている{/n}橋を渡らなきゃならないんだ。,要去那里必须经过前面{/n}拉卡塔克大瀑布上的桥。{/n}
だが最近 滝の流れが激しいと{/n}いうんで、橋を渡るのは{/n}禁止されているはずだぜ？,但最近听说瀑布水流湍急、{/n}应该已经禁止过桥了吧？{/n}
{Par}なんだか知らないけど{/n}ラカタク大滝の橋が{/n}落ちてしまったんだってよ。,{Par}不知怎么回事{/n}拉卡塔克大瀑布的桥塌掉了。{/n}
そんなに 滝の流れが{/n}すごいってことなのかねぇ！{/n},瀑布的水流{/n}变得那么凶猛了吗！{/n}
{Par}ラカタク大滝の橋は{/n}直そうというやつがいない。{/n}もう一生レクイドには行けないな。,{Par}没人想修拉卡塔克瀑布的桥。{/n}这辈子都去不了雷奎德了。{/n}
{Par}おっと、ボチボチ{/n}治療院に行かないとな！{/n},{Par}哎呀、差不多该去{/n}治疗院了！{/n}
{Par}おじょうちゃん{/n}テレることはないぜ！{/n},{Par}小姑娘{/n}别害羞嘛！{/n}
♨ ♨ ♨{/n}{/n},♨ ♨ ♨{/n}{/n}
{Par}よぅ！{/n}オレとデートする気に{/n}なってくれたのかい？,{Par}哟！{/n}决定要和本大爷{/n}约会了吗？
それどころじゃないのよ！{/n}実は…{/n},现在不是说这个的时候！{/n}其实…{/n}
… … …{/n}{/n},… … …{/n}{/n}
ふむ、そういうことか！{/n}{/n},嗯、原来如此！{/n}{/n}
そんなら おじょうちゃんたちに{/n}「瞬発疾行脚」を{/n}教えるまでもない！,既然如此就不必{/n}教你们「瞬发疾行脚」了！{/n}
