{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}いったぁ！{/n}腰うった…！{/n},{Par}好痛——！{/n}闪到腰了…！{/n}
いけませんわね。{/n}女の子は腰を大切にしなければ。{/n},这样可不行呢。{/n}女孩子必须好好{/n}爱护自己的腰才行。
あのね。{/n}{/n},拜托…。{/n}{/n}
しかし、どこなの、ここは！{/n}何があったっていうの？{/n},可是这里到底是哪里啊！{/n}到底发生什么事了？{/n}
わたくしたち、どこか{/n}別のところへ 飛ばされてしまった{/n}みたいですわね。,看来我们似乎被传送{/n}到了某个陌生的地方呢。{/n}
ここは東京じゃない…。{/n}{/n},这里不是东京…。{/n}{/n}
落ちてくるときに、{/n}空に浮かんだ山が見えた。{/n}遠くに火山も…,掉下来的时候{/n}看到空中漂浮着山。{/n}远处还有火山…
確かに 東京には、空に浮かぶ山も{/n}火山もありませんわ。{/n},确实东京既没有{/n}漂浮在空中的山{/n}也没有火山呢。
来週には{/n}フェンシングの試合があるのよ！{/n}どうしてくれるのよー！,下周还有{/n}击剑比赛啊！{/n}这下要怎么办啊——！
自己紹介でも いたしましょうか。{/n}{/n},不如先做个自我介绍吧。{/n}{/n}
自己紹介ィ？{/n}{/n},自我介绍？{/n}{/n}
東京タワーから ここに来たのは{/n}わたくしたち ３人だけの{/n}ようですし…,从东京塔被带到这里的{/n}似乎只有我们三个人…{/n}
これからどうするか、{/n}とにかく ３人で協力していくしか{/n}ありませんわ。,今后该如何行动、{/n}总之只能靠我们{/n}三人齐心协力了呀。
名案！{/n}{/n},好主意！{/n}{/n}
しょ、しょうがないわねぇ。{/n}{/n},真、真拿你没办法呢。{/n}{/n}
