{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}今日は、ごめん。{/n}いっしょけんめい やったけど、{/n}できなかったよ。,{Par}今天…对不起了。{/n}明明已经竭尽全力了…{/n}但还是没能成功啊。
明日は もっと{/n}がんばるからさ。{/n},明天我会加倍努力的啦。{/n}{/n}
…きれいな目をしている…{/n}{/n},…多么纯粹的眼神…{/n}{/n}
えっ{var3}{/n}{/n},诶{var3}{/n}{/n}
失敗を恐れない 純粋な目だ…{/n}前しか見ない まっすぐな瞳だ…{/n}わたしにも そんな頃があった…,毫不畏惧失败的 纯净的双眸…{/n}永远凝视前方的 坦率的目光…{/n}曾几何时 我也拥有过这样的眼神…
わたしは…エメロード姫付の{/n}親衛隊長だった。{/n},我原本是…艾美诺公主的{/n}直属亲卫队长。{/n}
ザガートが おそってきたとき、{/n}わたしは 姫を守ろうとして{/n}力の限り戦った。しかし…,当扎加特来袭时{/n}我拼上性命想要保护公主{/n}战斗至最后一刻。可是…
わたしの剣は ヤツにかすりもせず{/n}魔法をあびせられ 動けなくなった{/n}わたしの目の前で…,我的剑未能伤及那家伙分毫{/n}反被魔法击中动弹不得{/n}就在我的眼前…
エメロード姫は…{/n}連れ去られてしまったんだ！{/n},艾美诺公主…{/n}竟然被掳走了！{/n}
わたしの剣も、力も…{/n}魔法の前には無力だった…。{/n},我的剑也好力量也好…{/n}在魔法面前都如此无力…。{/n}
こんな わたしには、{/n}もう生きていく目的もない。{/n},这样的我{/n}早已失去活下去的意义。{/n}
だから、この村で おとなしく{/n}余生を過ごそうと思った…。{/n},所以本想在这个村子{/n}安静地度过余生…。{/n}
…だがな…ありがとう、光。{/n}わたしもまた エメロード姫のため{/n}戦ってみたくなったよ。,…但是啊…谢谢你、光。{/n}我也想要为艾美诺公主{/n}而再次奋战了。
ラファーガ…。{/n}{/n},拉法格…。{/n}{/n}
こんな村で くすぶってるのは{/n}もう ヤメだ！ わたしも 戦う！{/n},在这种村子里消沉度日{/n}也该到此为止了！{/n}我也要战斗！
そして…エメロード姫を{/n}助ける方法を探すんだ。{/n},然后…一定要找出{/n}拯救艾美诺公主的方法。{/n}
うん…！{/n}{/n},嗯…！{/n}{/n}
{Par}きゃーっ！,{Par}呀——！
なんだ{var3}{/n}{/n},怎么回事{var3}{/n}{/n}
海ちゃんっ！,小海！
