{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここはレクイドって村だけど…{/n}{/n},{Par}这里虽是叫做雷奎德的村庄…{/n}{/n}
たった今！{/n}ナゾの巨大怪物が！{/n},就在刚才！{/n}神秘的巨大怪物！{/n}
{Par}たいへんだ！{/n}ネロが 精獣を追って{/n}湖に 飛びこんでいったぞ！,{Par}不得了啦！{/n}涅罗追赶着精兽{/n}跳进湖里去了！
ど、どうしよう！{/n}{/n},怎、怎么办呀！{/n}{/n}
{Par}いくら直接の危害はなかろうが、{/n}足音と地鳴りはたまらんのぅ。{/n},{Par}虽说不会直接危害到我们、{/n}但脚步声与地鸣实在教人受不了啊。{/n}
{Par}今までは こわくて部屋で{/n}ふるえてたけど、初めて{/n}湖の精獣というのを見たわ！,{Par}之前都害怕得躲在房间里{/n}瑟瑟发抖、但这是我第一次{/n}见到湖之精兽！
大きくて黒くて…{/n}コワかったのよー！{/n},又大又黑…{/n}好可怕呀ー！{/n}
{Par}ああ、ネロ！{/n}{/n},{Par}啊啊、涅罗！{/n}{/n}
お願いです！{/n}どうか ネロを！{/n},求求你们！{/n}请救救涅罗！{/n}
{Par}ネロが！{/n}ネロが出ていっちまった！{/n}あわわわわわ。,{Par}涅罗！{/n}涅罗跑出去了！{/n}慌慌张张张张。
{Par}青色の玉のついた柱だ。{/n}夜だから 色は{/n}はっきりしないけど。,{Par}镶嵌蓝色珠子的柱子。{/n}因为是夜晚{/n}颜色看不太清呢。
{Par}青い玉のついた…{/n}街灯にしては 夜なのに{/n}光っていないわね。,{Par}蓝色珠子装饰的…{/n}明明是街灯 夜晚却{/n}没有亮起来呢。
{Par}街灯でしょうか？{/n}ライリーにあったものと{/n}よく似ていますわ。,{Par}是街灯吗？{/n}和莱利的款式{/n}很相似呢。
{Par}「セフィーロ博物館 のぼって奥{/n}  宿屋 路地入って 左」{/n}  …と書いてある。,{Par}「锡菲罗博物馆 上行直走{/n}   旅馆 巷子左转」{/n}…这么写着。
{Par}「セフィーロ博物館 のぼって奥{/n}  宿屋 路地入って 左」か…。{/n}「セフィーロ博物館」ねぇ。,{Par}「锡菲罗博物馆 上行直走{/n}   旅馆 巷子左转」啊…{/n}「锡菲罗博物馆」呢。
{Par}上下で二方向の看板ですわ。{/n}「セフィーロ博物館 のぼって奥{/n}  宿屋 路地入って 左」…。,{Par}上下双向指示牌呢。{/n}「锡菲罗博物馆 上行直走{/n}   旅馆 巷子左转」…。
{Par}果物や野菜のお店だったよね。{/n}{/n},{Par}是卖水果和蔬菜的店铺呢。{/n}{/n}
{Par}夜だから 果物には{/n}シートがかぶせてあるわ。{/n},{Par}因为是夜晚{/n}水果都盖着防尘布呢。{/n}
{Par}お店の人がいませんでしたが、{/n}さすがに 夜には 布をかぶせに{/n}いらっしゃるようですわね。,{Par}虽然没看到店员、{/n}但夜晚果然会是{/n}盖上布的样子呢。
{Par}お店を横から見たところだ。{/n}とくに変わったところはないよ。{/n},{Par}摊位的侧面。{/n}没什么特别的。{/n}
{Par}露店（ろてん）を{/n}横から見たところだわ。{/n}ちょっと 汚いかな？,{Par}路边摊位的侧面。{/n}有点脏兮兮的呢？{/n}
{Par}正面はともかく、側面は ふだん{/n}人目に付かないからか、装飾が{/n}おざなりになっていますわね。,{Par}正面姑且不论、{/n}侧面平时没人注意、{/n}所以装饰很敷衍呢。
{Par}食料品のお店ね。{/n}夜だから 果物には{/n}シートがかぶせてあるわ。,{Par}食品店。{/n}因为是夜晚{/n}水果都盖着防尘布呢。
{Par}食べ物を売っている お店ですわ。{/n}夜には 商品に 布をかぶせて{/n}いらっしゃいますわね。,{Par}卖食品的店铺啊。{/n}夜晚会给商品盖上布{/n}看来是这样呢。
{Par}このエレベーターを{/n}動かす機械だね。{/n},{Par}这是驱动电梯的机械吧。{/n}{/n}
{Par}ほんとに こんな小さな機械で{/n}このエレベーターを{/n}動かしてるのかしら？,{Par}真的靠这么小的机械{/n}就能驱动这个电梯吗？{/n}
{Par}エレベータを動かす機械ですわね。それにしても、なぜこんなところにエレベータがあるのでしょう？,{Par}驱动电梯的机械呢。{/n}话说回来、为什么{/n}这里会有电梯呢？
{Par}赤い宝玉だ。{/n}すごく 大きいなぁ！{/n},{Par}红色宝玉。{/n}好大啊！{/n}
{Par}橋の両端に{/n}大きな赤い宝玉があるわ。{/n}いったい何の意味があるのかしら？,{Par}桥头两端各有一个{/n}巨大的红色宝玉。{/n}到底有什么含义呢？
{Par}湖に向けて大きな宝玉が{/n}二つならんでいますわね。{/n}何かを祭るものなのでしょうか？,{Par}面向湖泊的巨大宝玉{/n}成对排列着呢。{/n}是在祭祀什么吗？
{Par}虹のアミュレット（黄）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（黄）！{/n}{/n}
{Par}虹のアミュレット（黄）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（黄）！{/n}{/n}
{Par}虹のアミュレット（黄）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（黄）！{/n}{/n}
{Par}ベンチだ。{/n}{/n},{Par}长椅。{/n}{/n}
{Par}ベンチだわ。{/n}恋人たちが愛を語らうための{/n}ベンチだわ。,{Par}长椅呢。{/n}给恋人谈情说爱用的嘛。{/n}
…なんちゃって。{/n}{/n},…开玩笑的。{/n}{/n}
{Par}ベンチがありますわ。{/n}夜だから ひなたぼっこは{/n}できませんわね。,{Par}有长椅呢。{/n}因为是夜晚{/n}可没法晒太阳哦。
{Par}ベンチを横から見たところだ。{/n}{/n},{Par}长椅的侧面。{/n}{/n}
{Par}ベンチを 横から見ていたって{/n}うれしいことはないわね。{/n},{Par}盯着长椅的侧面{/n}也没什么意思呢。{/n}
{Par}ベンチは すわって ひなたぼっこをするところで、横からながめる{/n}ためのものでは ありませんわ。,{Par}长椅是用来坐的、{/n}不是给人欣赏侧面的呀。{/n}
{Par}暖炉だ。{/n}火は入ってない。{/n},{Par}壁炉。{/n}没有生火。{/n}
{Par}暖炉がある家って、{/n}あこがれちゃうなぁ。{/n},{Par}有壁炉的人家啊、{/n}真令人向往呢。{/n}
{Par}抽象画がかけられていますわ。{/n}{/n},{Par}挂着抽象画。{/n}{/n}
{Par}壁にかかってる{/n}この箱は 何かな？{/n},{Par}墙上这个箱子{/n}是什么呀？{/n}
{Par}壁に箱がかかってるわ。{/n}何かを入れておくものでしょうね。,{Par}墙上挂着箱子。{/n}收纳用的吧。{/n}
{Par}手紙入れでしょうか。重要な手紙は手紙入れに入れておくと かえって{/n}見つかりにくいものですわ。,{Par}像是信箱呢。{/n}重要信件放在信箱里{/n}反而容易找不到呢。
{Par}丸いテーブルだ。{/n}{/n},{Par}圆桌。{/n}{/n}
{Par}丸いテーブルね。{/n}円卓のマジックナイト…{/n}なんちゃって。,{Par}圆桌嘛。{/n}圆桌魔法骑士…{/n}开玩笑的啦。
{Par}丸いテーブルですわ。{/n}緑色のマットが張られていて、{/n}カジノを連想してしまいますわね。,{Par}圆桌呢。{/n}绿色的桌布{/n}让人联想到赌场呢。
{Par}ランプだ。{/n}もし倒れたら たいへんだ。{/n},{Par}油灯。{/n}倒了可不得了。{/n}
{Par}背の高いランプだわ。{/n}かっこいいなぁ。{/n},{Par}高脚油灯。{/n}好帅气啊。{/n}
{Par}ランプですわ。ここまでくると機能性よりも インテリア性が{/n}重要視されていますわね。,{Par}这盏油灯更注重{/n}装饰性而非实用呢。{/n}
{Par}ランプだ。{/n}かさのついた{/n}スタンドタイプだね。,{Par}台灯。{/n}是带灯罩的款式。{/n}
{Par}ランプだわ。{/n}わたしたちにも{/n}なじみのある形ね。,{Par}台灯。{/n}对我们的世界来说{/n}也是熟悉的款式呢。
{Par}ランプですわ。{/n}ランプシェードが透けていて、{/n}光の透過率が よさそうですわね。,{Par}台灯。{/n}灯罩是半透明的。{/n}透光性很好的样子。
{Par}タンスだ。{/n}よそ様の家のものだから{/n}勝手にあけちゃいけない。,{Par}衣柜。{/n}别人家的东西{/n}不能擅自打开。
{Par}背の高いタンスだわ。{/n}威圧感があって、{/n}なんだか 押し倒されそうね。,{Par}高大的衣柜。{/n}压迫感十足、{/n}仿佛要倒下来。
{Par}観音開きのタンスですわ。{/n}{/n},{Par}对开式的衣柜呢。{/n}{/n}
{Par}ま、魔物の絵が立てられている！{/n}{/n},{Par}魔、魔物画像！{/n}{/n}
{Par}机の上に魔物の絵がおいてあるわ！ま、魔物フェチ…。{/n},{Par}桌上摆着魔物画像！{/n}是魔物爱好者啊…{/n}
{Par}魔物の絵がおいてありますわ。{/n}ここの方、魔物マニアで{/n}いらっしゃいますのね…。,{Par}魔物画像呢。{/n}这里的主人{/n}是魔物爱好者吧…。
{Par}ぴかぴかなキッチンだ。{/n}{/n},{Par}闪闪发亮的厨房。{/n}{/n}
{Par}こぢんまりとしたキッチンね。{/n}ちょっと せまい感じがするかな。{/n},{Par}小巧的厨房。{/n}感觉有点挤呢。{/n}
{Par}部屋のスミにセットされるべく{/n}設計されたキッチンですわ。{/n}少し きゅうくつですけれど。,{Par}设计在角落的厨房。{/n}虽然有点局促。{/n}但功能齐全呢。
{Par}落ちつかない感じの壁紙に{/n}絵がかけられている。{/n},{Par}令人不安的壁纸上{/n}画着抽象画。{/n}
{Par}抽象画だわ。{/n}寒色系でまとめられているわね。{/n},{Par}抽象画。{/n}以冷色调为主呢。{/n}
{Par}抽象画ですわ。{/n}壁紙と相まって、{/n}目が回りそうですわね。,{Par}抽象画啊。{/n}和壁纸搭配得{/n}让人眼花缭乱呢。
{Par}きれいな花が かざってあるね。{/n}{/n},{Par}装饰着漂亮的花。{/n}{/n}
