{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}わあぁあ！{/n}{/n},{Par}哇啊啊！{/n}{/n}
これ全部、{/n}プレセアさんが{/n}作ったんですか？,这些全都是{/n}普蕾西娅小姐{/n}制作的吗？
もちろん そうよ。{/n}さ、好きなのを お取りなさい。{/n},当然是啦。{/n}来、选自己喜欢的拿走吧。{/n}
まぁ！ 親切ですわ。{/n}タダで武器をいただけるなんて！{/n},哎呀！ 您真是亲切呢。{/n}居然能免费拿到武器！{/n}
タダじゃないわよ。{/n}{/n},可不是免费的哦。{/n}{/n}
ええっ{var3}{/n},哎哎{var3}{/n}
お金、取るの？,要收钱吗？
やっぱり 世の中{/n}甘くありませんわねぇ。{/n},果然这世上{/n}没有免费的午餐呢。{/n}
お金は いいのよ。{/n}{/n},钱就不用了。{/n}{/n}
え？{/n}でも、タダじゃないって…{/n},哎？{/n}但您说不是免费的…{/n}
好きな武器を持ってっていいけど、それは本当の あなたたちの武器{/n}じゃないの。貸してあげるだけ。,虽然可以拿走喜欢的武器、{/n}但那些并非真正属于你们的武器。{/n}只是暂时借给你们而已。
わたしの創る武器は、どれも{/n}たった一人のためのものなの。{/n},我创造的武器、每一件{/n}都只为特定主人而存在。{/n}
あなたたちの武器は{/n}これから創るのよ。{/n}あなたたちのためだけにね。,你们的武器{/n}现在才要开始制作呢。{/n}专属于你们的武器哦。
でも…{/n}じゃ、この中から{/n}選べっていうのは？,可是…{/n}让我们从这里挑选{/n}又是为什么呢？
何も持たずに{/n}「エテルナ」に行くのは{/n}危険だから…,总不能赤手空拳{/n}前往「艾蒂露娜」吧？{/n}太危险了…
「エテルナ」？{/n}{/n},「艾蒂露娜」？{/n}{/n}
あなたたちのために{/n}わたしは 最高の武器を{/n}創るつもりよ。だから…,我要为你们制作{/n}最顶级的武器。{/n}所以…
材料は自分で取ってきてね！{/n}{/n},请自己去采集材料吧！{/n}{/n}
ええーっ{var3}{/n},哎哎哎{var3}{/n}
なるほど…お金はいらないけど{/n}タダでもないとは、{/n}そういうことだったんですのね。,原来如此…不需要金钱{/n}但也不是免费的意思、{/n}是指这个啊。
そう。あなたたちは 伝説の泉{/n}エテルナに行き、「エスクード」{/n}という鉱物を取ってくるの。,没错。你们要去传说之泉{/n}艾蒂露娜采集叫做{/n}「艾斯古托」的矿物。
「エスクード」？{/n}{/n},「艾斯古托」？{/n}{/n}
セフィーロで 唯一、{/n}成長する武器が創れる鉱物よ。{/n},这是锡菲罗唯一能{/n}制作成长型武器的矿物哦。{/n}
エスクードで創った武器は、{/n}持ち主の技量や精神力に合わせて{/n}成長し、レベルが上がるの。,用艾斯古托制作的武器、{/n}会随着持有者的技巧和精神力{/n}的成长而不断地提升等级呢。
それは お得な武器だわっ！{/n}武器を買い替えなくても{/n}いいんですものね。,那真是划算的武器呀！{/n}不需要频繁更换武器{/n}真是太好了。
でも、持ち主が成長しなければ{/n}武器も成長しないのよ。{/n},不过如果持有者不成长、{/n}武器也不会变强哦。{/n}
武器を買い替えれば{/n}いやでも強くなりますから、{/n}その方が楽といえば楽ですわ。,要是直接更换武器的话、{/n}无论如何都能变强的、{/n}那样反而更轻松呢。
どちらにしても あなたたちは{/n}エスクードで創った武器を{/n}成長させていくしかないわ。,不管怎样你们都必须{/n}使用艾斯古托武器{/n}不断成长下去。
エスクードの武器は{/n}魔神をよみがえらせる{/n}カギのひとつだからね。,艾斯古托武器可是{/n}让魔神复苏的{/n}关键之一呢。
マシン…{/n}クレフも そんなこと言っていた。{/n}マシンって いったい何なんだ？,魔神…{/n}克雷夫也提到过这个。{/n}魔神到底是什么东西？
巨大で 大きな力を持つものよ。{/n}くわしいことは知らないけれど…{/n},是拥有巨大力量的存在哦。{/n}详细情况我也不清楚…{/n}
とにかく、まず{/n}エスクードを取ってくることね。{/n}伝説の泉「エテルナ」へ行って！,总之首先要{/n}去采集艾斯古托。{/n}前往传说之泉「艾蒂露娜」吧！
エテルナの泉までの道は{/n}「沈黙の森」といって{/n}魔法が使えない不思議の森よ。,通往艾蒂露娜泉的道路{/n}叫做「沉默之森」、{/n}是无法使用魔法的神秘森林。
だから、どれでも{/n}好きな武器をお持ちなさい。{/n},所以请带上{/n}趁手的武器吧。{/n}
え…と、いうことは…{/n}なんかコワい怪物が出るとか…？{/n},呃…也就是说…{/n}会遇到可怕的怪物之类的…？{/n}
ちょっとね。{/n}{/n},稍微有点啦。{/n}{/n}
ちょっとって、{/n}どのくらいでしょう？{/n},「稍微」是{/n}指什么程度呢？{/n}
そうね、何人も戦士がエテルナを{/n}めざしたけど、だれ一人帰って{/n}こなかったっていうくらいね。,这么说吧、曾经有许多战士{/n}前往艾蒂露娜、{/n}但没一个人回来过哦。
えええええ{var3}{/n},哎哎哎哎{var3}{/n}
だから、{/n}武器を持って行きなさいって{/n}いってるのよ。,所以我才说{/n}要带上武器嘛。{/n}
よく 武器を見なさい。{/n}今の自分に合ったものが{/n}わかるから。,好好看看这些武器。{/n}应该能感受到与你们{/n}最契合的那一件。
ちゃんと武器は{/n}あなたたちを呼ぶから。{/n},武器会主动{/n}呼唤你们的哦。{/n}
{Par}わたくし、学校では弓道部ですの。{/n}{/n},{Par}我在学校是弓道部的。{/n}{/n}
ウチが剣道の道場だから、{/n}わたしは 小さい頃から{/n}剣道やっていたんだ…。,我家开剑道场、{/n}从小就练习剑道…{/n}
そして わたしは{/n}フェンシング部…{/n},而我是{/n}击剑部…{/n}
なるほど{/n}今のわたしたちに{/n}一番合った武器だわね。,原来如此{/n}确实是最适合{/n}现在的我们的武器呢。
でしょ？{/n}{/n},对吧？{/n}{/n}
その「エテルナ」までは{/n}どう行けばいいんだ？{/n},那个「艾蒂露娜」{/n}要怎么去呢？{/n}
モコナが教えてくれるわ。{/n}つれていきなさい。{/n},摩可拿会带路的。{/n}带它一起去吧。{/n}
ぷぷっぷー！{/n}{/n},噗噗噗ー！{/n}{/n}
