{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここはタフロンの村。{/n}漁師町だが…{/n},{Par}这里是塔夫隆村。{/n}虽说是个渔村…{/n}
岬の方から とんでもない{/n}化け物が海の方に飛んでいった！{/n},从海岬方向有不得了的{/n}魔物往海上飞去了！{/n}
いよいよ この村も{/n}おしまいなのか{var3}{/n},这下子这个村子{/n}也要完蛋了吗{var3}{/n}
{Par}ここはタフロンの村。{/n}漁師町だ。{/n},{Par}这里是塔夫隆村。{/n}是个渔夫小镇。{/n}
海も 少しは{/n}おだやかになったよ。{/n},大海也稍微{/n}平静一些了哦。{/n}
{Par}なんだ、あのでっかい魔物は{var3}{/n}{/n},{Par}什么啊、那个巨大的魔物{var3}{/n}{/n}
{Par}海が静かになったんで、{/n}喜んで漁に出たんだがね。{/n},{Par}因为大海平静下来了、{/n}就高兴地出海打渔了。{/n}
やっぱり 何もとれんのだよ。{/n}{/n},结果还是什么都捕不到啊。{/n}{/n}
いったい この世界に{/n}何がおこっているというんだ？{/n},这世界究竟{/n}发生什么事了？{/n}
{Par}あ、あの魔物…あれが{/n}伝説の巨竜とは思えないが…。{/n},{Par}啊、啊那个魔物…实在无法相信{/n}那就是传说中的巨龙…。{/n}
{Par}あ、あの魔物…{/n}あれが最後の一匹とは思えない…。,{Par}啊、啊那个魔物…{/n}不觉得那是最后一只…。
{Par}しばらく前までは 本当に{/n}おだやかな海でしたが…。{/n},{Par}直到不久前还是{/n}真正平静的大海…。{/n}
あんな魔物まで現れるとは！{/n}{/n},居然连那种魔物都出现了！{/n}{/n}
{Par}ものすごい光景を{/n}目にしたと思ったのだけど…{/n},{Par}还以为目睹了{/n}不得了的景象…{/n}
あれは夢だったのかしら？{/n}{/n},那难道是梦吗？{/n}{/n}
{Par}岬から 飛び立った{/n}あの魔物…{/n},{Par}从海岬飞走的{/n}那个魔物…{/n}
セラの飼っていたものと{/n}よく似ている気がしたけど？{/n},总觉得和塞拉养的那只{/n}长得很像呢？{/n}
{Par}セラは どうするんだろうね、{/n}これから。{/n},{Par}塞拉今后{/n}打算怎么办呢。{/n}
{Par}せ、セラの家から{/n}大きな魔物が！{/n},{Par}塞、塞拉家里{/n}冒出巨大魔物了！{/n}
{Par}この空き家…{/n}{/n},{Par}这间空屋…{/n}{/n}
おっと、{/n}もう空き家じゃないんだった。{/n},哎呀、{/n}已经不是空屋了呢。{/n}
{Par}セラの家が壊れちゃった！{/n}セラ、だいじょうぶかなぁ？{/n},{Par}塞拉家被毁掉了！{/n}塞拉、不要紧吧？{/n}
{Par}セラ、どうするんだろ。{/n}{/n},{Par}塞拉、会怎么做呢。{/n}{/n}
{Par}大人たちが さわいでるけど、{/n}何があったんだ？{/n},{Par}大人们吵吵嚷嚷的、{/n}发生什么事了？{/n}
オレは見てなかったんだよぅ！{/n}{/n},我没看到呀！{/n}{/n}
教えてくれないと、明日{/n}みんなに バカにされちゃうよぅ！{/n},不告诉我的话、{/n}明天会被大家笑话的啦！{/n}
{Par}見た見た？{/n}{/n},{Par}看到了吗？{/n}{/n}
巨人だよ、巨人！{/n}すぐいなくなっちゃったけど、{/n}どこへ行ったのかな？,是巨人哦、巨人！{/n}虽然立刻就不见了、{/n}到底去哪儿了呢？
{Par}ああ、エメロード姫！{/n}どうか この世界を{/n}お救いくだされ…！,{Par}啊啊、艾美诺公主！{/n}恳请您{/n}拯救这个世界…！
{Par}海は 静けさを取りもどした{/n}とはいえ、漁の手ごたえは{/n}全く ないという。,{Par}虽说大海恢复了平静、{/n}但据说完全捕不到鱼。{/n}
やはり、エメロード姫のウワサは{/n}本当なのかのぅ…。{/n},果然、艾美诺公主的传闻{/n}是真的吧…。{/n}
{Par}見た見た？{/n}あれ！{/n}あれって言ったら あれよ！,{Par}看到了吗？{/n}那个！{/n}说到那个就是那个呀！
となりの村からも{/n}見えたんじゃないかしら？{/n},说不定从隔壁村子{/n}也能看到呢？{/n}
{Par}あの山のふもとに{/n}となりの村があって、前は{/n}海を渡って行ってたのよ。,{Par}那座山脚下是隔壁的村子、{/n}以前都是渡海过去的。{/n}
海が静かになったから、{/n}また 行けるように{/n}なってるかもしれないわね！,既然大海恢复平静了、{/n}说不定又能通行了呢！{/n}
{Par}なんでも この世界のあちこちに{/n}虹のアミュレットと呼ばれるモノがかくされているとか！,{Par}据说这世界到处都藏着{/n}叫做彩虹护身符的东西！
赤・だいだい・黄・緑・{/n}青・藍（あい）・紫に{/n}それぞれ輝く石だとか！,赤・橙・黄・绿・青・蓝・紫{/n}闪耀着光芒的石头！{/n}
たくさん集めると{/n}いいことあるらしいが…{/n}ほんとかね？,收集很多的话{/n}似乎会有好事发生…{/n}真的假的？
{Par}いやーん。{/n}ここが見つかるなんてぇ。{/n},{Par}讨厌啦—。{/n}居然被找到这里。{/n}
わたしが こんなとこにいるなんて{/n}ママには ナイショよ？{/n}ね？ ね？,我在这里的事{/n}要对妈妈保密哦？{/n}好吗？好吗？
これあげるからさ、おねがい！{/n}{/n},这个给你、就拜托啦！{/n}{/n}
虹のアミュレット（むらさき）を{/n}手に入れた！{/n},获得了彩虹护身符（紫）！{/n}{/n}
{Par}うーん、おちつくわねぇ、ここは。すずしいし。{/n}ママに 用も言いつけられないし。,{Par}唔—、这里真让人平静呢。{/n}又凉爽又不用被妈妈吩咐做事。{/n}
{Par}ああ、ジムニー…{/n}{/n},{Par}啊啊、吉姆尼…{/n}{/n}
おねえちゃんたち、{/n}ジムニーを助けて！{/n}お願い{var4},大姐姐们、{/n}救救吉姆尼吧！{/n}拜托了{var4}
{Par}ごめんね…{/n}おねえちゃんたちは{/n}悪くないのに、あたし…,{Par}对不起…{/n}姐姐们明明没有错、{/n}我却…
それにしても{/n}家はこわれちゃったし、{/n}あたし、これから どうしよう…。,而且{/n}房子也毁掉了、{/n}我、今后该怎么办…。
{Par}なんてこった！{/n}あのジムニーが…{/n}セラが心配だ！,{Par}糟了！{/n}那个吉姆尼居然…{/n}好担心塞拉！
{Par}この村に{/n}戻ってくることにしたよ。{/n},{Par}我决定{/n}回到这个村子了。{/n}
心配のタネはセラだが…{/n}オレが引き取ろうかと思う。{/n},因为担心塞拉的缘故…{/n}我打算收养她。{/n}
あのコさえ うんと言えばだがな。{/n}{/n},只要那孩子答应的话。{/n}{/n}
おまえたちには{/n}世話になったな。{/n},真是承蒙{/n}你们关照了啊。{/n}
{Par}な、何か あったのかい？{/n}{/n},{Par}发、发生什么事了吗？{/n}{/n}
{Par}セラ？{/n}{/n},{Par}塞拉？{/n}{/n}
…かわいそうではあるよな、{/n}確かに。{/n},…确实挺可怜的呢、{/n}没错。{/n}
{Par}な、何が あったんだい？{/n}{/n},{Par}发、发生什么事了？{/n}{/n}
{Par}セラ？{/n}{/n},{Par}塞拉？{/n}{/n}
別にいいんだけどさ、{/n}いっしょに遊んでも。{/n},倒也不是不行、{/n}一起玩也可以哦。{/n}
{Par}ものすごい音がしましたが、{/n}いったい 何が{/n}あったんでしょう？,{Par}听到了不得了的声响、{/n}究竟发生什么事了？{/n}
{Par}セラ…{/n}元気を出してくれるといいですね。,{Par}塞拉…{/n}希望她能振作起来呢。
ウチのコは なんだか{/n}素直になれないみたいですけど。{/n},虽然我家孩子{/n}好像有点闹别扭。{/n}
{Par}わたしは{/n}このタフロンの村の長老ですが…{/n},{Par}我是{/n}这塔夫隆村的长老…{/n}
こ、このさわぎは いったい…？{/n}{/n},这、这场骚动究竟是…？{/n}{/n}
{Par}わたしは{/n}このタフロンの村の長老ですが…{/n},{Par}我是{/n}这塔夫隆村的长老…{/n}
いったい あれは{/n}何だったのでしょうかのぅ。{/n},那个究竟{/n}是什么呢。{/n}
世の中、{/n}わからないことだらけですじゃ。{/n},这世上、{/n}真是充满未知之事啊。{/n}
{Par}何が起きたのでしょう…{/n}心配です。{/n},{Par}究竟发生了什么…{/n}好担心。{/n}
{Par}セラ…いよいよとなれば{/n}ウチでひきとろうと思うんです。{/n},{Par}塞拉…真到万不得已时{/n}我想接她来我家。{/n}
{Par}何だ何だ、あの怪物は、えー？{/n}{/n},{Par}什么啊什么啊、那个怪物、诶—？{/n}{/n}
{Par}カルタスは 昔の家に{/n}もどってきたっていうじゃないか。,{Par}听说卡尔达斯{/n}回到以前的家里了。
{Par}海だ。{/n}遠くに 氷のどうくつの{/n}こわれたあとが見える。,{Par}是海。{/n}远处能看见{/n}冰之洞窟的残骸。
{Par}静まった海の向こうに{/n}氷の島のあとが見えるわ。{/n},{Par}在平静的大海对面{/n}能看见冰岛的遗迹呢。{/n}
{Par}海は おだやかには{/n}なりましたが…。{/n},{Par}大海虽然{/n}平静下来了…。{/n}
{Par}庭に 花が咲いている。{/n}…なんだか 悲しそうだ。{/n},{Par}庭院里开着花。{/n}…总觉得有点悲伤。{/n}
{Par}庭の花は無事だったのね…。{/n}{/n},{Par}庭院的花平安无事呢…。{/n}{/n}
{Par}花が 悲しく{/n}風になびいていますわ。{/n},{Par}花朵正悲伤地{/n}随风摇曳着呢。{/n}
{Par}「この世界で二番目に{/n}  心のこもった創師の館」{/n}と書いてある。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」{/n}这样写着呢。
{Par}「この世界で二番目に{/n}  心のこもった創師の館」？{/n}何これ。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」？{/n}什么啊这是。
{Par}「この世界で二番目に{/n}  心のこもった創師の館」{/n}…ありがちなコピーですわね。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」{/n}…真是常见的宣传语呢。
