{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここはレクイド。{/n}湖畔の村だよ。{/n},{Par}这里是雷奎德。{/n}湖畔的村子哦。{/n}
今、湖にナゾの巨大怪物が出て{/n}たいへんなんだ。{/n},现在湖里出现神秘巨型怪物{/n}可真是不得了啦。{/n}
{Par}ここはレクイド。{/n}湖畔の村だよ。{/n},{Par}这里是雷奎德。{/n}湖畔的村子哦。{/n}
あの島が 実は{/n}湖の精獣だったなんて、{/n}オドロキだね！,那座岛居然是{/n}湖中精兽变的、{/n}真是吓人一跳呢！
{Par}あそこの 空に浮かぶ岩の上に{/n}町があるのを知ってるか？{/n},{Par}知道那边浮空岩石上{/n}有座城镇吗？{/n}
われわれは 空中庭園と{/n}呼んでいるんだがな。{/n},我们称之为{/n}空中庭园哦。{/n}
なんでも そこには 巨大な鳥の{/n}像があり、庭園を守るものとして{/n}まつられているとか。,据说那里有巨大的鸟型雕像、{/n}作为守护庭园的象征{/n}被供奉着呢。
{Par}わたしも 空中庭園に{/n}行ってみたいものだな。{/n},{Par}我也好想去{/n}空中庭园看看啊。{/n}
{Par}湖には 精獣がやどっていて、{/n}かつては その精獣の背に乗って{/n}空中庭園に行けたという。,{Par}传说湖中栖息着精兽、{/n}过去可以乘着它的脊背{/n}前往空中庭园。
今は昔の話じゃよ。{/n}{/n},如今只是传说啦。{/n}{/n}
{Par}昔のように 湖の精獣に{/n}空中庭園へつれていって{/n}もらえるようになったのぅ。,{Par}终于又能像古时候那样{/n}让湖中精兽载着我们{/n}去空中庭园啦。
{Par}夜 寝ているとな、{/n}どすんどすん 足音がすんだよ。{/n},{Par}晚上睡觉时啊、{/n}会听到咚咚的脚步声哦。{/n}
いや、ウチのかあちゃんの{/n}足音じゃなくてさ。{/n},哎、不是我家老妈的{/n}脚步声啦。{/n}
湖の精獣っていうけど…{/n}ホントかね？{/n},说是湖中的精兽…{/n}真的假的？{/n}
{Par}夜 寝ているとな、やっぱり{/n}どすんどすん 足音がすんだよ。{/n},{Par}晚上睡觉时、果然又{/n}听到咚咚的脚步声啦。{/n}
すわ、また精獣が！{/n}…と思ったんだけどな。{/n},还以为精兽又来了！{/n}…结果啊{/n}
ホントに ウチのかあちゃんの{/n}足音だったとは…♨{/n},居然真的是{/n}我老妈的脚步声…♨{/n}
{Par}オレは見たのさ！{/n}{/n},{Par}我可是亲眼见过的！{/n}{/n}
夜ふけに 巨大な怪物が、{/n}身体をふるわせながら{/n}村を歩き回っていたのさ！,深夜里巨大的怪物{/n}摇晃着身躯在村里游荡！{/n}
そして 湖の中に{/n}消えていったのさ。{/n}本当だぜ！,最后消失在湖里啦！{/n}千真万确！{/n}
{Par}オレは見たのさ！{/n}{/n},{Par}我可是亲眼见过！{/n}{/n}
東の空から 女が{/n}空中庭園の方へと{/n}飛んでいったのさ！,东边的天空{/n}有个女人朝着空中庭园{/n}飞过去了！
本当だぜ！{/n}{/n},绝对是真的！{/n}{/n}
{Par}村をさわがす 湖の精獣だけど、{/n}ふしぎと村の人や家には{/n}害を与えないんだよ。,{Par}虽然湖中的精兽让村子骚动、{/n}但神奇的是对村民和房屋{/n}都没造成损害呢。
ネロの家の{/n}おかあさんくらいかねぇ、{/n}けがなさったのは。,只有涅罗家的妈妈{/n}受了点伤而已。{/n}
{Par}湖の精獣が 村を{/n}歩き回ったのは、背中の土を{/n}落とすためだったなんてねぇ！,{Par}原来湖中的精兽在村里{/n}到处游荡、居然是为了{/n}抖落背上的泥土啊！
じゃあ きっと、{/n}人や家なんかは{/n}よけて歩いてくれたんだろうね。,那它肯定是{/n}特意避开人和房屋{/n}在走动了嘛。
{Par}ザガートって知ってる？{/n},{Par}知道扎加特吗？{/n}
はい{/n},知道{/n}
いいえ{/n},不知道{/n}
{Par}ここだけの話なんだけどね。{/n}{/n},{Par}跟你说个秘密哦。{/n}{/n}
最近の異常気象や天変地異は、{/n}エメロード姫が さらわれて{/n}しまったからだってウワサなの！,最近的异常气象和灾害、{/n}听说都是因为{/n}艾美诺公主被掳走了！
で、姫をさらったのが{/n}神官ザガートなんですって！{/n},而且掳走公主的{/n}就是神官扎加特！{/n}
そんなこと、あるのかしらね？{/n}{/n},这种事真的可能吗？{/n}{/n}
{Par}ザガートと言えば{/n}エメロード城で神官をつとめる、{/n}姫の次に力があるといわれる方よ。,{Par}说到扎加特{/n}可是在艾美诺城担任神官、{/n}地位仅次于公主的大人物。
そんなことも知らないの？{/n}{/n},连这都不知道吗？{/n}{/n}
{Par}この湖の精獣の一件は、{/n}ザガートの悪だくみとは{/n}何も関係がなかったってことね。,{Par}看来湖中精兽事件{/n}和扎加特的阴谋{/n}毫无关系呢。
{Par}この湖の 特徴は、真ん中に{/n}大きな島があることだよ。{/n},{Par}这个湖的特点是{/n}中央有座大岛哦。{/n}
けっこう めずらしいわよね！{/n}{/n},挺少见的呢！{/n}{/n}
{Par}この湖の特徴はっと…{/n}{/n},{Par}要说这湖的特点嘛…{/n}{/n}
大きな島はなくなっちゃったけど、精獣がいるっていう方が{/n}めずらしいわよね！,虽然大岛消失了、{/n}但是有精兽才更稀奇呢！
{Par}なんでも どこぞの村には{/n}魔力の強い魔術師がおって、{/n}結界で村を守っているとか！,{Par}听说某个村子里有{/n}魔力高强的魔法师、{/n}用结界守护着村子！
そんな たのもしい方がいるなんて{/n}うらやましい限りじゃ。{/n},能有这般可靠的人物{/n}真是让人羡慕啊。{/n}
{Par}まったく 人騒がせな精獣じゃ！{/n}{/n},{Par}真是给人添乱的精兽！{/n}{/n}
{Par}おお、びっくりしたかね？{/n}{/n},{Par}哎呀、吓到了吗？{/n}{/n}
安心せい。{/n}これは人形じゃよ。{/n},别担心。{/n}这是玩偶啦。{/n}
わしゃ魔物の人形を{/n}作るのにコってるんじゃ。{/n}わはははは！,老夫正在研究{/n}制作魔物玩偶呢。{/n}哇哈哈哈！
{Par}わはははは。今度は{/n}「一分の一 湖の精獣」を{/n}作ってみようかのぅ！,{Par}哇哈哈哈。下次做个{/n}「等比例缩小 湖中精兽」{/n}试试看吧！
{Par}最近、ことさら{/n}怪物の歩きっぷりが{/n}はげしくなってきてねぇ。,{Par}最近怪物活动{/n}越来越频繁了。{/n}
宿屋の奥さんなんか、{/n}怪物が歩いて起こした地震で{/n}たなの荷物が ガラガラッと…,旅馆老板娘都被{/n}怪物脚步引发的地震{/n}震落的货物砸到…
いや 死んじゃいないけどさ。{/n}{/n},不过没出人命啦。{/n}{/n}
うでにケガをしたんだよ。{/n}{/n},但是手臂受伤了。{/n}{/n}
{Par}これでもう ビクビク{/n}夜を過ごすことは{/n}なくなったわけだわね。,{Par}这下终于不用{/n}提心吊胆地{/n}过夜了。
{Par}村はずれの家の ネロって男の子が{/n}これまた きかんぼうなんだ。{/n},{Par}村口那家的孩子涅罗{/n}可是个冒失鬼呢。{/n}
ほっとくと 怪物をさがして{/n}湖にとびこみかねないよ。{/n},不管他的话说不定{/n}会跳湖找怪物呢。{/n}
{Par}村はずれの家の ネロってコは{/n}無鉄砲だが、なかなか{/n}いいところあるじゃないか。,{Par}村口那家的涅罗虽然莽撞、{/n}但本性不坏哦。{/n}
湖の精獣をやっつけようと{/n}したのも、おかあさんを{/n}思ってのことだものな。,想打倒湖中的精兽{/n}也是担心妈妈嘛。{/n}
{Par}ネロったら、おかあさんに{/n}ケガさせた 湖の精獣を、自分が{/n}やっつけてやるなんて言うのよ。,{Par}涅罗那孩子、说是要{/n}为受伤的妈妈报仇呢。{/n}
気持ちはわかるけど…{/n}そんなこと できるわけ{/n}ないじゃない？,心情可以理解…{/n}但这种事情{/n}怎么可能办得到嘛？
{Par}ネロったら、何の考えもなく{/n}湖の精獣に向かっていくなんて…{/n},{Par}涅罗居然想都不想{/n}就冲向湖中的精兽…{/n}
ほんと、バカなんだから…！{/n}{/n},真是个大笨蛋…！{/n}{/n}
{Par}ああ、このケガですか？{/n}{/n},{Par}啊、你说这个伤？{/n}{/n}
怪物の歩く振動で たなの荷物が{/n}落ちてきちゃいましてね。いえ、{/n}たいしたことないんですよ。,被怪物脚步震落的{/n}货物掉下来砸的。没事啦、{/n}小伤而已。
でも、息子のネロが{/n}いたく 気にしましてね。{/n},但是我儿子涅罗{/n}特别在意这事。{/n}
どうしても怪物を やっつけて{/n}やるんだと…だいそれたことを{/n}しなければいいのですが。,说什么非要报仇不可…{/n}希望他别乱来啊。{/n}
{Par}ああ、あなたたち…{/n}ネロを助けていただいて、{/n}本当にありがとうございました。,{Par}啊啊、你们…{/n}救了涅罗、{/n}真是太感谢了。
{Par}湖の怪物め、許せないよ！{/n}かあちゃんにケガさせて…{/n},{Par}湖里的怪物、不可原谅！{/n}居然让妈妈受伤…{/n}
そういえば、伝説の{/n}{var0}が 本当に{/n}現れたってウワサがあるけど…,对了、听说传说中的{/n}{var0}真的出现了…{/n}
ボクを{/n}弟子にしてくれないかなぁ！{/n},能收我当徒弟吗？！{/n}{/n}
そしたら もっと強くなって、{/n}かあちゃんのカタキが{/n}とってやれるのに…。,这样我就能变强、{/n}给妈妈报仇了…{/n}
うーん…{/n}今、弟子はとってないなぁ。{/n},嗯…{/n}现在还没打算收徒呢。{/n}
ちょっと、光さん！{/n}{/n},喂、光小姐！{/n}{/n}
え…{/n}じゃあ…{/n},呃…{/n}那…{/n}
うそつけ！{/n}おまえらみたいなのが{/n}{var0}なわけないだろ！,骗人！{/n}你们这种家伙{/n}怎么可能是{var0}啊！
あらあら。{/n}{/n},哎呀呀。{/n}{/n}
