{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}アスコット…{/n}{/n},{Par}阿斯柯特…{/n}{/n}
これは どういうことだ、{/n}カルディナ…{var3}{/n},这究竟是怎么回事、{/n}卡尔汀娜…{var3}{/n}
え…そ、それは…その…{/n}{/n},诶…那、那个…这个…{/n}{/n}
そ、そや！ {var0}の{/n}弱点をさぐるため、{/n}スパイしてるんですわ！,对、对啊！为了打探{/n}{var0}的弱点、{/n}正在当间谍呐！
その言葉に{/n}いつわりは ないな…？{/n},这些话里{/n}没有谎言吧…？{/n}
何言うてんねん{var4}{/n}当たり前や！{/n}いちいちうるさいで、イノーバ！,说啥子蠢话{var4}{/n}这不是当然的嘛！{/n}不要唠叨个没完、伊诺巴！
… … …。{/n}{/n},… … …。{/n}{/n}
しばらく 様子を見る。{/n}{/n},姑且 观察一下。{/n}{/n}
はっ。{/n}{/n},是。{/n}{/n}
{Par}アスコット…{/n}あんた、いったい{/n}どういうつもりなん…！,{Par}阿斯柯特…{/n}你这家伙、到底是{/n}打的什么主意…！
スパイねぇ…フフ…{/n}ホントかしら？{/n},间谍啊…呵呵…{/n}真的吗？{/n}
何やて{var3}だれや！{/n}{/n},搞啥子{var3}谁啊那是！{/n}{/n}
{Par}それにしては アスコット、{/n}ずいぶんと{/n}楽しそうじゃなかった？,{Par}可是话说回来{/n}阿斯柯特、看起来{/n}不是挺乐在其中的吗？
アルシオーネ！{/n}{/n},阿尔希欧蕾！{/n}{/n}
アホなこと言わんとき！{/n}あのコに限って、{/n}そんなこと あらへんわ！,少说蠢话！{/n}唯独那孩子、{/n}绝不可能做这种事呀！
それよか、あんたはどうやねん？{/n}城から逃げだしといて、{/n}よう また顔出せたもんやな！,比起那个、你又是怎样啊？{/n}明明从城里逃出来、{/n}居然还敢露脸呐！
フ…ザガート様に{/n}うちが言うたら、今度ばっかりは{/n}あんたも 一巻の終わりやで！,哼…要是我告诉扎加特大人、{/n}你这回可就彻底完蛋咯！{/n}
そうね…けど、今はあなたの方が{/n}ザガート様と 顔を{/n}あわせにくいのではなくて？,是的呢…不过现在、{/n}您不是应该更不敢见{/n}扎加特大人才对吗？
う、うるさいなぁ！{/n}ほっといてんか！{/n},呜、烦死人啦！{/n}少管我啦！{/n}
そう にらまないでちょうだい。{/n}わたしたちは仲間でしょ？{/n},别这么瞪人家嘛。{/n}我们不是同伴吗？{/n}
何が仲間や、気色悪い！{/n}ウチをバカにしとんのやったら{/n}しょうちせぇへんで！,谁跟你是同伴、恶心死了！{/n}你要是敢小看我的话{/n}我可不会善罢甘休咧！
{Par}そう熱くならないで、{/n}カルディナ…いい話を{/n}もってきてあげたのだから…。,{Par}别那么激动嘛、{/n}卡尔汀娜…我可是{/n}给你带来好消息了哦…。
何やの。{/n}サッサと言いィな{var4}{/n},啥子事。{/n}赶紧说啊{var4}{/n}
{var0}の卵さんたちの{/n}次の 行き先よ。{/n}そこで待ち伏せれば…,{var0}的菜鸟们{/n}接下来的目的地哟。{/n}在那里埋伏的话…
{Par}よっしゃ！{/n}{/n},{Par}太好咧！{/n}{/n}
{Par}フッフッフッフ…{/n}ホーホホホホホ{var4}{/n},{Par}呵呵呵呵…{/n}嚯嚯嚯嚯嚯{var4}{/n}
