{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ああ、これか？{/n}{/n},{Par}啊、这个啊？{/n}{/n}
この辺は特に 雪やみぞれの{/n}吹きだまりでな。ドアが すぐ{/n}氷づけになってしまう。,这附近时常有暴风雪、{/n}门总是被冰{/n}封得严严实实的。
毎回 氷を突き破って{/n}家に出入りしているんだ。{/n},每次都得凿开冰层{/n}才能进出屋子。{/n}
すごいなー{var4}{/n}よっぽど 体を{/n}きたえてるんだね！,好厉害啊——{var4}{/n}您的身体{/n}一定锻炼得很强壮吧！
む…いや…{/n}まあ、な。{/n},唔…不…{/n}这个嘛…{/n}
あの…{/n}それには 何か{/n}コツとか あるのでしょうか？,那个…{/n}这其中有什么{/n}诀窍之类的吗？
…何が言いたい？{/n}{/n},…你想说什么？{/n}{/n}
単刀直入に言うわ。{/n}その技を 教えてほしいのよ。{/n},我就直说了。{/n}请把这招教给我们吧。{/n}
その技なら、ふさがっている{/n}地下道の入り口を開けられるわ！{/n},用这招的话、就能打开{/n}被冰封的地下道入口！{/n}
この技を…？{/n}それは…ダメだ。{/n},这招…？{/n}不行…{/n}
どうして{var3}{/n}{/n},为什么啊{var3}{/n}{/n}
オレはもう ここで 静かに{/n}暮らしたいんだ。よけいなことに{/n}関わりたくはない。,我只想在这里{/n}安静生活。不想卷入{/n}麻烦事里。
ラファーガさん…わたくしたちには{/n}どうしても やらねばならない{/n}ことが あるんです。,拉法格先生…我们{/n}有无论如何{/n}都必须完成的事。
おまえたち、いったい…？{/n}{/n},你们到底是…？{/n}{/n}
わたしたち、{/n}エメロード姫を助けに行くんだ！{/n},我们是要去{/n}拯救艾美诺公主！{/n}
そのためには…真の{/n}{var0}となるためには、{/n}あそこを通って先に行かないと…,为此…要成为真正的{/n}{var0}、必须{/n}穿过那里继续前进…
{var0}だと！{/n}あの、伝説の…？{/n}おまえたちが…？,{var0}！{/n}那个传说中的…？{/n}你们居然是…？
姫を助けるには、エスクードの{/n}武器を成長させ、魔神たちを{/n}よみがえらせなければならない。,要救公主、就必须{/n}让艾斯古托武器成长、{/n}并让魔神们复苏。
そのためには、{/n}あなたの技が 必要なのよ！{/n},所以我们{/n}需要您的招数！{/n}
お願いです、ラファーガさん{var4}{/n}{/n},求您了、拉法格先生{var4}{/n}{/n}
ふ…おまえたちのような{/n}子どもがな…ふ…はっはっは！{/n},哼…像你们这样的小鬼头{/n}居然…呵…哈哈哈！{/n}
？,？
ラファーガ…さん？{/n}{/n},拉法格…先生？{/n}{/n}
よかろう！ 特訓だ{var4}{/n}{/n},好吧！特训开始{var4}{/n}{/n}
はいっ！,是！
{Par}いいか！ 助走して{/n}スピードが乗ったら{/n}気合いをこめるんだ！,{Par}听好了！助跑加速后{/n}要把气势{/n}集中到一点！
名付けて、「重衝粉砕弾」！{/n} （じゅうしょうふんさいだん）{/n},这招就叫「重冲粉碎弹」！{/n}{/n}
よぉし、やってみろ！{/n}{/n},来吧、试试看！{/n}{/n}
はいっ！,是！
{Par}気合いが足りぃん！{/n}気合いを一点に集中させろ{var4}{/n},{Par}气势不够啊！{/n}把气势凝聚到一点{var4}{/n}
{Par}まだまだぁ！{/n}{/n},{Par}还差得远呢！{/n}{/n}
{Par}まだまだまだぁ！{/n}{/n},{Par}还差得差得远呢！！{/n}{/n}
{Par}まだまだまだまだぁ！{/n}{/n},{Par}还差得差得差得远呢！！！{/n}{/n}
{Par}今日は こんなところだろう。{/n}明日、続きをやるぞ！{/n},{Par}今天就到此为止。{/n}明天继续！{/n}
は、はいっ！{/n}{/n},是、是！{/n}{/n}
{Par}今夜は ウチに{/n}泊まっていくがいい。{/n},{Par}今晚就{/n}在我家留宿吧。{/n}
