{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}わしは ポリーズの村を{/n}救おうとして、果たすこと{/n}かなわなかったが…,{Par}老夫本想拯救波利兹村{/n}却未能达成心愿…{/n}
おまえたちは 必ず{/n}セフィーロを救ってくれると{/n}信じておるぞ。,但老夫坚信你们必定{/n}能够拯救锡菲罗。{/n}
{Par}そこの フェリオという少年に{/n}事情をきいて やってきたんだ。{/n},{Par}向那边叫菲力欧的少年{/n}打听了事情的经过后{/n}就赶过来了。
おまえたちが こんな{/n}だいそれた使命を{/n}せおっていたなんてな。,没想到你们背负着{/n}如此重大的使命啊。{/n}
とにかく、がんばれよ！{/n}{/n},总之、请加油吧！{/n}{/n}
{Par}お姉ちゃんたち、がんばって！{/n}絶対 絶対 帰ってきてね！{/n},{Par}大姐姐们要加油啊！{/n}绝对绝对要回来哦！{/n}
そして、{/n}カルタスとあたしの家に{/n}遊びに来て。,然后一定要来{/n}卡尔达斯和我的家里玩哦。{/n}
待ってるから。{/n}ずっと 待ってるから！{/n},我会一直等着的。{/n}永远等着你们！{/n}
{Par}あなたたちのおかげで{/n}ライリーの村に集まる{/n}みんなは助かりました。,{Par}多亏了你们、{/n}聚集在莱利村的{/n}大家才能得救。
その上、さらに{/n}あなたたちを 戦いの場に{/n}送り出さねばならないなんて…,然而现在却要{/n}再次把你们送上战场…{/n}
心苦しいばかりですが、{/n}わたしには{/n}祈ることしかできません。,虽然于心不忍、{/n}但我也只能为你们祈祷。{/n}
{Par}ここだけの話だけどよ、{/n}けっこう アルティナとは{/n}うまくいってんだよ。,{Par}偷偷告诉你们哦、{/n}我和阿尔缇娜{/n}现在处得挺不错呢。
あんたたちのおかげだぜ。{/n}ありがとうよ。{/n},都是托你们的福。{/n}多谢啦。{/n}
で、また 戦いに行くんだってな？{/n}無事で帰って来いよ！{/n},听说你们又要去战斗了？{/n}一定要平安回来啊！{/n}
そしたら 特別に{/n}デートしてやっからよ！{/n},到时候特别{/n}跟你约会一次！{/n}
{Par}おねえちゃんたち、ホントに{/n}{var0}だったんだね！,{Par}大姐姐们果然是{/n}{var0}啊！
あ、握手してくんないかな？{/n}{/n},啊、能和我握个手吗？{/n}{/n}
うわ、ラッキー！{/n}{/n},哇、太幸运了！{/n}{/n}
戻ってきたら{/n}今度は サインがほしいな！{/n}ね、約束だよ！,回来之后{/n}下次想要签名！{/n}约好了哦！
{Par}ついに ここまで来たな。{/n}光、海、風！{/n},{Par}终于走到这一步了。{/n}光、海、风！{/n}
たのむぜ！ 魔神を 身にまとう{/n}ことができるのは、おまえたち{/n}{var0}だけなんだ！,拜托了！ 能够驾驭魔神的{/n}只有你们{var0}啊！{/n}
さすがのオレも、{/n}空の上までは{/n}助けに行けないからな！,就算是我也没办法{/n}到天上去支援你们啊！{/n}
{Par}がんばれよ！{/n}光、海、風！{/n},{Par}加油啊！{/n}光、海、风！{/n}
{Par}魔神三体が 真なる復活を{/n}果たせば、このセフィーロの{/n}魔法力バランスがくずれ…,{Par}当三尊魔神真正复苏之时、{/n}锡菲罗的魔力平衡{/n}将会被打破…
ザガート城が 姿を現す！{/n}{/n},扎加特城 也将会显现！{/n}{/n}
その一瞬のスキをついて、{/n}光、海、風…魔神をまとい{/n}ザガート城につっこむのだ！,抓住那个瞬间的破绽、{/n}光、海、风…操纵魔神{/n}冲进扎加特城吧！
{Par}ザガート城まで行けば、{/n}もう 後戻りはできないぞ。{/n}準備は いいか？{/n},{Par}一旦进入扎加特城{/n}就再也无法回头了。{/n}准备好了吗？{/n}
はい{/n},是{/n}
いいえ{/n},否{/n}
{Par}…そうか。{/n}心残りのないように{/n}しておくがいい。,{Par}…这样啊。{/n}趁现在把未了之事{/n}都处理妥当吧。
{Par}よし！{/n}{var0}よ！{/n}魔神の真なる復活を祈るのだ！,{Par}好！{/n}{var0}啊！{/n}祈祷魔神真正的复苏吧！
