{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ホーホホホ！{/n}待ちくたびれてよ、{/n}{var0}の卵さんたち！,{Par}嚯—嚯嚯嚯！{/n}等得人家腿都酸了、{/n}{var0}的菜鸟们！
あなたは…{/n}アルシオーネ！{/n},你是…{/n}阿尔希欧蕾！{/n}
マ…ジック…ナイトだって…？{/n}{/n},魔…法…骑士什么的…？{/n}{/n}
{Par}フェリオ、{/n}しゃべっちゃダメだ！{/n},{Par}菲力欧、{/n}别跟她说话！{/n}
どうしよう、{/n}こんなに 傷が…{/n},怎么办、{/n}伤得这么重…{/n}
フェリオ…さん…{/n}{/n},菲力欧…先生…{/n}{/n}
沈黙の森では{/n}魔法は使えない…。{/n}だから、ここで待っていたのよ。,在沉默之森里{/n}魔法是无效的…。{/n}所以人家才在这里等着呀。
あなたたちが 出口を探りあてて{/n}森から 出てくるのを…{/n}先ほどの お礼をするためにね！,等着你们找到出口{/n}从森林里出来…{/n}为了报答之前的照顾呢！
{Par}よくも…フェリオを！{/n}{/n},{Par}居然敢…伤害菲力欧！{/n}{/n}
あなたは 多少{/n}魔法が使えるようね？{/n},你似乎稍微{/n}会点魔法呢？{/n}
でも、エメロード姫付きの{/n}魔操師として 名をはせた{/n}このアルシオーネに 勝てて？,不过能赢过曾经作为{/n}艾美诺公主御用魔操师{/n}而扬名天下的阿尔希欧蕾吗？
エメロード姫の{var3}{/n}{/n},艾美诺公主的{var3}{/n}{/n}
それなら なぜ わたしたちの{/n}ジャマをするんだ{var3}{/n}このセフィーロが 危ないのに！,那为什么要妨碍我们{var3}{/n}锡菲罗明明岌岌可危了！{/n}
エメロード姫は{/n}この世界を支える{/n}「柱」なんだろう？,艾美诺公主{/n}不是支撑这个世界的{/n}「柱」吗？
その姫が 神官ザガートに{/n}さらわれたっていうのに…！{/n},明明公主被神官{/n}扎加特掳走了…！{/n}
だから、よ。{/n}{/n},所以呀。{/n}{/n}
今のわたしは{/n}ザガート様に お仕えする身。{/n},现在的我是{/n}侍奉扎加特大人的存在。{/n}
ザガート様こそが…{/n}わたしの すべて！{/n},扎加特大人才是…{/n}我的全部！{/n}
{Par}光 ひとりじゃ危ない…{/n}光を 助けなきゃ…！{/n},{Par}光一个人太危险了…{/n}必须去救光…！{/n}
でも…わたしは魔法が使えない…{/n}どうすれば 光を助けることが{/n}できるの…？ どうすれば…{var3},可是…我无法使用魔法…{/n}要怎样才能救光呢…？{/n}该怎么办呢…{var3}
{Par}海…{/n}聞こえるか、海…{/n},{Par}海…{/n}听得见吗、海…{/n}
クレフ{var3}{/n}{/n},克雷夫{var3}{/n}{/n}
そうだ。モコナを通じて{/n}おまえの心に{/n}直接 語りかけている…。,没错。{/n}我正通过摩可拿{/n}直接与你的心灵对话…。
無事だったのね…{/n}よかった…。{/n},平安无事呢…{/n}太好了…。{/n}
海…{/n}このセフィーロでは{/n}意志の力が 何物にも勝る…,海…{/n}在锡菲罗{/n}意志之力胜过一切…
願うのだ…光を助けたいと…{/n}光を助けるために{/n}魔法を使いたい、と…！,去祈愿吧…想要拯救光…{/n}为了拯救光{/n}想要使用魔法…！
光を助けたい…！{/n}光を助けるために、{/n}魔法が欲しい…！,想要救光…！{/n}为了拯救光、{/n}需要魔法…！
わかるか…？{/n}おまえの中に 今までと違う{/n}「力」があることが…！,感受到了吗…？{/n}你体内正涌现出{/n}与以往不同的「力量」…！
わかるわ…{/n}言葉が 浮かんでくる…！{/n},感受到了…{/n}有话语浮现在脑海…！{/n}
それが おまえの魔法だ{var4}{/n}{/n},那就是你的魔法{var4}{/n}{/n}
