{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ホーホホホ！{/n}待っていたわよ、{/n}{var0}の卵さんたち！,{Par}嚯嚯嚯嚯！{/n}恭候多时了、{/n}{var0}的菜鸟们！
おまえは！{/n}{/n},是你！{/n}{/n}
アルシオーネ！{/n}{/n},阿尔希欧蕾！{/n}{/n}
ザガート様の 覚えもめでたい{/n}このわたしが…{/n},能够获得扎加特大人所赏识的{/n}本小姐…{/n}
あのような はずかしめに{/n}あったのは、みな あなたたちの{/n}運がよかっただけにすぎないわ。,我遭受那般羞辱{/n}不过是你们运气好罢了。{/n}
今度という今度は{/n}痛い目に あっていただくわよ！{/n},这·次·一·定{/n}要你们吃不了兜着走！{/n}
あなたが{/n}村中を火事にしたのね{var3}{/n},就是你{/n}放火烧了整个村子吧{var3}{/n}
でも、あなたは 氷の魔法を{/n}使っていたはずですわ。{/n},但你应该是{/n}使用冰系魔法才对。{/n}
バカにしてもらっては困るわ。{/n}まがりなりにも わたしは{/n}エメロード姫付の…,少瞧不起人。{/n}本小姐好歹也是{/n}艾美诺公主的近侍…
あーうるさい！ 講釈はいいから{/n}ここにいた男の子を さっさと{/n}返しなさいよ、おばさん{var4},啊吵死了！ 废话少说{/n}快把这里的男孩交出来、{/n}大婶{var4}
お、おばさん…{var3}{/n},大、大婶…{var3}{/n}
おばさんを おばさんと言って{/n}何が悪いの{var3}{/n},叫你大婶{/n}有什么不对吗{var3}{/n}
な、なんですってぇ！{/n}{/n},你、你说什么！{/n}{/n}
なんか、海ちゃんコワい…。{/n}{/n},总觉得…小海好可怕。{/n}{/n}
ウマがあわない、という{/n}ものなのでしょうか…？{/n},莫非就是所谓的…{/n}气场不合？{/n}
よく見れば おまえは{/n}あの時、わたしに{/n}水の魔法をあびせた小娘！,仔细一看{/n}你不就是那个时候{/n}对我泼水的臭丫头！
…お礼は させていただくわ。{/n}{/n},…这份大礼{/n}我可得当加倍奉还。{/n}
とにかく！{/n}なんとしても！{/n}あなたたちには{var4},总之！{/n}无论如何！{/n}都要请你们{var4}
死・ん・で・いただくわ！{/n}{/n},给·我·死·在·这·里！{/n}{/n}
