{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}…ラファーガ？{/n}{/n},{Par}…拉法格？{/n}{/n}
ラファーガ？{/n}どうしたの、ラファーガ！{/n},拉法格？{/n}怎么了啊、拉法格！{/n}
何を言っても ムダよ。{/n}その男は ザガート様に{/n}洗脳されたようだわよ。,说什么都没用哦。{/n}那个男人似乎{/n}被扎加特大人洗脑了呢。
ザガート様の洗脳力は、私の{/n}夢幻魅了（むげんみりょう）の{/n}魔法の比じゃないわ…,扎加特大人的洗脑能力、{/n}我的梦幻魅了魔法{/n}根本没法相提并论呢…
覚悟することね、{/n}{var0}の卵さんたち！{/n},做好觉悟吧、{/n}{var0}的菜鸟们！{/n}
{Par}うそ…うそ…！{/n}{/n},{Par}骗人…骗人…！{/n}{/n}
うそだ…ラファーガが…{/n}敵なんて…うそだぁっ！{/n},骗人的…拉法格他…{/n}居然变成敌人什么的…{/n}骗人的啦啊啊！
そっちが来なければ{/n}こっちから行くぞ！{/n},既然你们不过来{/n}那我们就主动出击了！{/n}
{Par}やめてえっ！{/n}ラファーガ{var4}{/n},{Par}快住手——！{/n}拉法格{var4}{/n}
ラファーガ！{/n}{/n},拉法格！{/n}{/n}
光だよ！{/n}わたし、光だよ！{/n},是光呀！{/n}我是光呀！{/n}
