{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あんた…{/n}アルシオーネだったとはね！{/n},{Par}你…{/n}原来是阿尔希欧蕾啊！{/n}
ばれては しょうがないわね。{/n}{/n},既然暴露了 那也没办法呢。{/n}{/n}
あなたが…{/n}あなたが フェリオさんを{/n}あやつっていたんですのね{var4},是你…{/n}是你在操纵着{/n}菲力欧先生的对吧{var4}
どうして{/n}こんなことをするんだ{var3}{/n},为什么{/n}要做出这种事{var3}{/n}
探し求める魔神の前で、{/n}お友だちに殺される…{/n},在苦苦追寻的魔神面前、{/n}被自己的朋友杀死…{/n}
あなたたちには、最高に{/n}ぶざまな死に方をしてもらおうと{/n}思ったのだけど…,我可是想让你们{/n}以最狼狈的方式死去呢…{/n}
でも、{/n}ジャマが入ってしまったわね！{/n},但是、{/n}有人来碍事了呢！{/n}
許せない…{/n}許せませんわ！{/n},不可原谅…{/n}绝对不可原谅！{/n}
ラファーガ…{/n}ラファーガは…{/n},拉法格…{/n}拉法格他…{/n}
あの男のことは{/n}わたしは 知らないわ。{/n},那个男人的事情{/n}我可不知道哦。{/n}
そんなことは どうでもいいっ！{/n}よくも ラファーガをっ！{/n},那种事 怎样都好啦！{/n}居然敢对拉法格！{/n}
おお、こわい。{/n}おてやわらかにね{var4}{/n},呜哇、好可怕。{/n}请手下留情呢{var4}{/n}
