{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}わしは、この辺境に ひとり{/n}世を忍んで暮らす じじいじゃ。{/n},{Par}老夫是独自在这边陲{/n}避世而居的老头子。{/n}
こうして 物思いにふけり{/n}日々をすごしていると、{/n}この世の無常を思い知るのう。,每日如这般沉湎于思绪、{/n}愈发领悟世间无常啊。{/n}
{Par}突然、,{Par}突然、
どぉん！,轰隆！
という大きな音がしてな。{/n}{/n},传来巨响。{/n}{/n}
ここのところ、地震が{/n}多いもんじゃから、すわ大きいのが{/n}来たか、と思ったんじゃ。,最近地震频发、{/n}老夫还以为是{/n}大地震要来了呢。
そしたら、外で なんと{/n}この大男が倒れてるでねぇの。{/n},结果出门一看、{/n}竟有个大汉倒在地上。{/n}
なんとも がんじょうな身体じゃ。{/n}命に別状はない。{/n}じゃが…。,身板倒是结实得很。{/n}性命无碍。{/n}不过…
{Par}なんと、知り合いじゃったのか。{/n}{/n},{Par}没想到竟然是旧识啊。{/n}{/n}
…そうさのぉ、{/n}記憶を戻すには…{/n},…唔…那个嘛、{/n}…要恢复记忆的话…{/n}
なんでも、ライリーの村にある{/n}生命の木の葉をせんじた薬は{/n}万病に効くとか。,据说用莱利村的{/n}生命之树的叶子煎制的药{/n}可治百病。
それなら 無くした記憶も{/n}戻るやもしれん。{/n},或许连失去的记忆{/n}也能找回来呢。{/n}
生命の木って…{/n}たしか、最後の葉っぱは{/n}取ってしまいましたわ。,生命树的话…{/n}最后一片叶子{/n}不是被摘走了吗？
ライリーの村の治療院に{/n}行ってみましょう。{/n}まだ 薬が残っているかも！,快去莱利村的治疗院看看！{/n}或许还有剩余的药！{/n}
うん、行こう！{/n}{/n},嗯、这就出发！{/n}{/n}
{Par}ライリーの村の 生命の木の葉なら{/n}この男の記憶も戻るやもしれん。{/n},{Par}若是莱利村的生命之树的叶子、{/n}或许能唤醒这个男人的记忆。{/n}
{Par}おお、それが 生命の木の葉を{/n}せんじたという薬か？{/n}はやく この男に…！,{Par}哦哦、这就是用生命之树的{/n}叶子煎的药？{/n}快给这男人服下…！
{Par}ど、どうしたというんじゃ？{/n}あの男、どこに…？{/n},{Par}怎、怎么回事？{/n}那个男人、去哪了…？{/n}
{Par}ラファーガ！{/n}生きてたんだ、ラファーガ{var4}{/n},{Par}拉法格！{/n}你还活着啊拉法格{var4}{/n}
… … …{/n}{/n},… … …{/n}{/n}
ラファーガ…？{/n}{/n},拉法格…？{/n}{/n}
だれだ…おまえは…？{/n}{/n},你是…谁…？{/n}{/n}
え…{/n}{/n},诶…{/n}{/n}
やだなぁ、光だよ！{/n}ヒ・カ・ル！{/n},别闹啦、我是光啊！{/n}小·光！{/n}
わからない…だれだ…？{/n}{/n},不记得…是谁…？{/n}{/n}
どこなんだ、ここは…{/n}{/n},这里…是哪里…{/n}{/n}
オレは、だれだ…{var3}{/n}{/n},我又是…谁…{var3}{/n}{/n}
ラファーガ？{/n}{/n},拉法格？{/n}{/n}
記憶を…{/n}なくしてらっしゃるのでは…？{/n},您这是…{/n}失去记忆了吗…？{/n}
そんな！{/n}{/n},怎么会！{/n}{/n}
{Par}ラファーガ！ ラファーガ！{/n}{/n},{Par}拉法格！ 拉法格！{/n}{/n}
う…うう…{/n}{/n},唔…呜呜…{/n}{/n}
よしなさい、光…！{/n}{/n},冷静点、光…！{/n}{/n}
{Par}さ、ラファーガ、{/n}この薬を飲んで…。{/n},{Par}来、拉法格、{/n}把这药喝了…。{/n}
ラファーガ…どう？{/n}{/n},拉法格…感觉如何？{/n}{/n}
ヒカル…か…？{/n}{/n},光…吗…？{/n}{/n}
よかった、思い出したんだね！{/n}{/n},太好了、你想起来了！{/n}{/n}
ほら、海ちゃん、風ちゃん！{/n}洗脳されたなんて ウソだよ！{/n}ね、ラファーガ？,看吧小海、小风！{/n}说什么被洗脑都是假的！{/n}对吧拉法格？
洗脳…そうだ…{/n}黒いマントの男が…{/n}ザガートが…！,洗脑…对了…{/n}黑袍男子…{/n}扎加特…！
ぐあっ…あ、頭が…！{/n}{/n},咕啊…头好痛…！{/n}{/n}
{Par}お墓だ。{/n}「最愛の妻 ここにねむる」{/n}…と書いてある。,{Par}墓碑。{/n}刻着「爱妻长眠于此」{/n}…的字样。
{Par}「最愛の妻 ここにねむる」か…。{/n}{/n},{Par}「爱妻长眠于此」啊…{/n}{/n}
{Par}「最愛の妻 ここにねむる」と{/n}記されていますわ。{/n},{Par}「爱妻长眠于此」{/n}刻着这样的的碑文。{/n}
お墓の前に 新しい花が{/n}供えられています。さぞかし{/n}愛された方だったのでしょうね。,墓前供奉着新鲜花束。想必{/n}是位备受疼爱的女子吧。{/n}
{Par}大きいかめがおいてある。{/n}{/n},{Par}摆放着大陶罐。{/n}{/n}
{Par}水が入ったかめだわ。{/n}{/n},{Par}是盛满水的陶罐呢。{/n}{/n}
{Par}かめが二つおいてありますわ。{/n}その両方に水が入っています。{/n},{Par}并排摆放着两个陶罐。{/n}里面都盛满了清水。{/n}
{Par}うわー、きれい！{/n}{/n},{Par}哇、好漂亮！{/n}{/n}
{Par}きれいな花がいっぱいだわ。{/n}うーん、いい香り♥{/n},{Par}满目绚烂鲜花。{/n}嗯～香气扑鼻♥{/n}
{Par}家が きれいな花に{/n}囲まれていますわ。{/n}なごやかな気持ちになりますわね。,{Par}房屋被美丽的鲜花{/n}环绕着呢。{/n}令人心旷神怡。
{Par}包丁とおたまみたいな{/n}道具がかかっているよ。{/n},{Par}挂着菜刀和汤勺{/n}之类的厨具呢。{/n}
{Par}調理道具が{/n}かべに かかっているわ。{/n},{Par}墙壁上悬挂着{/n}各式厨具。{/n}
{Par}調理道具ですわ。{/n}古いものですが、{/n}大事に使われている様子ですわね。,{Par}都是各种厨具。{/n}虽然有些老旧、{/n}但能看出被精心使用着。
{Par}つぼだ。{/n}何が入っているのか{/n}わからない つぼだ。,{Par}陶罐。{/n}不知道里面{/n}装着什么东西。
{Par}小さいつぼがおいてあるわ。{/n}中身の想像は{/n}あんまり したくないわね。,{Par}摆着小陶罐。{/n}实在不想猜测{/n}里面装了什么。
{Par}つぼがありますわ。{/n}…遠巻きにながめるだけに{/n}しておきましょう。,{Par}陶罐摆在那里。{/n}…还是保持距离{/n}观望为妙。
{Par}暖炉には 火が{/n}細々と燃えている。{/n},{Par}壁炉里摇曳着{/n}微弱的火苗。{/n}
{Par}かなり古めかしい暖炉だわね。{/n}でも、きちんと{/n}お手入れはしてあるわ。,{Par}相当古旧的壁炉呢。{/n}不过能看得出{/n}有被细心打理过。
{Par}たなの上にも調理器具があります。かなり 質素な暮らしを{/n}なさっているみたいですわね。,{Par}架子上也摆着厨具。{/n}看来过着相当{/n}简朴的生活呢。
{Par}ちょっと ぶかっこうな{/n}たながある。{/n}もしかして 手作りなのかな？,{Par}造型略显笨拙的木架。{/n}莫非是手工打造的？{/n}
{Par}ごつごつした たなだわ。{/n}いかにも日曜大工、って感じね。{/n},{Par}粗犷的木架啊。{/n}颇有些业余木工的味道。{/n}
{Par}ハンドメイドのたなですわ。{/n}何ともいえない{/n}趣（おもむき）がありますわね。,{Par}手工制作的木架呢。{/n}粗糙中别有一番{/n}质朴的韵味。
{Par}暖炉に使う たきぎだね。{/n}すごく小さく割ってあるよ。{/n},{Par}壁炉用的柴火呢。{/n}被劈得极为细小。{/n}
{Par}木の細かい切れはしが{/n}木の箱に入っているわ。{/n}たきぎに使うのね。,{Par}木箱里装着细碎的木料。{/n}用来当柴火的吧。{/n}
{Par}たきぎですわね。{/n}かなり細かく割られていますわ。{/n}木を扱う職業の方なのでしょうか？,{Par}是柴火呢。{/n}劈得相当细致。{/n}主人莫非是木匠？
{Par}ベッドとベッドの間には{/n}木製のイスがおいてある。{/n},{Par}两张床铺之间{/n}摆着木制的椅子。{/n}
{Par}ちょっとだけ安定性の悪い{/n}イスだわ。４本の脚のうち、{/n}一本が 地に着いてないわよ。,{Par}有些摇晃的木椅子。{/n}四条椅腿中{/n}有一条腿没着地呢。
{Par}このイスも手作りのようですね。{/n}荒削りな中に、{/n}あたたかさを感じますわ。,{Par}这把椅子也是手工制品吧。{/n}粗糙的做工中{/n}透着温暖的感觉。
{Par}がっちりした 重厚なテーブルだ。{/n}その上に花が かざられているよ。{/n},{Par}厚重结实的木桌。{/n}桌面上装饰着鲜花。{/n}
{Par}かびんの花が 部屋に{/n}彩り（いろどり）を{/n}そえているわね。,{Par}花瓶里的花朵为房间{/n}增添了不少色彩呢。{/n}
{Par}テーブルに イスが二脚、{/n}ベッドも二つありますわね…。{/n},{Par}桌子旁配有两把椅子、{/n}床铺也有两张呢…{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}もう 何もないよ。{/n}{/n},{Par}什么都没有了哦。{/n}{/n}
{Par}もう 何も見あたらないわね。{/n}{/n},{Par}已经找不到东西了呢。{/n}{/n}
{Par}残念ながら、{/n}もう 何もありませんわ。{/n},{Par}很遗憾、{/n}什么都没有了哦。{/n}
