{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ついに 来たか…{/n}{var0}たちよ…。{/n},{Par}终于来了吗…{/n}{var0}的各位啊…。{/n}
ザガートっ！{/n}{/n},扎加特！{/n}{/n}
エメロード姫を{/n}返してもらうわよっ！{/n},请把艾美诺公主{/n}还给我们！{/n}
セフィーロを救うために！{/n}{/n},为了拯救锡菲罗！{/n}{/n}
そうか…ならば、{/n}相手になってやらねばなるまい。{/n},这样啊…那么、{/n}就只能奉陪到底了呢。{/n}
ザガート！{/n}どうして{/n}姫をさらったりしたんだ！,扎加特！{/n}为什么{/n}要掳走公主殿下！
姫が セフィーロの平和を{/n}祈らなければ、この世界は{/n}崩壊してしまうんだろう？,如果没有公主{/n}为锡菲罗的和平祈祷的话、{/n}这个世界就会崩坏的吧？
なぜ 姫が セフィーロの{/n}平和を祈らねばならん…？{/n},为什么必须是公主{/n}来祈祷锡菲罗的和平…？{/n}
…え？{/n}{/n},…咦？{/n}{/n}
なぜ 姫だけが セフィーロの{/n}平和など 祈らねばならん{var3}{/n},凭什么只有公主{/n}必须祈祷什么锡菲罗的和平不可{var3}{/n}
な、何を言っているの？{/n}{/n},你、你在说什么啊？{/n}{/n}
わ…わかりませんわ…。{/n}{/n},我…我不明白…。{/n}{/n}
少し 言葉が すぎたようだ…{/n}{/n},看来话说得有点多了呢…{/n}{/n}
わたしの行く手をはばむものは、{/n}これを除外するのみ！{/n},阻碍我前进之人、{/n}唯有将其排除！{/n}
{var0}の伝説など、{/n}わたしが この手で{/n}打ち砕いてくれる！,{var0}的传说什么的、{/n}就由我亲手{/n}粉碎给你们看！
