{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}フッ…{/n}{/n},{Par}哼…{/n}{/n}
最後の力で{/n}伝説の「{var0}」を{/n}異世界から 呼びよせたか…,用最后的力量{/n}从异世界召唤了{/n}传说中的「{var0}」吗…
まさか、伝説が現実になるとは{/n}思いもよりませんでした。{/n},没想到…{/n}传说竟然成真了…{/n}
案ずることはない。{/n}まだ 子どもではないか。{/n},不必担心。{/n}只不过是些孩子罢了。{/n}
エメロード姫を 救うどころか、{/n}真の「{var0}」となる{/n}ことも おぼつくまい…。,莫说是拯救艾美诺公主、{/n}就连成为真正的「{var0}」{/n}都还差得远呢…。
は。{/n}{/n},是。{/n}{/n}
むろん、あなどって{/n}用心を おこたるのも{/n}おろかだがな。,不过当然了、{/n}若是因此掉以轻心{/n}而疏忽防备就太愚蠢了。
おおせの通りでございます。{/n}{/n},您说得极是。{/n}{/n}
