{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}早く エテルナの泉に行って、{/n}伝説の鉱物、エスクードを{/n}持って帰ってらっしゃい。,{Par}快去 艾蒂露娜之泉、{/n}把传说中的矿物{/n}艾斯古托带回来吧。
すばらしい武器を{/n}創ってあげるからね！{/n},我会为你们创造{/n}超棒的武器哦！{/n}
{Par}まずは 北東へ{/n}行ってごらんなさい。{/n}いずれ 海が見えてくるはずよ。,{Par}不妨先往东北方向走吧。{/n}应该很快就能看到大海了。{/n}
{Par}もう セレスを手に入れたのね！{/n}{/n},{Par}已经获得瑟列斯了呢！{/n}{/n}
じゃあ 次は、さらに東に{/n}進むことね。 火山活動の盛んな{/n}山岳地帯があるわ。,那接下来就继续向东{/n}前进吧。那里是火山活动{/n}频繁的山岳地带。
もしかしたら、{/n}そこに魔神がいるかもね。{/n},说不定那里{/n}会有魔神存在哦。{/n}
{Par}そう…{/n}北東の火山地帯には{/n}魔神はいなかったのね…。,{Par}这样啊…{/n}东北方的火山地带{/n}没有魔神啊…
じゃあ 次は南をめざしなさい。{/n}{/n},那就往南边去吧。{/n}{/n}
空に浮かぶ島の上に住む{/n}人々が いるはずよ。{/n}そこで何かわかるかもしれないわ。,漂浮在空中的岛屿上{/n}应该有人居住。{/n}或许能在那里得到线索。
{Par}ウインダムが手に入ったのね。{/n}いよいよ残るは あと一体ね。{/n},{Par}获得温达姆了呢。{/n}接下来就只剩最后一个了。{/n}
でも、北東の火山地帯にも{/n}いないとなると、どこにいるのか{/n}見当がつかないわ…。,不过既然东北方的火山地带{/n}也没有的话、到底会在哪里呢{/n}完全没头绪呢…
とりあえず、新たな道を{/n}進んで行くしかないわね。{/n},总之只能继续{/n}探索新的道路了。{/n}
{Par}南西の山脈で{/n}大噴火がおこったんですって{var3}{/n},{Par}听说西南山脉{/n}发生了火山喷发哦{var3}{/n}
そこに、最後の魔神が{/n}いるに違いないわ！{/n}急ぐのよ、光、海、風！,最后的魔神{/n}一定就在那里！{/n}快去吧、光、海、风！
{Par}すごいわ！{/n}すばらしいわ！{/n},{Par}太棒了！{/n}真是了不起！{/n}
ホントに エスクードの武器の{/n}レベルを上げて、{/n}魔神を手に入れてきたなんて！,居然真的让艾斯古托武器{/n}提升了等级、{/n}成功收服了魔神！
これで ザガート城を{/n}いぶりだすことができるわ！,这样就能把扎加特城{/n}给逼出来了！
いぶりだす…と{/n}おっしゃいますと？{/n},逼出来…{/n}是什么意思呢？{/n}
ザガート城というのは、{/n}もとはといえば エメロード姫の{/n}おわす エメロード城のこと！,所谓的扎加特城、{/n}原本是艾美诺公主{/n}居住的艾美诺城！
ザガートは エメロード姫ごと{/n}城をのっとって、そのまま{/n}自分の居城としたのよ！,扎加特不但挟持了艾美诺公主、{/n}还直接霸占了整座城堡{/n}作为自己的居所！
まぁ、あつかましいわねー！{/n}{/n},真是厚颜无耻呢！{/n}{/n}
そして、{/n}魔法の力で 城を{/n}天空のはざまに かくしたの！,然后、{/n}使用魔法将城堡{/n}隐藏在天空的缝隙中！
でも、セフィーロに伝わる{/n}{var0}の魔神、三体が{/n}同時に復活を果たせば…,不过、若是锡菲罗传说中{/n}{var0}的魔神、{/n}三尊同时复苏的话…
そのパワーに、セフィーロの{/n}魔法力バランスがくずれる！{/n},那股力量会打破{/n}锡菲罗的魔法力平衡！{/n}
ザガートの魔法も{/n}一瞬 その力を失い、{/n}ザガート城が姿を現すわ！,扎加特的魔法{/n}也会瞬间失效、{/n}扎加特城就会现形！
そのすきに…{/n}光、海、風！{/n}ザガート城に乗り込むのよ！,趁那个机会…{/n}光、海、风！{/n}攻入扎加特城吧！
ザガート城に…{/n}乗り込む…！{/n},攻入…{/n}扎加特城…！{/n}
そうよ！{/n}あなたたちにしか できないの！{/n},没错！{/n}只有你们能办到！{/n}
そして、エメロード姫を{/n}ザガートから助け出すのよ！{/n},然后从扎加特手中{/n}救出艾美诺公主！{/n}
{Par}どうしたの？{/n}魔法陣の中に{/n}脚をふみいれるのよ。,{Par}怎么了？{/n}快把脚迈进{/n}魔法阵里啊。
さあ、伝説の岬へ。{/n}…クレフの元へ！{/n},那么、前往传说之岬。{/n}…去克雷夫身边！{/n}
{Par}きゃーっ！{/n}{/n},{Par}呀——！{/n}{/n}
な、何てもの持ってるの{var3}{/n}{/n},你、你们拿着什么啊{var3}{/n}{/n}
こんなものは あなたたちが{/n}持ってちゃいけません！{/n},这种东西{/n}不能让你们拿着！{/n}
わたしが あずかりますっ！{/n}{/n},由我来代为保管！{/n}{/n}
プレセアは むりやり{/n}「プレセアのはずかしい秘密」を{/n}手に入れた！,普蕾西娅强行取得了{/n}「普蕾西娅的羞耻秘密」！{/n}
ゆ、油断もスキも{/n}あったもんじゃないわ…♨{/n},真、真是大意不得…♨{/n}{/n}
{Par}きゃーっ！,{Par}呀——！
また 何てもの 持ってるの{var3}{/n}{/n},又拿着什么啊{var3}{/n}{/n}
こんなものは あなたたちが{/n}持ってちゃいけません！{/n},这种东西{/n}不能让你们拿着！{/n}
わたしが あずかりますっ！{/n}{/n},由我来代为保管！{/n}{/n}
プレセアは むりやり{/n}「プレセアのはずかしい秘密２」を手に入れた！,普蕾西娅强行取得了{/n}「普蕾西娅的羞耻秘密２」！
ゆ、油断もスキも{/n}あったもんじゃないわ…♨{/n},真、真是大意不得…♨{/n}{/n}
{Par}きゃーっ！,{Par}呀——！
またまた 何てもの 持ってるの{var3}{/n}{/n},居然又拿着什么啊{var3}{/n}{/n}
こんなものは あなたたちが{/n}持ってちゃいけません！{/n},这种东西{/n}不能让你们拿着！{/n}
わたしが あずかりますっ！{/n}{/n},由我来代为保管！{/n}{/n}
プレセアは むりやり{/n}「プレセアのはずかしい秘密３」を手に入れた！,普蕾西娅强行取得了{/n}「普蕾西娅的羞耻秘密３」！
ゆ、油断もスキも{/n}あったもんじゃないわ…♨{/n},真、真是大意不得…♨{/n}{/n}
{Par}きゃーっ！,{Par}呀——！
いーかげんにしてよー♨{/n}{/n},差、差不多该适可而止了吧♨{/n}{/n}
こんなものは あなたたちが{/n}持ってちゃいけません！{/n},这种东西{/n}不能让你们拿着！{/n}
わたしが あずかりますっ！{/n}{/n},由我来代为保管！{/n}{/n}
プレセアは むりやり{/n}「プレセアのはずかしい秘密４」を手に入れた！,普蕾西娅强行取得了{/n}「普蕾西娅的羞耻秘密４」！
ゆ、油断もスキも{/n}あったもんじゃないわ…♨{/n},真、真是大意不得…♨{/n}{/n}
{Par}むずかしそうな本が{/n}いっぱいだ。{/n},{Par}看起来很难懂的书{/n}堆了好多呢。{/n}
{Par}何語で書いてあるのかしら、これ？,{Par}这是用哪种语言写的呢？{/n}
{Par}見たこともない字で書かれている{/n}本ですわ。セフィーロの言語体系はどうなっているのでしょうか？,{Par}都是用没见过的文字书写的{/n}书本呢。锡菲罗的语言体系{/n}究竟是什么样的呢？
{Par}はしごだ。{/n}こういうのを見ると{/n}のぼりたくなっちゃうなぁ。,{Par}是梯子呀。{/n}一看到这种东西{/n}就忍不住想爬上去呢。
{Par}はしごがあるわ。{/n}高いところにある本を取るときは{/n}必要ですものね。,{Par}这里有梯子呢。{/n}要拿高处书本的时候{/n}确实需要这个呢。
{Par}はしごですわ。こういったものは{/n}わたくしたちの世界と{/n}変わりありませんわね。,{Par}是梯子呢。这样的东西{/n}和我们的世界{/n}也没什么不同嘛。
{Par}大きい机の上に{/n}本がのっているよ。{/n},{Par}大书桌上{/n}摆着书呢。{/n}
{Par}机の上に本が置きっぱなしだわ。{/n}プレセアって、{/n}意外とだらしなかったりして。,{Par}书桌上放着本书没收拾呢。{/n}普蕾西娅该不会…{/n}意外地邋遢吧？
{Par}赤い表紙の本が置いてありますわ。いったい どういう{/n}内容なんでしょう。,{Par}放着红色封面的书呢。{/n}到底是写什么内容的呢。{/n}
{Par}スタンドライトだ。{/n}つけっぱなしは いけないなぁ。{/n},{Par}是台灯呀。{/n}可不能一直开着呢。{/n}
{Par}明るすぎず暗すぎず、{/n}落ちついた いい照明ね。{/n},{Par}既不太亮也不太暗、{/n}让人安心的好灯光呢。{/n}
{Par}電気が来ているようにも{/n}見えないし、どうやって{/n}光ってるんでしょう、これ。,{Par}看起来不像有通电、{/n}这个到底是怎么发光的呢。{/n}
{Par}武器がいっぱいかかってる。{/n}全部、プレセアが{/n}つくったんだよね！,{Par}挂着好多武器啊。{/n}全都是普蕾西娅{/n}制作的吧！
{Par}プレセアの創った武器だわ。{/n}いっぱいあるわねぇ！{/n},{Par}普蕾西娅创造的武器。{/n}真的很多啊！{/n}
{Par}武器がたくさん並んでいますわ。{/n}なんだか ものものしい{/n}ふんいきですわね。,{Par}排列着好多武器呢。{/n}总觉得有种{/n}剑拔弩张的氛围呢。
{Par}ここには武器が{/n}かかっていないね。{/n},{Par}这里没有{/n}挂着武器呢。{/n}
{Par}ここには めずらしく{/n}武器をおいていないわね。{/n},{Par}这里难得地{/n}没摆着武器呢。{/n}
{Par}これは これから創る武器の{/n}ためのものでしょうか。{/n},{Par}这里是为了今后{/n}要创造的武器而准备的吗。{/n}
{Par}ここは いったい何だろう？{/n}{/n},{Par}这到底是什么呀？{/n}{/n}
{Par}この段の上で だれか踊るのかしら{/n}…って、何で武器庫に{/n}そんなステージがあるのよぅ！,{Par}这段台阶上难道有人要跳舞吗{/n}…话说回来、为什么武器库里{/n}会有这种舞台啊！
{Par}これは何でしょう？{/n}奥にあるのは扉のようでは{/n}ありませんけれど。,{Par}这是什么呀？{/n}深处那个像是门{/n}但又不太像呢。
{Par}大砲だ！{/n}{/n},{Par}是大炮！{/n}{/n}
