{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}みんな…心配して{/n}待っててくれたの？{/n},{Par}大家…都在担心地{/n}等待着我们吗？{/n}
{Par}{var0}のみなさん、{/n}魔物退治はどうなりましたかの？{/n},{Par}{var0}的各位、{/n}魔物讨伐结果如何了？{/n}
魔物は…{/n}{/n},魔物已经…{/n}{/n}
{Par}ここにいる{/n}ルキノさんが 倒したよ！{/n},{Par}是这里的{/n}卢基诺先生打倒的哟！{/n}
…！！{/n}{/n},…！！{/n}{/n}
そ、それはすごい！{/n}さすがは、セフィーロ{/n}最高の魔術師じゃ！,这、这可真是厉害！{/n}不愧是锡菲罗的{/n}首席魔法师啊！
さっそく お祝いじゃ！{/n}みなのもの、{/n}ルキノさんを お連れしろ！,立刻准备庆功宴！{/n}你们几个、{/n}快带卢基诺先生过来！
{Par}いいことしたねっ！{/n}{/n},{Par}做了件好事呢！{/n}{/n}
光…でも、あれじゃ{/n}ルキノさん本人のために{/n}ならないんじゃない？,光…不过这样{/n}对卢基诺先生本人来说{/n}未必是好事吧？
そ、そうかなぁ。{/n}{/n},是、是这样吗…{/n}{/n}
まぁまぁ、海さん。{/n}{/n},好啦好啦、海小姐。{/n}{/n}
要は 本人の自覚の問題ですわ。{/n}{/n},说到底 在于本人的自觉性呢。{/n}{/n}
これで 何の反省もなければ、{/n}ルキノさんもそこまでの人です。{/n}でも、きっと…,如果这样还不反省的话、{/n}说明卢基诺先生也不过如此。{/n}但想必…
これからは、自分だけでなく{/n}村人みんなのことも もっと{/n}考えてくれるようになりますわ。,今后会开始不只考虑自己{/n}也会更多地{/n}为村民们着想了吧。
そうだよ！ 今まで{/n}村を守ってきた人だもん。{/n}悪い人じゃないよ！,说得对！毕竟是{/n}一直以来守护村子的人。{/n}不是坏人呀！
そっか…そうよね！{/n}{/n},这样啊…说的也是！{/n}{/n}
{Par}ボクの呼び出した友だちを{/n}よくも…許せない！{/n},{Par}居然敢对我的召唤兽朋友{/n}做出这种事…不可原谅！{/n}
それにしても…自分たちを{/n}危ない目にあわせた魔術師を、{/n}助けたり かばったり…,不过话说回来…明明是那个{/n}魔法师害你们遭遇危险的、{/n}却又是救助又是袒护的…
どっか オカしいんじゃないの？{/n}{/n},是不是脑子哪里有问题啊？{/n}{/n}
