{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ひいっ！,{Par}呀啊！
なんだ、魔物じゃないのか…{/n}びっくりしたな、もぅ。{/n},什么嘛、不是魔物啊…{/n}吓死我了、真是的。{/n}
ここは ポリーズの村。{/n}みんな、魔物にビクビクだ。{/n},这里是波利兹村。{/n}大家都对魔物提心吊胆的。{/n}
{Par}ひいっ！,{Par}呀啊！
…と、いままでは{/n}びっくりしたところだが…{/n},…虽说是这样{/n}刚才还是被吓到了…{/n}
何でも {var0}とかいう{/n}勇者が現れて、{/n}魔物を退治してくれるとか。,听说有个叫{var0}{/n}的勇者出现、{/n}帮忙击退了魔物。
これで このポリーズの村も{/n}安心だねぇ。{/n},这样一来、波利兹村{/n}也能安心了呢。{/n}
{Par}やぁ、役立たずの{/n}{var0}のみなさん！{/n},{Par}哟、派不上用场的{/n}诸位{var0}！{/n}
魔物にビクビクだった{/n}このポリーズの村も、{/n}ルキノのおかげで もう安心だ。,对魔物提心吊胆的{/n}这个波利兹村、{/n}托卢基诺的福已经安全了。
{Par}ポリーズの村は すっかり{/n}平穏を とりもどしましたよ。{/n},{Par}波利兹村已经{/n}完全恢复平静了哦。{/n}
これ みな ルキノのおかげ！{/n}{/n},这都是卢基诺的功劳！{/n}{/n}
{Par}荒れてる？{/n}{/n},{Par}很荒凉？{/n}{/n}
魔物が 村の中にまで{/n}入ってくることがあるんじゃ。{/n}いたしかたなかろ？,魔物有时候{/n}会闯进村里来啊。{/n}这也是没办法的吧？
{Par}荒れてる？{/n}{/n},{Par}很荒凉？{/n}{/n}
ウワサの{var0}たちが{/n}魔物を倒してくれれば、{/n}そんなこともなくなるじゃろ。,要是传说中的{var0}们{/n}能够打倒魔物、{/n}就不会再有这种事了。
{Par}もう 村が{/n}おそわれることはなかろう。{/n}ありがたいことじゃ。,{Par}村子已经不会{/n}再被袭击了吧。{/n}真是谢天谢地。
{Par}何もなきゃ 何もないで{/n}サビしい…{/n},{Par}太平无事的话{/n}反而寂寞…{/n}
人間とは ぜいたくなものよ。{/n}{/n},人类真是奢侈的生物啊。{/n}{/n}
{Par}ここは 村長の家だ。{/n}{/n},{Par}这里是村长的家。{/n}{/n}
そして わたしは警備の人だ。{/n}{/n},而我是警备人员。{/n}{/n}
{Par}ここは 村長の家だ。{/n}{/n},{Par}这里是村长的家。{/n}{/n}
そして わたしは警備の人だ。{/n}{/n},而我是警备人员。{/n}{/n}
ちなみに魔物は 受け持ち外だ。{/n}{/n},顺带一提、{/n}魔物不归我管。{/n}
{Par}ここは 村長の家だ。{/n}{/n},{Par}这里是村长的家。{/n}{/n}
そして わたしは警備の人だ。{/n}{/n},而我是警备人员。{/n}{/n}
魔物がいなくなったので{/n}もう 安心だ。{/n},魔物已经消失了{/n}可以安心了。{/n}
…たぶんね。{/n}{/n},…大概吧。{/n}{/n}
{Par}ここは 村長の家だ。{/n}{/n},{Par}这里是村长的家。{/n}{/n}
そして わたしは警備の人だ。{/n}{/n},而我是警备人员。{/n}{/n}
何の心配もなく 仕事ができて{/n}たいへん うれしいのだ。{/n},能毫无顾虑地工作{/n}真是太高兴了。{/n}
{Par}多少 魔物が{/n}出たっていってもさ…{/n},{Par}虽说偶尔会有{/n}魔物出没…{/n}
今までは ルキノが{/n}結界をはって 村に入ってくるのを{/n}ふせいでくれていたんだがなぁ。,之前都是靠{/n}卢基诺布下结界{/n}阻止魔物进入村子呢。
{Par}{var0}という３人組が{/n}魔物を倒してくれるとか。{/n},{Par}名为{var0}的三人组{/n}说是要讨伐魔物。{/n}
これでルキノに みつぎ物をする{/n}必要はなくなるな！{/n},这样一来就不用{/n}给卢基诺进贡了！{/n}
{Par}ルキノが本当に 魔物を倒したと{/n}あっちゃあ、みつぎ物を{/n}欠かすわけには いかないな！,{Par}要是卢基诺真的{/n}打倒了魔物的话、{/n}贡品可就不能断供啦！
{Par}やぁ、旅の人。{/n}どこかで会ったかな？{/n},{Par}哎呀、旅人。{/n}我们是不是在哪见过？{/n}
{Par}北に行くと 海があって、{/n}その近くには 村があるわよ。{/n},{Par}往北走有海、{/n}附近有个村子哦。{/n}
最近は 漁にでても{/n}何もとれないみたいだけど…。{/n},最近就算出海打渔{/n}好像也捕不到东西…{/n}
{Par}北に行くと 海があって、{/n}その近くには 村があるわよ。{/n}タフロン…とかいったかしら？,{Par}往北走有海、{/n}附近有个村子哦。{/n}叫塔夫隆…什么的？
もう何か とれるように{/n}なったのかしらね。{/n},现在应该能{/n}捕到东西了吧。{/n}
{Par}ルキノは 昔は{/n}ああではなかった。{/n},{Par}卢基诺以前{/n}不是这样的。{/n}
ひたすら 魔法の研究にいそしむ{/n}努力家だったのに、すっかり{/n}思いあがってしまって…,明明是个埋头钻研魔法{/n}的努力家、现在却{/n}变得狂妄自大起来…
村の英雄として 祭り上げられる{/n}ようになって、今までの自分を{/n}見失っているのではないかのぅ。,被捧为村子的英雄之后{/n}似乎就迷失了{/n}原本的自我啊。
{Par}{var0}が 魔物を倒して{/n}しまえば、ルキノも いつまでも{/n}ふんぞりかえってはいられまい。,{Par}要是{var0}{/n}能消灭魔物、卢基诺{/n}就不能永远趾高气昂了。
{Par}本当にルキノが どうくつの{/n}魔物を倒したのかのぅ？{/n}アヤしいのぅ。,{Par}卢基诺真的消灭了{/n}洞窟里的魔物吗？{/n}很可疑啊。
{Par}ルキノは どうやら{/n}心を入れかえたようじゃ。{/n},{Par}卢基诺好像{/n}洗心革面了。{/n}
{Par}あの男の子、最近 この村に{/n}いついているんだけど、だれとも{/n}話をしようとしないのよ。,{Par}那个男孩子最近{/n}一直待在村子里、{/n}但是和谁也不说话。
ルキノの結界が やぶられるように{/n}なったのも、あの子が現れてからの{/n}ような気がするけれど…,卢基诺的结界被破坏{/n}好像也是那孩子{/n}出现之后的事…
気のせいかしらね。{/n}{/n},是错觉吗。{/n}{/n}
{Par}ウワサの{var0}３人組は{/n}身の丈が あたしの倍くらいはある{/n}大男なんだってさ！,{Par}传说中的{var0}三人组{/n}据说是身高两倍于我的{/n}彪形大汉哦！
いっぺん 見てみたいねぇ！{/n}{/n},好想见一次啊！{/n}{/n}
{Par}ルキノは 何だか変わったね。{/n}{/n},{Par}卢基诺好像改变不少呢。{/n}{/n}
魔物をやっつけたというのに{/n}決して いばらない その態度！{/n}感心だねぇ。,明明消灭了魔物{/n}却毫不骄傲的态度！{/n}真佩服啊。
{Par}あら しばらく。{/n}元気してた？{/n}旅は 楽しく元気にいかないとね！,{Par}哎呀好久不见。{/n}最近还好吗？{/n}旅行一定要开心又元气哦！
{Par}村はずれにある どうくつ…{/n}{/n},{Par}村子外有座洞窟…{/n}{/n}
魔物は そこから{/n}出てくるようじゃがのぅ。{/n},魔物似乎{/n}是从那里出来的。{/n}
{Par}村はずれにある どうくつ…{/n}{/n},{Par}村子外有座洞窟…{/n}{/n}
{var0}たちは もう{/n}そこに向かったのじゃろうか。{/n},{var0}们大概{/n}已经出发去那里了吧。{/n}
{Par}村はずれにある どうくつ…{/n}{/n},{Par}村子外有座洞窟…{/n}{/n}
そこには もう{/n}魔物はいないはずじゃ。{/n},那里应该{/n}已经没有魔物了。{/n}
{Par}村はずれにある どうくつ…{/n}{/n},{Par}村郊外的洞窟…{/n}{/n}
そこに行っても{/n}もう 何もないぞ。{/n}ホントに ないったらないぞ。,就算去那里{/n}也什么都没有了。{/n}真的什么都没有。
…というと、必ず{/n}行くヤツがいるに違いない。{/n},…这么说的话、{/n}肯定会有人想去吧。{/n}
{Par}やぁ、マジッ…いや、{/n}初めまして、お姉ちゃんたち。{/n},{Par}哎呀、魔…不、{/n}初次见面、小姐姐们。{/n}
旅の調子は どぅ？{/n}{/n},旅途还顺利吗？{/n}{/n}
{Par}伝説の{var0}が{/n}このどうくつの魔物を{/n}退治するらしいねぇ。,{Par}传闻中的{var0}{/n}会消灭这个洞窟的魔物吧。{/n}
ホントに できるのかねぇ、{/n}そんなことがさ。{/n},真的能做到吗、{/n}那种事情。{/n}
{Par}お手並み拝見といくかな。{/n}{/n},{Par}就让我见识下本领吧。{/n}{/n}
{Par}はぁあ。昔はよかったのぅ。{/n}{/n},{Par}唉…以前多好啊。{/n}{/n}
天候は 常に温暖で、{/n}魔物なぞも ついぞ{/n}出てきたことがなかったのに。,气候总是温暖的、{/n}魔物什么的{/n}也从未出现过。
エメロード姫に 何か{/n}あったのではないかのう。{/n},艾美诺公主是不是{/n}出了什么事啊。{/n}
{Par}はぁあ。昔はよかったのぅ。{/n}{/n},{Par}唉…以前多好啊。{/n}{/n}
天候は 常に温暖で、{/n}魔物なぞも ついぞ{/n}出てきたことがなかったのに。,气候总是温暖的、{/n}魔物什么的{/n}也从未出现过。
{var0}が魔物を倒せば、{/n}また そんな生活が{/n}もどってくるかのぅ。,要是{var0}能消灭魔物、{/n}那样的生活{/n}就能回来了吧。
{Par}ルキノのおかげで、{/n}このあたりでは{/n}魔物は出なくなったのじゃ。,{Par}多亏了卢基诺、{/n}这附近已经{/n}没有魔物出现了。
{Par}このあたりにゃ{/n}魔物なぞ 出んよ。{/n},{Par}这附近{/n}没有魔物啦。{/n}
はぁ、だれのおかげじゃったかの。{/n}最近 物忘れがはげしくてのぅ。{/n},唉、到底是谁的功劳来着？{/n}最近记性越来越差了。{/n}
{Par}村の外は 魔物が出て危険だぞ。{/n}{/n},{Par}村外有魔物出没、{/n}很危险的。{/n}
{Par}{var0}なる者たちが{/n}魔物を退治するまで、{/n}危険につき通行禁止だ。,{Par}在名为{var0}的人{/n}消灭魔物之前、{/n}这里禁止通行。
