{Par}いらっしゃいませ。{/n}東京タワーへ ようこそ！{/n},{Par}欢迎光临。{/n}欢迎来到东京塔！{/n}
展望台行きエレベーターは{/n}こちらでございまぁす。{/n},前往展望台的电梯{/n}就在这边哦。{/n}
{Par}いらっしゃいませ。{/n}東京タワーへ ようこそ！{/n},{Par}欢迎光临。{/n}欢迎来到东京塔！{/n}
社会科見学の学生さんですね？{/n}そのまま まっすぐ{/n}お進みください。,是来社会实践课的学生吧？{/n}请直接往前走。{/n}
{Par}獅堂！,{Par}狮堂！
社会科見学なんだから{/n}寄り道しないで まっすぐ{/n}展望台に 上がるんだぞ。,既然是社会实践课{/n}就不要绕路{/n}直接去展望台啊。
２階なんかに 行ってちゃ{/n}いけないぞ。{/n},不许去二楼之类的{/n}地方乱逛哦。{/n}
{Par}水族館を楽しみにして{/n}来たんだけど、{/n}残念だったわね。,{Par}本来很期待水族馆{/n}才来的、{/n}真遗憾呢。
{Par}今日一日のデートの計画が…！{/n}{/n},{Par}今天一整天的约会计划都…！{/n}{/n}
バッチリ予定を立ててきたのに…{/n}オ、オレは これから{/n}どうしたらいいんだぁああ！,明明已经安排好行程了…{/n}我、我接下来{/n}该怎么办才好啊！
{Par}わたしは地元よ、地元！{/n}{/n},{Par}我可是本地人哦、本地人！{/n}{/n}
地方からの 修学旅行じゃ{/n}あるまいし、展望台になんか{/n}まじめに上っていられないわよ。,又不是从乡下来的修学旅行{/n}怎么可能老老实实{/n}去什么展望台啦。
{Par}光じゃない。{/n}{/n},{Par}这不是光吗。{/n}{/n}
あなたが こんなとこで{/n}さぼってるなんて、{/n}めずらしいわね。,你居然在{/n}这种地方偷懒、{/n}真是少见呢。
{Par}ウチの学校だけじゃないんだ、{/n}東京タワーなんかに{/n}社会科見学に来るの…。,{Par}原来不止我们学校呢、{/n}居然会来东京塔{/n}进行社会实践课…。
{Par}いらっしゃいませー！{/n}{/n},{Par}欢迎光临～！{/n}{/n}
どうですかー？{/n}この東京タワーのプラモデル！{/n},要不要看看{/n}这个东京塔的模型！{/n}
ダメ？{/n}…まぁ、二階にある模型には{/n}負けますもんねぇ。,不要吗？{/n}…嘛、毕竟{/n}比不上二楼的模型呢。
{Par}朝から晩まで 立ちっぱなし。{/n}{/n},{Par}从早到晚都要站着。{/n}{/n}
あ、いらっしゃいませ！{/n}…な、なにか聞こえました？{/n},啊、欢迎光临！{/n}…刚、刚才有听到什么吗？{/n}
{Par}おみやげ屋さんで物を買うと、{/n}イナカ者だと思われそう。{/n},{Par}在纪念品店买东西的话、{/n}会被当成乡巴佬吧。{/n}
そんなことない？{/n}{/n},不是这样吗？{/n}{/n}
{Par}東京タワーといえば{/n}自分の名前の打てるコインだと{/n}思うんだ、オレは。,{Par}说到东京塔的话{/n}应该是能制作自己名字的纪念币{/n}才对吧、我是这么想的。
{Par}東京タワーに来てまで{/n}ビデオゲームなぞ{/n}せにゃならんのかのぅ。,{Par}难道来到东京塔{/n}还要玩电子游戏吗{/n}真是的。
{Par}ここは すいてて{/n}アナだよな！{/n},{Par}这里人好少{/n}好空旷啊！{/n}
{Par}きゃあ、光！,{Par}呀啊、光！
