{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}フフ…{/n}あらわれたわね。{/n},{Par}呵呵…{/n}现身了呢。{/n}
フェリオ！{/n}これは いったい{/n}どういうことなんだ？,菲力欧！{/n}这究竟是怎么回事？{/n}
フフ…{/n}どうもこうもないわ。{/n},呵呵…{/n}没什么好说的呢。{/n}
おばさんには関係ないわ、{/n}おばさんには！{/n},和大婶没关系哦、{/n}和你这大婶！{/n}
なぁんですってぇ！{/n}つくづく礼儀知らずな娘ね！{/n},你说什么啊喂？！{/n}真是没教养的丫头！{/n}
フェリオさん、{/n}返事をしてください！{/n},菲力欧先生、{/n}请回答我们！{/n}
ムダよ！{/n}{/n},没用哦！{/n}{/n}
このコは もう わたしのもの。{/n}わたしの言うことしか{/n}聞かなくてよ。,这孩子已经是我的东西了。{/n}只会听从我说的话呢。{/n}
そんなこと、あるもんかっ！{/n}{/n},哪、哪会有这种事！！{/n}{/n}
そう…{/n}じゃ ためしてみる？{/n},是吗…{/n}那要试试看吗？{/n}
フェリオ、あの緑の服の女を…{/n}殺しなさい！{/n},菲力欧、把那个穿绿衣服的…{/n}给我杀掉！{/n}
{var4}{/n},{var4}{/n}
