{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}伝説の{var0}が{/n}召喚（しょうかん）された。{/n},{Par}传说中的{var0}{/n}被召唤了。{/n}
さすがは エメロード姫。{/n}捕らわれの身でありながら{/n}それだけの力を使うとは…！,不愧是艾美诺公主。{/n}虽为被囚禁之身{/n}竟还能施展如此力量…！
ほな、伝説の通り{/n}「魔神」（マシン）を{/n}よみがえらせるんかいな…！,那、难道说{/n}会像传说中那样{/n}让「魔神」复苏不成…！
ザガート、{/n}どうするんだい？{/n},扎加特、{/n}该怎么办啊？{/n}
静かに！{/n}ザガート様が話される！{/n},肃静！{/n}扎加特大人要发话了！{/n}
召喚されし 異世界の者どもは{/n}まだ 子どもだ。{/n}魔神は よみがえることはない。,被召唤的异世界之人{/n}终究只是些孩子。{/n}魔神不可能复苏。
…しかし 今、あやつらは{/n}導師クレフの下にいる。{/n},…但是如今那些家伙{/n}正身处导师克雷夫身边。{/n}
あの めざわりな{/n}魔導師のところにか…！{/n},竟在那碍事的{/n}魔导师身边…！{/n}
そりゃあ めんどうやねぇ。{/n}{/n},那可真是棘手呢。{/n}{/n}
