{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここはタフロンの村。{/n}漁師町だ。{/n},{Par}这里是塔夫隆村。{/n}是个渔村哟。{/n}
海は おだやかになったけど、{/n}そしたら 今度は{/n}地震が多くてなぁ…,海面虽然平静下来了、{/n}但最近地震又多起来了啊…{/n}
{Par}あいかわらず 不漁な上に{/n}この地震だろ？{/n}なにかあるよな、やっぱ。,{Par}本来就捕不到鱼{/n}还碰上这地震？{/n}果然要出什么事啊。
{Par}また あんな魔物が{/n}出るかもしれんと思うと、{/n}気が気じゃないよ！,{Par}想到可能又会出现{/n}那样的魔物、{/n}就坐立不安啊！
{Par}海は静かになりましたけどね…{/n}なぜか 心は晴れないのです。{/n},{Par}大海是平静下来了…{/n}但不知为何心情却放晴不了。{/n}
どうしてでしょうね？{/n}{/n},究竟是怎么回事呢？{/n}{/n}
{Par}セラは引っ越したよ。{/n}いや どこか遠くに、って{/n}いうんじゃなくてさ。,{Par}塞拉搬家了哦。{/n}倒不是说搬去了远方{/n}那种意思啦。
カルタスが村に戻ってきてね、{/n}めんどう見ることに{/n}したんだってさ。,卡尔达斯回到村里、{/n}说要照顾她来着呢。{/n}
{Par}カルタスがね、セラをひきとって{/n}いっしょに ここに{/n}住むことにしたんだ。,{Par}卡尔达斯啊、{/n}收留了塞拉、决定{/n}和她一起住在这里了。
見た？ …なか。{/n}{/n},看见没？…里面。{/n}{/n}
…笑うよ。{/n}{/n},…在笑哦。{/n}{/n}
{Par}あたし、決めたの。{/n}{/n},{Par}我啊、决定了。{/n}{/n}
セラと お友だちになるわ！{/n}そして、いっしょに遊ぶのよ。{/n},要和塞拉做朋友！{/n}然后一起玩哦。{/n}
{Par}実はオレ、泳げないんだ…。{/n}{/n},{Par}其实我啊、不会游泳…{/n}{/n}
今度、教えてくれない？{/n}{/n},下次能教我吗？{/n}{/n}
{Par}エメロード姫 行方不明！{/n}{/n},{Par}艾美诺公主 下落不明！{/n}{/n}
というウワサは本当らしいのぅ。{/n}{/n},这传闻似乎是真的啊。{/n}{/n}
{Par}となりの村へは行ってみた？{/n}{/n},{Par}去过隔壁村子了吗？{/n}{/n}
すっかり 寒波に{/n}包まれてるっていうけど…。{/n},听说完全被{/n}寒流笼罩了呢…。{/n}
{Par}なんでも この世界のあちこちに{/n}虹のアミュレットと呼ばれるモノがかくされているとか！,{Par}据说这世界到处都藏着{/n}叫做彩虹护身符的东西！
赤・だいだい・黄・緑・{/n}青・藍（あい）・紫に{/n}それぞれ輝く石だとか！,赤・橙・黄・绿・青・蓝・紫{/n}闪耀着光芒的石头！{/n}
たくさん集めると{/n}いいことあるらしいが…{/n}ほんとかね？,收集很多的话{/n}似乎会有好事发生…{/n}真的假的？
{Par}いやーん。{/n}ここが見つかるなんてぇ。{/n},{Par}讨厌啦—。{/n}居然被找到这里。{/n}
わたしが こんなとこにいるなんて{/n}ママには ナイショよ？{/n}ね？ ね？,我在这里的事{/n}要对妈妈保密哦？{/n}好吗？好吗？
これあげるからさ、おねがい！{/n}{/n},这个给你、就拜托啦！{/n}{/n}
虹のアミュレット（むらさき）を{/n}手に入れた！{/n},获得了彩虹护身符（紫）！{/n}{/n}
{Par}うーん、おちつくわねぇ、ここは。すずしいし。{/n}ママに 用も言いつけられないし。,{Par}唔—、这里真让人平静呢。{/n}又凉爽又不用被妈妈吩咐做事。{/n}
{Par}セラを引き取ることに{/n}したのはいいけど…{/n},{Par}收留塞拉是件好事…{/n}{/n}
このインテリアの趣味は{/n}なんとかならないかなぁ。{/n},但这室内装潢的品味{/n}能不能想想办法啊。{/n}
トホホホホ…。{/n}{/n},呜呼呼呼呼…。{/n}{/n}
{Par}男の人って どうして{/n}こう キタなくても{/n}平気なのかしらね！,{Par}男人啊{/n}为什么就算这么脏{/n}也无所谓呢！
とてもガマンできないから、{/n}あたしが そうじしてあげたの！{/n}ね、きれいでしょ？,实在忍不了、{/n}我就帮忙打扫了！{/n}看、很干净吧？
{Par}セラ、明るくなったよな。{/n}{/n},{Par}塞拉变开朗了呢。{/n}{/n}
カルタスのおかげかな？{/n}{/n},是卡尔达斯的功劳吗？{/n}{/n}
{Par}みんな、セラといっしょに{/n}遊んでるんだ！{/n},{Par}大家啊、{/n}都和塞拉一起玩呢！{/n}
セラと遊ばないと、ボクの方が{/n}仲間はずれになっちゃうよ！{/n},不和塞拉玩的话、{/n}我反而要被排挤啦！{/n}
{Par}セラも すっかり元気になって、{/n}村にとけこんでいますわ。{/n},{Par}塞拉也完全恢复精神、{/n}融入村子了呢。{/n}
それで、ウチのコの方が{/n}あせってるみたい。{/n}おかしいですね。,结果我家孩子{/n}反而着急了似的。{/n}真奇怪呢。
{Par}わたしは{/n}このタフロンの村の長老です。{/n},{Par}我是{/n}这塔夫隆村的长老。{/n}
それ以上でも以下でもありません。{/n}{/n},仅此而已。{/n}{/n}
{Par}本当に よかったわ。{/n}カルタスが セラのめんどうを{/n}見てくれるようになって。,{Par}真是太好了呢。{/n}卡尔达斯愿意照顾塞拉了。{/n}
あら、逆かしらね。{/n}{/n},哎呀、说不定反了呢。{/n}{/n}
{Par}カルタスは 昔の家に{/n}もどってきたって{/n}いうじゃないか。,{Par}听说卡尔达斯{/n}搬回以前的家里了？{/n}
オマケに 女と{/n}暮らしてるんだって？{/n}スミにおけないなぁ！,而且听说{/n}还和一个女孩住在一起？{/n}真是不可小觑啊！
{Par}海だ。{/n}遠くに 氷のどうくつの{/n}こわれたあとが見える,{Par}是海。{/n}远处能看见{/n}冰之洞窟的残骸。
{Par}静まった海の向こうに{/n}氷の島のあとが見えるわ。{/n},{Par}在平静的大海对面{/n}能看见冰岛的遗迹呢。{/n}
{Par}海は もう すっかり{/n}おだやかですわ。{/n},{Par}大海已经{/n}完全平静下来了呢。{/n}
{Par}これは きっと ジムニーのお墓だ。{/n},{Par}这肯定是吉姆尼的墓。{/n}
{Par}ジムニーのお墓ね。{/n}セラが作ったんだわ、きっと。{/n},{Par}是吉姆尼的墓呢。{/n}肯定是塞拉做的。{/n}
{Par}これは…ジムニーの{/n}お墓ですわね…。,{Par}这是…{/n}吉姆尼的墓呢…。
{Par}「この世界で二番目に{/n}  心のこもった創師の館」{/n}と書いてある。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」{/n}这样写着呢。
{Par}「この世界で二番目に{/n}  心のこもった創師の館」？{/n}何これ。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」？{/n}什么啊这是。
{Par}「この世界で二番目に{/n}  心のこもった創師の館」{/n}…ありがちなコピーですわね。,{Par}「这世界上第二座{/n}  倾注心意的创师之馆」{/n}…真是常见的宣传语呢。
{Par}水そうだ。{/n}きれいな水がたまってるよ。{/n},{Par}是水槽。{/n}盛着清澈的水呢。{/n}
{Par}水の入った水そうだわ。{/n}{/n},{Par}是盛着水的水槽呢。{/n}{/n}
{Par}水そうに水がたまっています。{/n}雨水がたまったものでしょうか？{/n},{Par}水槽里盛着水。{/n}是积存的雨水吗？{/n}
{Par}「旅のおともに！{/n}  まごころの占い屋」{/n}…って書いてある。,{Par}「旅途良伴！{/n}  真心占卜屋」。{/n}这样写着呢。
{Par}「旅のおともに！{/n}  まごころの占い屋」？？{/n}何だか うさんくさいわねー。,{Par}「旅途良伴！{/n}  真心占卜屋」？？{/n}总觉得好可疑呢—。
{Par}「旅のおともに！ まごころの{/n}占い屋」ですって。セフィーロの{/n}みなさんも占いをなさるんですね。,{Par}「旅途良伴！{/n}  真心占卜屋」呢。{/n}锡菲罗的各位也会占卜啊。
{Par}何だろ、この石？{/n}{/n},{Par}什么啊、这石头？{/n}{/n}
{Par}テントのわきに{/n}石がおいてあるわ。{/n},{Par}帐篷旁边{/n}放着石头呢。{/n}
{Par}テントのすそに 石が…{/n}風でテントが飛ばないように{/n}重しにしているんですわ、きっと。,{Par}帐篷下摆压着石头…{/n}肯定是用来当压帐篷的{/n}用重物防止被风吹走吧。
{Par}花が咲いている。{/n}きれいだね！{/n},{Par}开着花呢。{/n}好漂亮！{/n}
{Par}黄色い花だわ。{/n}んー いいにおい！{/n},{Par}是黄色的花呢。{/n}嗯— 好香！{/n}
{Par}花びらが 風にそよぐ姿って、{/n}えもいわれぬ風情がありますわね。,{Par}花瓣随风摇曳的姿态、{/n}真是难以言喻的风情呢。
{Par}うわー！{/n}かわいい花だなぁ！{/n},{Par}哇—！{/n}好可爱的花啊！{/n}
{Par}きれいな お花が{/n}机をかざってるわ。{/n},{Par}漂亮的花朵{/n}装饰着桌子呢。{/n}不愧是女孩子的房间呢♥
{Par}かわいらしく{/n}お花が活けられています。{/n}センスを感じさせますわね。,{Par}插着可爱的花朵。{/n}能感受到品味呢。{/n}
{Par}大きい鏡だ。{/n}全身が バッチリだね。{/n},{Par}是大镜子。{/n}全身都照得清清楚楚呢。{/n}
{Par}女の子には 必須アイテムの{/n}大きい姿見だわ。{/n}んーっと、問題なしっと♥,{Par}是女孩子必备的{/n}大穿衣镜呢。{/n}嗯—、没问题哦♥
{Par}とても大きな姿見ですわ。{/n}やはり、身だしなみは{/n}気をつけませんと…。,{Par}是非常大的穿衣镜呢。{/n}果然仪容仪表{/n}必须要注意呢…。
{Par}食器棚と小物入れかな？{/n}きれいに整理されてるね。{/n},{Par}是餐具柜和小物件收纳箱吧？{/n}整理得很干净呢。{/n}
{Par}家具も かわいく キマってるわね。{/n}{/n},{Par}家具也搭配得很可爱呢。{/n}好羡慕啊。{/n}
{Par}小物入れや たなも{/n}お手入れが 行き届いていますわ。{/n},{Par}小物件收纳箱和架子{/n}也都打理得很周到呢。{/n}
