{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ごめんくださーい！{/n}{/n},{Par}请问有人吗——！{/n}{/n}
… … …{/n}{/n},… … …{/n}{/n}
どなたも いらっしゃらない{/n}みたいですわね。{/n},看来没有人{/n}在家的样子呢。{/n}
これが プレセアってひとの{/n}家なのかしら？{/n},这里就是{/n}普蕾西娅小姐的家吗？{/n}
{Par}開いた！{/n}{/n},{Par}打开了！{/n}{/n}
カギをかけていないとは{/n}不用心ですわ。{/n},居然没有上锁{/n}真是粗心大意呢。{/n}
こうしてても しょうがないわ。{/n}入ってみましょう！{/n},在这里干等也没用。{/n}我们进去看看吧！{/n}
他人の家に、無断で…ですの？{/n}{/n},擅自进入别人的家…{/n}这样真的好吗？{/n}
この世界では わたしたちの{/n}常識は通用しないわ。{/n}ノープロブレムよ！,我们的常识在这个世界{/n}可不适用哦。{/n}没问题的啦！
