{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ザガート…様…{/n}も、申し訳…ございません…{/n},{Par}扎加特…大人…{/n}万、万分…抱歉…{/n}
しかし…今回は{/n}油断した…だけのこと…。{/n}この次は 必ずや…,但是…这次{/n}只是一时疏忽…。{/n}下次一定…
「次」など 無い。{/n}{/n},不存在「下次」了。{/n}{/n}
そんな！ ザガート様、{/n}お願いでございます！{/n}今一度 チャンスを！,怎么会！扎加特大人、{/n}恳请您！{/n}请再给一次机会！
… … …{/n}{/n},… … …{/n}{/n}
ザガート様！{/n}{/n},扎加特大人！{/n}{/n}
{Par}いやぁああああ！{/n}{/n},{Par}呜啊啊啊啊！{/n}{/n}
{Par}少し そこで{/n}おとなしくしているがいい。{/n},{Par}就在那里{/n}乖乖待着吧。{/n}
クックックッ…{/n}{/n},咯咯咯…{/n}{/n}
{Par}情けないなぁ、アルシオーネも。{/n}あんなやつらに{/n}やられちゃうなんてさ。,{Par}真丢脸啊、阿尔希欧蕾。{/n}居然被那种家伙打败了。{/n}
ザガート、ぼくに行かせてよ。{/n}あの お姉ちゃんたちと{/n}遊んでみたいな…。,扎加特、让我去吧。{/n}我想和那些姐姐们玩玩呢…。{/n}
{Par}…よかろう、アスコット。{/n}{/n},{Par}…好吧、阿斯柯特。{/n}{/n}
