{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここは タフロンの村。{/n}漁師町だ。{/n},{Par}这里是塔夫隆村。{/n}是个渔村哟。{/n}
だけど最近は、漁に出ても{/n}何も取れやしない。{/n}どうしちまったのかねぇ。,不过最近出海打渔{/n}也什么都捕不到。{/n}到底是怎么回事呢？
{Par}海に出ても 何も取れなくなったと{/n}思ったらよ、いつのまにか{/n}すげぇ渦巻きが できてるんだよ。,{Par}正纳闷为什么出海什么都捕不到、{/n}不知什么时候{/n}海里就形成了大漩涡呢。
漁に出ようとしても すぐに{/n}押し戻されちまう。こりゃ{/n}いったい どういうワケなんだ{var3},想出海捕鱼的话{/n}马上就会被冲回来。{/n}这到底是怎么回事{var3}
{Par}村の北の岸壁に行けば{/n}見えるんじゃが、この海の先に{/n}氷でできた島があってな。,{Par}去村北的悬崖就能看到、{/n}这片海前方有座冰造的小岛。{/n}
その下に 巨大な竜が眠るという{/n}伝説があるんじゃ。{/n}古い言い伝えじゃよ。,传说下面沉睡着{/n}一条巨大的龙。{/n}是古老的传说了。
巨大な竜…{/n}それが クレフの言う{/n}海に眠る魔神なのかしら？,巨大的龙…{/n}那该不会就是克雷夫说的{/n}沉睡在海中的魔神吧？
だったら、とにかく{/n}その氷の島というのに{/n}行ってみる必要がありますわね。,既然如此、无论如何{/n}都要先去那个冰之岛{/n}看看情况才行呢。
{Par}村の北の岸壁に行けば{/n}見えるんじゃが、この海の先に{/n}氷でできた島があってな。,{Par}去村北的悬崖就能看到、{/n}这片海前方有座冰造的小岛。{/n}
その下に 巨大な竜が眠るという{/n}伝説があるんじゃ。{/n}古い言い伝えじゃよ。,传说下面沉睡着{/n}一条巨大的龙。{/n}是古老的传说了。
とにかく この海を{/n}泳げるようにならないと、{/n}このお話は確認できませんわ。,总之要是不学会{/n}在这片海里游泳的方法、{/n}就没办法确认这个传说呢。
{Par}村の北の岸壁に行けば{/n}見えるんじゃが、この海の先に{/n}氷でできた島があってな。,{Par}去村北的悬崖就能看到、{/n}这片海前方有座冰造的小岛。{/n}
その下に 巨大な竜が眠るという{/n}伝説があるんじゃ。{/n}古い言い伝えじゃよ。,传说下面沉睡着{/n}一条巨大的龙。{/n}是古老的传说了。
{Par}しばらく前までは 本当に{/n}おだやかな海だったのに…。{/n},{Par}直到不久前这里还是{/n}平静祥和的大海…。{/n}
{Par}村のはずれの岬に セラっていう{/n}女の子が住んでるんだけどね。{/n},{Par}村郊外的海岬住着{/n}叫塞拉的女孩。{/n}
なんだか得体の知れない{/n}怪物を飼っているんだよ。{/n}ああ、気味が悪い！,她养着某种{/n}来历不明的怪物呢。{/n}啊啊、真可怕！
{Par}この空き家かい？{/n}{/n},{Par}这间空屋吗？{/n}{/n}
カルタスっていう{/n}とびきり腕ききの漁師が{/n}住んでいたんだ。,以前住着叫卡尔达斯的{/n}超级厉害的渔夫呢。{/n}
前はカルタス、向かいの岬に住む{/n}セラってコの世話を{/n}よく してたっけなぁ。,以前卡尔达斯经常照顾{/n}住在对面海岬的{/n}叫做塞拉的小姑娘呢。
{Par}この空き家かい？{/n}{/n},{Par}这间空屋吗？{/n}{/n}
カルタスっていう{/n}とびきり腕ききの漁師が{/n}住んでいたんだ。,以前住着叫卡尔达斯的{/n}超级厉害的渔夫呢。{/n}
さぁてね。{/n}村を出ていったのは確かだが、{/n}どこに引っ越したかまでは…。,嗯…虽然确定他搬离了村子、{/n}但具体搬去哪里就…{/n}
{Par}へぇ…カルタス、{/n}となりの村にいたんだ？{/n},{Par}哎…卡尔达斯{/n}搬到邻村去了？{/n}
{Par}おかあさんは{/n}セラと遊んじゃダメって{/n}いうけれど…,{Par}妈妈说{/n}不许和塞拉玩…{/n}
セラは 小さい頃、おとうさんも{/n}おかあさんも亡くしてるんだし…{/n}かわいそうだよぅ。,可是塞拉她{/n}从小就失去双亲…{/n}太可怜了啦。
{Par}こんなに海が荒れてちゃ、{/n}泳ぐに泳げないよ。{/n},{Par}海面这么汹涌、{/n}根本没法游泳嘛。{/n}
{Par}この荒れた海を{/n}泳げるようになったのか？{/n}すごいな！,{Par}在这么狂暴的海里{/n}居然能游泳啊？{/n}好厉害！
{Par}海は荒れ、空はよどみ、{/n}魔物がうごめく…この世界は{/n}どうなってしまったのかのぅ。,{Par}海面翻腾、天空阴郁、{/n}魔物横行…这个世界{/n}到底变成什么样了呀。
エメロード姫が どうかされた{/n}というウワサがあるが、{/n}もしや 本当なのでは？,听说艾美诺公主{/n}出了什么事、{/n}该不会是真的吧？
ま、まさかのぅ。{/n}{/n},怎、怎么会…{/n}{/n}
{Par}やぁ、おねえちゃんたち。{/n}{/n},{Par}哟、大姐姐们。{/n}{/n}
こんにちは。{/n}よく会うね。{/n}キミも 旅してるの？,你好。{/n}经常遇见呢。{/n}你也在旅行吗？
ま、まぁ そんなとこかな。{/n}{/n},差、差不多吧…{/n}{/n}
行く方向が同じなら、{/n}いっしょに行かない？…って{/n}言いたいところだけど…,要是顺路的话、{/n}要一起走吗？…{/n}虽然很想这么说…
光さん、わたくしたちの旅は{/n}この世界を救うための{/n}命がけの旅ですわ。,光小姐、我们的旅途{/n}可是为了拯救这个世界{/n}而赌上性命的旅程。
ええ。{/n}見ず知らずの男の子を{/n}まきこむわけには いかないわ。,嗯。{/n}不能把素不相识的{/n}男孩子牵连进来呢。
そうだよね。{/n}{/n},说得对呢。{/n}{/n}
キミ、またどこかで{/n}会えたらいいね！{/n},要是还能在什么地方{/n}再见面就好啦！{/n}
（な、なにが いっしょに、だ…{/n}  ふざけて…！）{/n},（什、什么一起旅行啊…{/n}  开什么玩笑…！）{/n}
{Par}やぁ…元気そうだね。{/n}{/n},{Par}呀…看起来很有精神呢。{/n}{/n}
キミもねっ！{/n}{/n},你也是呢！{/n}{/n}
{Par}東の山のふもとに{/n}となりの村があって、前は{/n}海を渡って行ってたのよ。,{Par}东边的山脚下{/n}有个邻村、{/n}以前都是渡海过去的。
今は 海が荒れてしまっていて{/n}ダメね。{/n},现在海面这么汹涌{/n}完全不行呢。{/n}
{Par}なんでも この世界のあちこちに{/n}虹のアミュレットと呼ばれるモノがかくされているとか！,{Par}据说这世界到处都藏着{/n}叫做彩虹护身符的东西！
赤・だいだい・黄・緑・{/n}青・藍（あい）・紫に{/n}それぞれ輝く石だとか！,赤・橙・黄・绿・青・蓝・紫{/n}闪耀着光芒的石头！{/n}
たくさん集めると{/n}いいことあるらしいが…{/n}ほんとかね？,收集很多的话{/n}似乎会有好事发生…{/n}真的假的？
{Par}いやーん。{/n}ここが見つかるなんてぇ。{/n},{Par}讨厌啦～{/n}居然能找到这里。{/n}
わたしが こんなとこにいるなんて{/n}ママには ナイショよ？{/n}ね？ ね？,我在这里的事{/n}要对妈妈保密哦？{/n}呐？呐？
これあげるからさ、おねがい！{/n}{/n},这个给你、就拜托啦！{/n}{/n}
虹のアミュレット（むらさき）を{/n}手に入れた！{/n},获得了彩虹护身符（紫）！{/n}{/n}
{Par}うーん、おちつくわねぇ、ここは。すずしいし。{/n}ママに 用も言いつけられないし。,{Par}唔—、这里真让人平静呢。{/n}又凉爽又不用被妈妈吩咐做事。{/n}
{Par}みんな 悪くいうけど{/n}このジムニー、{/n}おとなしい いいコよ。,{Par}大家都它说坏话、{/n}但吉姆尼其实是{/n}很温顺的好孩子。
どうして{/n}わかってくれないのかな…。{/n},为什么{/n}大家都不理解呢…{/n}
ジムニーっていうんだ、{/n}このコ…{/n},它叫吉姆尼、{/n}这孩子…{/n}
かわいいね！{/n}{/n},好可爱！{/n}{/n}
えっ…{/n}{/n},诶…{/n}{/n}
あ、ありがとう！{/n}そんなこと言われたの、{/n}初めて…。,谢、谢谢！{/n}第一次有人{/n}这么说…
{Par}ありがとう。{/n}{/n},{Par}谢谢。{/n}{/n}
おねえちゃんたちは すなおに{/n}ジムニーのこと 見てくれる…{/n}とっても うれしいわ！,大姐姐们能坦率地{/n}看待吉姆尼…{/n}我真的好开心！
{Par}くぴー。{/n}{/n},{Par}呼啊～{/n}{/n}
{Par}「水流超波斬」は{/n}マスターしただろ？{/n}しっかりやれよ！,{Par}「水流超破斩」{/n}已经掌握了吧？{/n}要好好使用啊！
{Par}セラ？{/n}{/n},{Par}塞拉？{/n}{/n}
あんなやつ、仲間はずれだよ！{/n}{/n},那种家伙、活该被孤立！{/n}{/n}
だって、変な動物{/n}飼ってるんだもん。{/n},谁叫她养着奇怪的动物。{/n}{/n}
{Par}セラ？{/n}{/n},{Par}塞拉？{/n}{/n}
あんなやつ、仲間はずれだよ！{/n}{/n},那种家伙、活该被孤立！{/n}{/n}
だって、みんなが 怪物を{/n}飼うのをやめろって言っても{/n}全然 言うこときかないんだ。,明明大家都劝她{/n}别养那怪物了、{/n}她却完全不听。
なまいきだよ！{/n}{/n},太嚣张了！{/n}{/n}
{Par}セラというコは 昔から{/n}おとなしくて静かなコでした。{/n},{Par}塞拉那孩子{/n}以前是很文静乖巧的。{/n}
この間までは 普通の動物を{/n}飼っていたはずなのに…。{/n},直到不久前{/n}应该都养着普通动物…{/n}
わたしも かわいそうだとは{/n}思うんですけど、あの怪物を{/n}飼ってるのだけは どうも…。,虽然觉得她可怜、{/n}但养那种怪物实在是…{/n}
{Par}わたしは{/n}このタフロンの村の長老です。{/n},{Par}我是{/n}塔夫隆村的长老。{/n}
旅の方、何か{/n}わからないことがあったら、{/n}何でも きいてくだされ。,旅行者有什么不明白的、{/n}尽管问我吧。{/n}
{Par}わたしは{/n}このタフロンの村の長老です。{/n},{Par}我是{/n}塔夫隆村的长老。{/n}
