{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}な、なんじゃ 今の,{Par}刚、刚才那是、怎么回事啊
どぉん！,咚！！
という地響きは{var3}{/n}{/n},这般地动山摇的声响{var3}{/n}{/n}
{Par}お墓だ。{/n}「最愛の妻 ここにねむる」{/n}…と書いてある。,{Par}是座坟墓。{/n}「最爱的妻子 长眠于此」{/n}…如此写着。
{Par}「最愛の妻 ここにねむる」か…。{/n}{/n},{Par}「最爱的妻子 长眠于此」吗…。{/n}{/n}
{Par}「最愛の妻 ここにねむる」と{/n}記されていますわ。{/n},{Par}「最爱的妻子 长眠于此」{/n}这般记载着呢。{/n}
お墓の前に 新しい花が{/n}供えられています。さぞかし{/n}愛された方だったのでしょうね。,墓前供奉着新鲜的花朵。{/n}想必是位深受爱戴的人吧。{/n}
{Par}大きいかめがおいてある。{/n}{/n},{Par}摆着个大陶罐。{/n}{/n}
{Par}水が入ったかめだわ。{/n}{/n},{Par}是盛着水的陶罐呢。{/n}{/n}
{Par}かめが二つおいてありますわ。{/n}その両方に水が入っています。{/n},{Par}摆放着两个陶罐呢。{/n}两边都盛着水。{/n}
{Par}よかった、花は無事だ！{/n}{/n},{Par}太好了、花没事！{/n}{/n}
{Par}もう少しで{/n}危ないところだったわね。{/n},{Par}刚才真是{/n}千钧一发呢。{/n}
{Par}大切にされていたと思われる{/n}この お花は無事でしたわね。{/n},{Par}这朵想必被珍视着的{/n}花儿安然无恙呢。{/n}
{Par}包丁が落ちてる…危ない♨{/n}{/n},{Par}菜刀掉在地上…危险♨{/n}{/n}
{Par}かべにかかっていた調理道具が{/n}床に落ちちゃってるわ。{/n},{Par}墙上挂着的厨具{/n}都掉到地板上了呢。{/n}
{Par}調理道具が{/n}散乱してしまっていますわ。{/n},{Par}厨具{/n}散落得到处都是呢。{/n}
{Par}つぼだ。{/n}何が入っているのか{/n}わからない つぼだ。,{Par}是个壶。{/n}不知装着什么的壶。{/n}
{Par}中身の想像がしたくない つぼは{/n}無事だったみたいね。{/n},{Par}这个不想知道是什么的壶{/n}似乎安然无恙呢。{/n}
{Par}このつぼは無事ですわ。{/n}…よかった。{/n},{Par}这个壶没事呢。{/n}…太好了。{/n}
{Par}暖炉には{/n}火が 燃えたままだ。{/n},{Par}壁炉里{/n}火还在燃着。{/n}
{Par}暖炉の火は ついたままだけど、{/n}どこにも燃え移った様子はないわ。よかった。,{Par}壁炉的火虽然还烧着、{/n}但哪儿都没有延烧的迹象呢。{/n}太好了。
{Par}たなの上の つぼは{/n}落ちてしまっています。{/n},{Par}架子上的壶{/n}摔下来了。{/n}
{Par}このたなは平気だ。{/n}{/n},{Par}这个架子没问题。{/n}{/n}
{Par}日曜大工のたなも{/n}無事だったみたいね。{/n},{Par}做木工活的架子{/n}似乎也没事呢。{/n}
{Par}ハンドメイドのたなは{/n}損害ありませんわ。{/n},{Par}手工制作的架子{/n}没有受损呢。{/n}
{Par}暖炉に使う たきぎは{/n}きれいなままだ。{/n},{Par}壁炉用的薪柴{/n}还保持着原样。{/n}
{Par}たきぎは無事ね。{/n}散乱しててもおかしくないけど…。,{Par}薪柴没事呢。{/n}明明散落一地也不奇怪的…
{Par}たきぎは 何事もなかったかの{/n}ようですわ。ふしぎですわね。,{Par}薪柴仿佛{/n}什么都没发生过似的呢。{/n}真不可思议呢。
{Par}このイスは無事だ。{/n}{/n},{Par}这把椅子没事。{/n}{/n}
{Par}このイスも平気だわ。{/n}{/n},{Par}这把椅子也没问题呢。{/n}{/n}
{Par}この手作りのイスは無事ですわ。{/n}{/n},{Par}这把手工的椅子安然无恙呢。{/n}{/n}
{Par}がっちりした 重厚なテーブルだ。{/n}花は たおれちゃってる。{/n},{Par}是张厚重结实的大桌子。{/n}花瓶却倒下了。{/n}
{Par}かびんが倒れちゃってるわ。{/n}{/n},{Par}花瓶倒下了呢。{/n}{/n}
{Par}お花が…！{/n}{/n},{Par}花…！{/n}{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
{Par}もう 何もないよ。{/n}{/n},{Par}已经什么都没有了哦。{/n}{/n}
{Par}もう 何も見あたらないわね。{/n}{/n},{Par}已经找不到{/n}任何东西了呢。{/n}
{Par}残念ながら、{/n}もう 何もありませんわ。{/n},{Par}很遗憾、{/n}已经什么都没有了呢。{/n}
{Par}ラファーガ…{/n}{/n},{Par}拉法格…{/n}{/n}
{Par}ラファーガ…{/n}エメロード姫は{/n}わたしたちが きっと…！,{Par}拉法格…{/n}艾美诺公主{/n}我们一定会…！
{Par}お墓ですわ…。{/n}ラファーガさんの剣が{/n}鈍く 光を放っています…。,{Par}是坟墓…。{/n}拉法格先生的剑{/n}正黯淡地发着光…。
