{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あれ、きみ…{/n}なんで こんなとこに？{/n},{Par}哎呀、你…{/n}为什么会在这种地方？{/n}
そんなことより…{/n}ねぇ、アベニールって人が{/n}この先に入っていかなかった？,比起那个…{/n}喂、叫做阿贝尼尔的人{/n}没有往这前面去吗？
知らないよ。それより、{/n}ここから先にいっちゃダメだ！{/n}この上には…あ、いや…,不知道啊。而且、{/n}从这里不能再往前去！{/n}这上面有…啊、不…
その…{/n}凶暴な怪物がいて、危ないんだ！{/n},那个…{/n}有凶暴的怪物、很危险的！{/n}
でも…{/n}わたくしたち、{/n}行かなければなりませんの。,但是…{/n}我们、{/n}不得不去呢。
アベニールを{/n}助けなきゃいけないんだ！{/n},必须、{/n}去救阿贝尼尔才行！{/n}
どうして？{/n}関係ないじゃない、そんな人！{/n}ほうっておけばいいんだ！,为什么？{/n}那种人无关紧要吧！{/n}放着不管不就好了！
どうして 他人のために{/n}そんなに 自分を{/n}犠牲に できるのさ{var3},为什么 为了其他人{/n}能如此牺牲自己呢{var3}{/n}
犠牲だなんて思わないよ。{/n}わたしたちは、自分の意志に{/n}そむかない…それだけだよ。,才不觉得是牺牲哦。{/n}我们只是、不想违背{/n}自己的意志…仅此而已。
そのために どんなに{/n}危ない目にあっても？{/n},为了那种事{/n}无论是多危险的情况？{/n}
そうだね…{/n}どうしてだろ…{/n},是啊…{/n}为什么呢…{/n}
この旅も、最初は ただ{/n}自分の世界に戻るため…{/n}そう思っていたけど…,这趟旅程、最初也只是{/n}为了回到自己的世界…{/n}虽然这么想着…
でも、今は違う…！{/n}{/n},但是、现在不同了…！{/n}{/n}
この 空や、山や、海や…{/n}そこに住む人々を 守りたいんだ！{/n},想要守护住{/n}这片天空、山脉、海洋…{/n}以及居住在此的人们！
わたしも、このセフィーロが{/n}好きになったのかな？{/n},我大概、也喜欢上{/n}锡菲罗这里了吧？{/n}
ごめん。{/n}キミに こんなこと言っても、{/n}よく わからないよね。,抱歉。{/n}对你说这些、{/n}你也不太明白吧。
心配してくれて ありがとう。{/n}でも、だいじょうぶだから…{/n}そこを どいて？,谢谢你的担心。{/n}但是、没问题的…{/n}能请你让开吗？
…ぼくも行く！ 連れてって{var4}{/n}{/n},…我也要去！ 带我一起{var4}{/n}{/n}
だめだよ、そんな！{/n}{/n},不行啦、这样！{/n}{/n}
なんで自分はよくて{/n}ぼくは ダメなのさ？{/n},为什么自己就可以{/n}我就不行呢？{/n}
あの…{/n}とーっても コワいですわよ？{/n},那个…{/n}这可是非常～恐怖的哟？{/n}
ぼくだって…{/n}やらなきゃいけないことが{/n}あるんだ！,我也有…{/n}不得不去做的事啊！{/n}
ワケありみたいね。{/n}{/n},看来是有隐情呢。{/n}{/n}
きみ、名前は？{/n}{/n},你、叫什么名字？{/n}{/n}
え…えと…ア…アルト。{/n}{/n},呃…那个…阿…阿尔托。{/n}{/n}
アルトか…{/n}よし、いっしょに行こう！{/n},阿尔托啊…{/n}好、一起去吧！{/n}
ありがとう！{/n}{/n},谢谢！{/n}{/n}
