{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}待って、みんな！{/n}なんだか…泣いてるみたい…。{/n},{Par}稍等、大家！{/n}总觉得…好像在哭泣的样子…。{/n}
泣いてるって…{/n}この怪物が？{/n},哭泣是说…{/n}这头怪物？{/n}
どういうことですの？{/n}{/n},究竟怎么回事？{/n}{/n}
{Par}そうだったのか！{/n}{/n},{Par}原来是这样啊！{/n}{/n}
ど、どうしましたの？{/n}{/n},怎、怎么啦？{/n}{/n}
昼寝をしてる間に 背中に{/n}土がたまったんだって。{/n},好像是在睡懒觉的时候{/n}背上堆积了很多泥土啊。{/n}
それで？{/n}{/n},然后呢？{/n}{/n}
その土を落とそうとして、陸に{/n}上がって 身体をふるわせていた{/n}だけなんだってさ。,大概只是想甩掉那些土{/n}才爬到陆地上来{/n}使劲摇晃身体的啦。
あらららら。{/n}{/n},哎呀呀呀。{/n}{/n}
昼寝って…{/n}いったい 何百年{/n}寝ていらしたんでしょうかねぇ。,说到睡懒觉…{/n}究竟睡了多久呢{/n}几百年都不止了吧？
