{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}これが 伝説の泉、エテルナ…？{/n}{/n},{Par}这就是{/n}传说之泉艾蒂露娜…？{/n}
どうやら この中に{/n}入っていかなければ{/n}ならないようですわね。,看来 必须得{/n}进入这里面才行呢。{/n}
こっ、この中に入るのォ？{/n}{/n},要、要进去里面吗？{/n}{/n}
よし！ 行こう！{/n}海ちゃん、風ちゃん！{/n},好！我们走吧！{/n}小海、小风！{/n}
ちょっと待ちなさいよ！{/n}深さもわからないし、{/n}く、空気だって！,稍微等一下啦！{/n}连深度都不清楚、{/n}空、空气也不知道够不够啊！
でも、ここに立っていたって{/n}しかたありませんしねぇ。{/n},可是 在这里站着{/n}也无济于事呀。{/n}
海ちゃん…{/n}{/n},小海…{/n}{/n}
んーもう{/n}しょうがないわねぇ！{/n}い、いきましょう！,嗯～真是{/n}拿你没办法呢！{/n}走、走吧！
