{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}さあ！ {var0}よ！{/n}おまえたちも 魔神を！{/n},{Par}来吧！ {var0}啊！{/n}你们也要召唤魔神！{/n}
できないよ、そんなこと！{/n}{/n},做不到啊、这种事！{/n}{/n}
やるのだ！,战斗吧！
やらねば おまえたちは{/n}東京へ 帰れんぞ！{/n},不这样做的话{/n}你们就回不去东京了！{/n}
そして…{/n}エメロード姫も 救われない！{/n},而且…{/n}艾美诺公主也得不到救赎！{/n}
やらなきゃ…いけないのか？{/n}本当に…エメロード姫を…？{/n},非要战斗…不可吗？{/n}真的…要对艾美诺公主…？{/n}
このままでは、逆上した{/n}姫によって、セフィーロが{/n}メチャクチャにされてしまう！,再这样下去、{/n}失控的公主会把锡菲罗{/n}破坏得乱七八糟的！
それは、本来のエメロード姫の{/n}意志に反することなのだ！{/n}たのむ！ {var0}{var4},那样的话、就违背了{/n}艾美诺公主原本的意志啊！{/n}拜托了！ {var0}{var4}
くっ…{/n},唔…{/n}
うぉぉおおお！,呜啊啊啊啊！
