{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}こ、これは…！{/n}{/n},{Par}这、这是…！{/n}{/n}
枯れてますわねぇ。{/n}{/n},完全枯掉了呢～。{/n}{/n}
最後の一葉が残ってるわ！{/n}あれを とるのよ！{/n},还留着最后一片叶子！{/n}快去取下那个！{/n}
{Par}あそこ、重衝粉砕弾で{/n}こわれそうだけど…{/n},{Par}那里、用重冲粉碎弹的话{/n}似乎能破坏掉…{/n}
でも ここでは、助走距離が{/n}充分には取れません。スピードを{/n}乗せることはできませんわ。,但是在这里、{/n}助跑距离不够充分啊。{/n}无法充分加速呢。
…そうですわ！{/n}{/n},…有主意了！{/n}{/n}
あの、かけっこのお兄さんに{/n}「瞬発疾行脚」を{/n}教えてもらいましょう！,那个、去向跑步的那位大哥{/n}请教「瞬发疾行脚」吧！{/n}
えーっ！{/n}あんなヤツに教えを乞うの？{/n}…気が進まないなぁ。,唉——！{/n}要向那种家伙请教？{/n}…不太情愿呢。
