{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}なんだ、フェリオじゃない。{/n}{/n},{Par}什么啊、这不是菲力欧嘛。{/n}{/n}
また 会ったね！{/n}{/n},又见面了呢！{/n}{/n}
うわっ！ お、おまえたち！{/n}{/n},呜哇！你、你们！{/n}{/n}
けっこう モテてるのねぇ。{/n}{/n},还挺受欢迎的嘛～。{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
ふ…風じゃないか…{/n}ひ、久しぶりだな…。{/n},呼…是风啊…{/n}好、好久不见…。{/n}
ずいぶん 楽しそうですのね…。{/n}{/n},你看起来相当开心呢…。{/n}{/n}
えっ！{/n}い、いやっ！ そのっ！{/n},咦！{/n}不、不是的！那个…！{/n}
どうぞ、ごゆっくり！{/n}{/n},请慢慢享受！{/n}{/n}
{Par}おい、ちょっと待てよッ！{/n}{/n},{Par}喂、给我等等啊！{/n}{/n}
{Par}はなしてくださいっ！{/n}{/n},{Par}请放开我！{/n}{/n}
{Par}風ちゃん、どうしたの？{/n}{/n},{Par}小风、怎么回事？{/n}{/n}
さぁねー？{/n}{/n},谁知道呢～？{/n}{/n}
