{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}わしゃ この{/n}ラカタク大滝の管理人じゃ。{/n},{Par}老夫是这座{/n}拉卡塔克大瀑布的管理人。{/n}
最近、水がふえて{/n}橋をわたるのは危険じゃ！{/n}通行は禁止じゃぞ。,最近水量增加、{/n}过桥很危险！{/n}禁止通行哦。
{Par}な、なにか{/n}大きな音がしたようじゃが…{/n},{Par}刚、刚才好像{/n}有什么巨大的声响…{/n}
気のせいかのぅ。{/n}{/n},是错觉吧。{/n}{/n}
{Par}さらに なにか{/n}大きな音がしたようじゃが…{/n},{Par}又传来了{/n}什么巨大的声响…{/n}
気のせい、気のせい。{/n}{/n},是错觉、一定是错觉。{/n}{/n}
{Par}橋が無くなっとるように{/n}見えるが…{/n},{Par}桥看起来好像{/n}消失了…{/n}
気のせい、気のせい。{/n}{/n},是错觉、一定是错觉。{/n}{/n}
{Par}つぼがある。{/n}{/n},{Par}有个陶罐。{/n}{/n}
{Par}どうして 道ばたに{/n}漫然とつぼが置いてあるのか{/n}ナゾよね。,{Par}为什么路边会{/n}随意放着陶罐呢{/n}真奇怪。
{Par}つぼですわ。{/n}黒くて大きいつぼですわ。{/n},{Par}是陶罐呢。{/n}又黑又大的陶罐呢。{/n}
{Par}虹のアミュレット（青）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（青）」！{/n}{/n}
{Par}虹のアミュレット（青）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（青）」！{/n}{/n}
{Par}虹のアミュレット（青）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（青）」！{/n}{/n}
{Par}小さい滝が 泉をつくっているね。{/n}{/n},{Par}小瀑布形成了泉水呢。{/n}{/n}
{Par}小さい滝ができているわ。{/n}本物に比べると かわいいものね。{/n},{Par}有座小瀑布呢。{/n}和真货相比真是可爱多了。{/n}
{Par}この大きな滝の 分家と{/n}いったところでしょうか。{/n},{Par}这算是大瀑布的{/n}旁支吧。{/n}
{Par}たんすだ。{/n}よそ様の家のものだから{/n}勝手にあけちゃいけない。,{Par}衣柜。{/n}别人家的不能随便开。{/n}
{Par}ちょっと地味な色のたんすだわ。{/n}決して立派ではないけど、{/n}落ちついた感じがするわね。,{Par}颜色朴素的衣柜呢。{/n}虽不够华丽、{/n}却有种沉稳的感觉。
{Par}たんすが二つ並んでいますわ。{/n}ナゾのレリーフが特徴的ですわね。,{Par}并排放着两个衣柜。{/n}上面的浮雕装饰很有特色呢。{/n}
{Par}小さな鏡がかかってるね。{/n}うーん、ちょっと{/n}高いとこにあるなぁ♨,{Par}挂着面小镜子。{/n}位置有点高呢♨{/n}
{Par}あ、鏡 発見！{/n}身だしなみを チェック チェック♥,{Par}发现镜子！{/n}整理仪容 检查检查♥
{Par}鏡がありますわ。{/n}一点のくもりもなく{/n}みがかれていますわね。,{Par}有面镜子。{/n}光洁如新{/n}一尘不染呢。
{Par}なにがなんだか わからない絵だ。{/n}{/n},{Par}完全看不懂的画。{/n}{/n}
{Par}えーっと…こういうの、{/n}抽象画っていうのよね？{/n},{Par}呃…这种{/n}应该叫抽象画吧？{/n}
{Par}抽象画ですわね。{/n}不思議な落ちつきを{/n}与えてくれる感じがしますわ。,{Par}是抽象画呢。{/n}有种令人平静的{/n}奇妙感觉。
{Par}これまたナゾの植物だ。{/n}くねくねしてる。{/n},{Par}又是没见过的植物。{/n}弯弯曲曲的。{/n}
{Par}この鉢植えの植物も{/n}変なカタチしてるわね。{/n},{Par}这盆植物也{/n}长得奇形怪状呢。{/n}
{Par}これも 見たこともない{/n}植物ですわね。{/n},{Par}这种植物也是{/n}从未见过的种类呢。{/n}
{Par}本だなには 本がいっぱいだ。{/n}{/n},{Par}书架上摆满书籍。{/n}{/n}
{Par}本だなだわ。{/n}読めない字で書かれた{/n}本がならんでる。,{Par}是书架呢。{/n}摆满了看不懂文字的书籍。{/n}
{Par}ここにある本の文字は{/n}理解できませんわね。{/n},{Par}这里的书都写着{/n}看不懂的文字呢。{/n}
この世界には 全く読めない字と、{/n}意味を感じることのできる字が{/n}混在するようですわね。,这个世界似乎混杂着{/n}完全看不懂的文字{/n}和能理解含义的文字呢。
{Par}台所だね。{/n}{/n},{Par}是厨房呢。{/n}{/n}
{Par}セフィーロのキッチンは{/n}どこも 立派ねぇ！{/n},{Par}锡菲罗的厨房{/n}都这么气派啊！{/n}
{Par}落ちついた感じのキッチンです。{/n}ここで料理すれば、何でも{/n}おいしくなりそうな気がしますわ。,{Par}沉稳风格的厨房呢。{/n}感觉在这里做饭{/n}什么都会变得美味。
{Par}暖炉とオーブンを{/n}兼ねてるのかな？{/n},{Par}兼具壁炉和烤箱{/n}的功能吗？{/n}
{Par}おーさぶ！{/n}水が近いせいか、ここも{/n}案外 冷えるのよね。,{Par}好冷！{/n}靠近水边的关系、{/n}这里意外地寒冷呢。
{Par}暖炉ですが…マントルピースの所、オーブンとしても使えるように{/n}なっているようですわ。,{Par}虽然是壁炉…但炉台部分{/n}似乎也能当作烤箱使用呢。{/n}
{Par}虹のアミュレット（むらさき）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（紫）」！{/n}{/n}
{Par}虹のアミュレット（むらさき）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（紫）」！{/n}{/n}
{Par}虹のアミュレット（むらさき）を{/n}手に入れた！{/n},{Par}获得「彩虹护身符（紫）」！{/n}{/n}
