{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここは ローゼンの村。{/n}{/n},{Par}这里是 罗森村。{/n}{/n}
あんまり寒いので 村のムードも{/n}沈みがちだったんだけど…{/n},因为实在太冷了 村子的氛围{/n}也显得很压抑…{/n}
今は 旅芸人が ２人も来ていて、{/n}とっても にぎやかよ。{/n},但现在有两位云游艺人到来、{/n}变得非常热闹哦。{/n}
{Par}この間やってきた 旅の踊り子…{/n}{/n},{Par}前阵子来的那位云游舞娘…{/n}{/n}
村の男どもは みな{/n}そいつに群がっておる。{/n},村里的男人们全都{/n}围着她团团转。{/n}
ゆるせん！,不可原谅！
…わしという者がありながら{var4},…明明有我在{var4}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
{Par}みぃんな うちの踊りに{/n}メロメロや！{/n},{Par}大家都被咱的舞蹈{/n}迷得神魂颠倒啦！{/n}
この 超プリティでナイスバディな{/n}カルディナさまの踊りになぁ！{/n},这可是超可爱身材又超棒的{/n}卡尔汀娜大人的舞蹈啊！{/n}
{Par}かわいいと思わない？{/n}{/n},{Par}不觉得很可爱吗？{/n}{/n}
母性本能を{/n}くすぐるっていうヤツ？{/n},就是会激发母性本能{/n}之类的感觉对吧？{/n}
{Par}なに何？{/n}何がおこったの？{/n},{Par}怎么啦？{/n}发生什么事了？{/n}
{Par}この美しい笛の音…{/n}{/n},{Par}这美妙的笛声…{/n}{/n}
心が洗われるわねぇ。{/n}{/n},心灵都被洗涤了呢。{/n}{/n}
{Par}ああーん。{/n}早く起きあがって{/n}また笛を吹いてー。,{Par}啊啊啊—。{/n}快点振作起来{/n}再吹笛子嘛—
{Par}笛吹きの旅の少年…{/n}どこから来て どこへ行くのか…{/n},{Par}那位吹笛子的云游少年…{/n}从何而来又去向何方…{/n}
ロマンチックよねぇ！{/n}{/n},真是浪漫呢！{/n}{/n}
{Par}笛吹きの少年と、どこからか{/n}現れた 旅の少女３人組…{/n}いったい どういう関係なのか？,{Par}吹笛少年与不知从何处{/n}现身的旅行少女三人组…{/n}究竟是什么关系？
ドラマチックよねぇ！{/n}{/n},真是充满戏剧性呀！{/n}{/n}
{Par}ス・テ・キー！{/n}{/n},{Par}最·棒·了！{/n}{/n}
{Par}オ・キ・テー！{/n}{/n},{Par}心·跳·加·速！{/n}{/n}
{Par}心のモヤモヤが{/n}吹っ飛んで行くようだよ、{/n}この笛を聞いていると。,{Par}听着这笛声、{/n}仿佛心中的阴霾{/n}都被一扫而空。
{Par}何が どうなったっていうのさ？{/n}モヤモヤモヤ…。{/n},{Par}到底发生什么了嘛？{/n}雾里看花雾里看花…{/n}
{Par}ファンクラブを{/n}作っちゃおうかしら。{/n}あなたたちも入らない？,{Par}要不要成立一个{/n}粉丝俱乐部呢？{/n}你们也加入如何？
{Par}あんたたち、{/n}フェリオの何なのさ！{/n},{Par}你们几个、{/n}和菲力欧是什么关系啊！{/n}
{Par}足腰の痛みも忘れるのぅ。{/n}{/n},{Par}连腰腿的疼痛都忘却了呐。{/n}{/n}
{Par}あややややや。{/n}どうしちまったのかのぅ。{/n},{Par}哎呀呀呀呀。{/n}到底是怎么回事啊。{/n}
{Par}こんな人が お兄ちゃんだったら{/n}良かったのになぁ！{/n},{Par}如果这样的人是我哥哥{/n}该有多好呀！{/n}
{Par}フェリオ、ちょっと{/n}情けないかも…。{/n},{Par}菲力欧、{/n}感觉有点可怜呢…{/n}
{Par}きゅー。{/n}{/n},{Par}啾—。{/n}{/n}
のびちゃってるよ、風ちゃん。{/n}{/n},你太夸张了啦、小风。{/n}{/n}
…知りませんわ。{/n}{/n},…不知道你在说什么。{/n}{/n}
{Par}旅芸人？{/n}{/n},{Par}云游艺人？{/n}{/n}
村の入り口の広場にいる{/n}あの踊り子と、広場にいる{/n}笛ふきの男の子のことね。,是说村口广场上的{/n}那位舞娘和吹笛少年吧。{/n}
しばらく前に あいついで{/n}この村にやって来たのよ。{/n}別に仲間じゃないみたいだけど。,他们前后脚来到这个村子呢。{/n}看起来不像同伴就是了。{/n}
男女で人気を二分、って{/n}ところかしらね。{/n},算是男女各占一半人气、{/n}平分秋色吧。{/n}
{Par}ウチのろくでなし、{/n}ひょいと出たきり{/n}戻らないんだよ。,{Par}我家那个没出息的、{/n}一溜烟跑出去{/n}就再也没回来。
また あのカルディナとかいう{/n}女のところで うつつを{/n}抜かしてるに違いないよ。,肯定是又在卡尔汀娜{/n}那女人那里鬼迷心窍了吧。{/n}
あたしも フェリオってコの笛を{/n}聞きに行っちゃおうかねぇ。{/n},我也该去听听{/n}菲力欧的笛声才对呢。{/n}
{Par}あの 踊ってる おねえちゃんの{/n}どこがそんなに いいんだろ？{/n},{Par}那个跳舞的大姐姐{/n}到底哪里好啦？{/n}
子どもにゃわからん！ …って{/n}とうちゃんは言うんだよね。{/n},小孩子不懂啦！{/n}…老爸总是这么说呢。{/n}
{Par}ここは宿屋です。{/n}チェックインの時間は{/n}まだですよ。…ところで…,{Par}这里是旅馆。{/n}入住时间还没到哦。{/n}…话说…
村の男の人たち、{/n}ヘンだと思われませんか？{/n},村里的男人们、{/n}不觉得奇怪吗？{/n}
あ…いえ、いいんです。{/n}旅の方に相談することでは{/n}ありませんし…ごめんなさい。,啊…不、没什么。{/n}不该向旅客抱怨这些的…{/n}抱歉。
{Par}旅の方、お疲れですね。{/n}どうぞ お泊まりください。{/n},{Par}旅客们累了吧。{/n}请在此留宿。{/n}
えっと…どうしよ。{/n}{/n},那个…要怎么办呢。{/n}{/n}
せっかくだから{/n}泊まっていきませんか？{/n},机会难得{/n}不住一晚吗？{/n}
はい{/n},是{/n}
いいえ{/n},否{/n}
{Par}寝るには まだ早いかな。{/n}あとで また来ます！{/n},{Par}现在睡觉还早呢。{/n}过会儿再来吧！{/n}
{Par}そうと決まれば、レッツゴー！{/n}{/n},{Par}既然决定了就出发吧！{/n}{/n}
{Par}わたしは旅の者だが、いったい{/n}どうなっちゃってるんだろうね、{/n}この世界は。,{Par}我虽然是旅人、{/n}但这个世界到底{/n}变成什么样了啊。
この村だって、以前来たときは{/n}こんなに 氷に包まれては{/n}いなかったのに…。,就连这个村子、{/n}上次来时也没被{/n}冰雪包裹成这样啊…
{Par}わしは この村はずれに ひとり、{/n}世を忍んで暮らす ばばあじゃ。{/n},{Par}老身是隐居在村郊的{/n}孤老婆子。{/n}
おぬしら、ここを見つけるとは{/n}見上げたものよのぅ。{/n},能找到这里{/n}也算你们有本事。{/n}
ほうびに、わしが{/n}この部屋にかくした 宝をやろう。{/n}探してみるがよいぞ。,作为奖励、就把老身{/n}藏在这个房间的宝物给你们吧。{/n}试着找找看吧。
{Par}「柱」に甘えてばかりで{/n}何の疑問も持たない者たちが{/n}わしは いやになったのじゃ。,{Par}那些只会依赖「柱」{/n}却毫无质疑之心的家伙们{/n}让老身心生厌恶。
だから こんなところで{/n}こんな生活をしておる。{/n},所以才在这种地方{/n}过着这样的生活。{/n}
最近の魔物騒ぎも、エメロード姫が{/n}われわれを いましめようと{/n}なさっているのではないのかのぅ。,最近的魔物骚动、{/n}恐怕也是艾美诺公主{/n}在警示我们吧。
{Par}うわー、すごい！{/n}これ、氷だよ！{/n},{Par}呜哇、好厉害！{/n}这是冰雕耶！{/n}
{Par}氷のオブジェだわ。{/n}この吹雪で こんなものが{/n}できたのかしら？,{Par}冰雕艺术品呢。{/n}难道是在暴风雪中{/n}自然形成的吗？
{Par}こんな芸術をも{/n}作り出してしまうとは、{/n}自然とは偉大な存在ですわね。,{Par}连这样的艺术品{/n}都能创造出来、{/n}大自然真是伟大的存在呢。
{Par}穴が 大きな岩でふさがれている。{/n}ちょっとやそっとじゃ{/n}びくともしそうもないなぁ。,{Par}洞口被巨大岩石堵住了。{/n}就凭这点力气{/n}根本纹丝不动嘛。
{Par}大きな穴の入り口が{/n}氷の岩でふさがってるわ。{/n},{Par}巨大的洞口被{/n}冰岩堵住了。{/n}
{Par}どうくつの入口に{/n}大きな氷の岩があって{/n}行く手をさえぎっていますわ。,{Par}洞窟入口处{/n}有巨大的冰岩{/n}阻挡了去路。
{Par}これがウワサの火山の地下道だね。ローゼンから 先に行くには、{/n}この岩をなんとかしないと…！,{Par}这就是传闻中的火山地道。{/n}要从罗森继续前进、{/n}必须解决这块岩石…！
{Par}火山の地下道を通るためには、{/n}この大岩がジャマね。{/n}なんとかできないのかしら…？,{Par}要通过火山地道、{/n}这块巨岩很碍事呢。{/n}没办法解决吗…？
{Par}この岩を なんとかして{/n}どかさないと、いつまでたっても{/n}進展はありませんわ。,{Par}不设法移开这块岩石、{/n}就永远无法{/n}取得进展呢。
{Par}よぉし、ラファーガから教わった{/n}「重衝粉砕弾」で{/n}この岩を こわそう！,{Par}好、用拉法格传授的{/n}「重冲粉碎弹」{/n}破坏这块岩石吧！
{Par}「重衝粉砕弾」があれば{/n}こんな岩、「ヘ」でもないわ！{/n},{Par}有「重冲粉碎弹」的话{/n}这种烂石头根本不在话下！{/n}
…あら、わたしったら{/n}今 何か はしたないこと{/n}言っちゃったかしら？,…哎呀、我刚才{/n}是不是说了{/n}不太淑女的话？
{Par}「重衝粉砕弾」で この岩を{/n}こわせば、先の村に続くという{/n}火山の地下道に入れますわね。,{Par}用「重冲粉碎弹」破坏岩石、{/n}就能进入通往邻村的{/n}火山地道了呢。
{Par}こんなところに 大きな台が！{/n}{/n},{Par}这种地方居然有大型舞台！{/n}{/n}
{Par}うわ、なぁに このステージ。{/n}ハデねぇ。{/n},{Par}哇、这舞台怎么回事。{/n}好华丽啊。{/n}
