{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}腰 抜かしてるよ。{/n}{/n},{Par}腿都吓软了呢。{/n}{/n}
何か 恐ろしいものでも{/n}ごらんになったのでしょうか？{/n},难道是看到了什么{/n}可怕的东西吗？{/n}
大物がいるってことかしらね！{/n}{/n},说不定有大家伙在呢！{/n}{/n}
{Par}は、はやく なんとかしてくれ！{/n}{/n},{Par}快、快点想想办法啊！{/n}{/n}
うん！{/n}海ちゃん、風ちゃん、行くよっ！{/n},嗯！{/n}小海、小风、要上咯！{/n}
{Par}こんなところに鏡がある…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}鏡だわ…？{/n}{/n},{Par}是镜子啊…？{/n}{/n}
{Par}鏡がありますわ。{/n}{/n},{Par}这里有面镜子呢。{/n}{/n}
{Par}クレフの姿は もう見えない…。{/n}{/n},{Par}已经看不到克雷夫的身影了…。{/n}{/n}
{Par}クレフの姿は もう現れないわ…。{/n}{/n},{Par}克雷夫的身影不会再出现了呢…。{/n}{/n}
{Par}クレフさんは もう お姿を{/n}見せてくださらないようですね…。,{Par}看来克雷夫先生似乎{/n}不会再现身了啊…。
{Par}この向こう、{/n}道があるみたいだけど…{/n}何とかして こわせないかな？,{Par}这前面、{/n}好像有路…{/n}能不能想办法破坏掉？
{Par}あらっぽい作りのバリケードね。{/n}{/n},{Par}真是做工粗糙的路障呢。{/n}{/n}
{Par}作りはメチャクチャですが、{/n}このバリケード、なかなか{/n}がんじょうにできていますわ。,{Par}虽然结构乱七八糟的、{/n}但这个路障意外地{/n}非常坚固呢。
わたくしたちだけで こわすのは{/n}たいへんそうですわね。何か{/n}利用できるものはないでしょうか…,光靠我们很难破坏呢。{/n}有没有什么{/n}可以利用的东西呢…
{Par}やったぁ！{/n}道を ふさいでた{/n}バリケードがなくなってるよ。,{Par}成功啦！{/n}堵住道路的{/n}路障消失不见了。
{Par}皮肉なものね。わたしたちの{/n}ジャマをしようとした結果が、{/n}反対になっちゃったんだもの。,{Par}真是讽刺呢。{/n}想要妨碍我们的结果、{/n}反而是帮了大忙。
{Par}あのカラフルなボールの破壊力は{/n}相当なものですね。{/n}思えば、危ないところでしたわ。,{Par}那个彩色球球的破坏力{/n}真是相当惊人呢。{/n}现在回想起来还真危险啊。
