{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ぶすぶすぶす…{/n}{/n},{Par}噗嘶噗嘶…{/n}{/n}
あ いや、{/n}あんたたちのことじゃないよ！{/n},啊 不是、{/n}不是说你们啦！{/n}
ここはアイアイの村だけどさ、{/n}火事で村が全焼しちゃって{/n}ぶすぶすいってるなぁって…,这里是艾艾村啦、{/n}因为火灾全村都烧光了{/n}所以发出噗嘶噗嘶的声音…
それだけ！{/n}{/n},就这样！{/n}{/n}
{Par}ここは 真っ黒な{/n}アイアイの村だ。{/n},{Par}这里是烧得焦黑的{/n}艾艾村。{/n}
{Par}ヘンよね。こんなに{/n}あっという間に 村中に{/n}炎が広がるなんてさ。,{Par}好奇怪哦。{/n}居然眨眼间火势就{/n}蔓延到整个村子。
だれかが やったにしても{/n}普通じゃないわよ！{/n},就算是有人纵火{/n}这也太不正常了！{/n}
{Par}いったい だれが{/n}やったんでしょう？{/n},{Par}究竟是{/n}谁干的呢？{/n}
{Par}あああああ、オレの家が！{/n}{/n},{Par}啊啊啊啊、我的家！{/n}{/n}
全焼…{var1}{/n}{/n},全烧了…{var1}{/n}{/n}
{Par}ああ、いつまでも{/n}タメ息ついてたって{/n}しょうがないよな。,{Par}唉、就算一直{/n}在这里唉声叹气{/n}也无济于事啊。
そろそろ{/n}村の再建にとりかかろう。{/n}うん、そうしよう。,差不多该着手{/n}重建村子了。{/n}嗯、就这么办吧。
{Par}となりの ライリーの村には{/n}セフィーロいちの治療院が{/n}あるんだよ。,{Par}隔壁的莱利村有{/n}锡菲罗首屈一指的治疗院哦。{/n}
ケガをしたなら そこで{/n}治してもらうがいいよ。{/n},受伤的话{/n}就去那里治疗吧。{/n}
{Par}ああ…{/n}途方に暮れてしまうねぇ。{/n},{Par}啊啊…{/n}真是走投无路了啊。{/n}
{Par}命さえあれば{/n}なんとかなるわい。{/n}なぁ、おじょうちゃんたち！,{Par}只要活着{/n}总会有办法的。{/n}对吧、小姑娘们！
{Par}何があっても、生きていれば{/n}そのうち 何とかなるだろうよ。{/n}ほっほっほ。,{Par}不管发生什么、{/n}只要活着总会有办法的。{/n}呵呵呵。
{Par}火事なんて、生まれてこの方{/n}初めて見ましたよ。{/n},{Par}火灾什么的、{/n}我这辈子还是头一次见到。{/n}
{Par}これから{/n}どうしましょうかねぇ。{/n},{Par}接下来{/n}该怎么办才好啊。{/n}
{Par}みんな 燃えちゃったよぅ。{/n}{/n},{Par}全都烧光光了啦。{/n}{/n}
{Par}寝るとこないの。{/n}{/n},{Par}连睡觉的地方都没了。{/n}{/n}
{Par}見ろ見ろ、このやけど！{/n}{/n},{Par}快看快看、这个烧伤！{/n}{/n}
これでアルティナちゃんに{/n}会いに行く口実ができたぞ！{/n},这下有借口去见{/n}阿尔缇娜妹妹了！{/n}
さっそく となり村の{/n}治療院にレッツゴー！{/n},马上去隔壁村的治疗院吧！{/n}{/n}
{Par}ああ！ アルティナちゃん、{/n}いつのまに あんなヤツと…{/n}シクシクシクシク…。,{Par}啊啊！阿尔缇娜妹妹、{/n}什么时候和那种家伙…{/n}呜呜呜呜…。
{Par}ああ！{/n}ありがとうございました。{/n}このご恩は 一生忘れませんわ！,{Par}啊啊！{/n}真是太感谢了。{/n}这份恩情永生难忘！
何か お礼をしたいのですが、{/n}わたしは この通り{/n}家を焼け出された身…。,虽然想答谢你们、{/n}但如你们所见{/n}我现在连家都被烧没了…
そうだ。これは この間 ひろって{/n}ポケットに入れていたものですが、{/n}こんなもので よろしければ…。,对了。这是前几天捡到的{/n}一直放在口袋里的东西、{/n}要是不嫌弃的话…。
虹のアミュレット（赤）を{/n}手に入れた！{/n},获得了彩虹护身符（赤）！{/n}{/n}
{Par}ありがとうございました。{/n}{/n},{Par}非常感谢。{/n}{/n}
{Par}えーっと…{/n}どちらさまでしたっけ？？{/n},{Par}那个…{/n}请问您是哪位来着？？{/n}
{Par}こわかったよー。{/n}{/n},{Par}好可怕啊。{/n}{/n}
{Par}おねえちゃんたち、{/n}あの時は ホントにありがとう！{/n},{Par}大姐姐们、{/n}那时候真的非常感谢！{/n}
ボクは おぼえてるよ！{/n}{/n},我会永远记得的！{/n}{/n}
