{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あらわれたわね、{/n}{var0}の卵さんたち。{/n},{Par}现身了呢、{/n}{var0}的菜鸟们。{/n}
アベニールっ！{/n}{/n},阿贝尼尔！{/n}{/n}
また おばさんが出てきたの？{/n}{/n},大婶又出来作祟了吗？{/n}{/n}
アベニールさんを{/n}離してくださいっ！{/n},快放开阿贝尼尔先生！{/n}{/n}
ふん…そうはいかなくてよ。{/n}{/n},哼…这可办不到呢。{/n}{/n}
わたしは なんとしても{/n}ザガート様の信頼を{/n}取り戻さねばならないの！,妾身无论如何{/n}都必须重新夺回{/n}扎加特大人的信赖！
そのためには、あなたがた{/n}{var0}の卵さんたちを{/n}倒さないとね。,为此就不得不打倒{/n}你们这些{var0}的菜鸟呢。{/n}
それより…面白い お仲間を{/n}つれていらっしゃるようね？{/n},话说回来…你们似乎{/n}带了一位有趣的同伴呢？{/n}
{var4}{/n}{/n},{var4}{/n}{/n}
アルトが どうかしたのか{var3}{/n}{/n},阿尔托 他怎么了吗{var3}{/n}{/n}
あぁら、何も気づいていないのね？{/n}{/n},哎呀呀、居然毫无察觉吗？{/n}{/n}
…ま、いいわ。黙っててあげる。{/n}感謝することね、{/n}アルトさんとやら…？,…嘛、也罢。妾身会保持沉默的。{/n}可要心怀感激哦、{/n}这位叫阿尔托的…？
く…だまれっ！{/n}{/n},少…少废话！{/n}{/n}
{Par}今だっ！{/n}{/n},{Par}就是现在！{/n}{/n}
{Par}ちいっ！{/n}{/n},{Par}啧！{/n}{/n}
{Par}アベニール！{/n}{/n},{Par}阿贝尼尔！{/n}{/n}
気をつけろ…{/n}む…し…{/n},当心…{/n}唔…嘶…{/n}
何？{/n}よく聞こえないわよ！{/n},什么？{/n}完全听不清啦！{/n}
命に別状はないみたいですわ。{/n}{/n},看来性命并无大碍呢{/n}{/n}
海さん、とりあえず 最後の葉を{/n}取ってから、アベニールさんを{/n}村に つれていきましょう！,海小姐、{/n}总之先摘取最后的叶子、{/n}然后把阿贝尼尔带回村子去！
そうね…。{/n}アベニール、すぐ戻ってくるから{/n}おとなしくしてなさいよ！,明白了…{/n}阿贝尼尔、我马上就回来{/n}要乖乖等着我哦！
