{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}アルシオーネ！{/n}{/n},{Par}阿尔希欧蕾！{/n}{/n}
まぁた あんたなの{var3}{/n}いいかげんにしなさいよ！{/n},又是你这家伙{var3}{/n}差不多适可而止了吧！{/n}
ホーホホホ！{/n}安心おし、{/n}{var0}の卵さんたち！,吼吼吼！{/n}放心好了{/n}{var0}的菜鸟们！
今回は わたしは{/n}高みの見物と{/n}しゃれこませていただくわ！,这次呢 我就{/n}居高临下地观战了哦！{/n}
じゃ…{/n}健闘をいのるわ。{/n}ホーホホホ！,那么…{/n}祝你们奋战好运哦。{/n}吼吼吼！
{Par}何ですの？ 今のは…！{/n}{/n},{Par}怎么回事？刚才那是什么…！{/n}{/n}
{Par}今度は カルディナ{var3}{/n}{/n},{Par}这回是卡尔汀娜{var3}{/n}{/n}
あんたら、マジで{/n}うち おこらしてくれたなぁ！{/n},你们这群混蛋{/n}真的把咱惹火了啊！{/n}
今度ばっかりは{/n}ようしゃせぇへんで！{/n}覚悟しィや！,这次可不会手下留情了！{/n}做好觉悟吧！{/n}
いったい 何を言ってるの？{/n}アルシオーネといい{/n}あんたといい…！,到底在说什么啊？{/n}阿尔希欧蕾的事也好{/n}你的事也好…！
イチイチうるさいわ！{/n}これでも 食らいィ！{/n},叽叽喳喳烦死人咧！{/n}尝尝这一招吧！{/n}
