{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここは セフィーロ。{/n}{/n},{Par}这里是锡菲罗。{/n}{/n}
おまえたちは「{var0}」となって この世界を救うべく、{/n}エメロード姫に召喚されたのだ。,你们作为「{var0}」{/n}被艾美诺公主召唤至此、{/n}必须拯救这个世界。
{Par}稲妻招来！{/n}{/n},{Par}闪电招来！{/n}{/n}
{Par}すごい…{/n}{/n},{Par}好厉害…{/n}{/n}
エメロード姫のおられたころの{/n}セフィーロはこうではなかった。{/n},艾美诺公主还在时的{/n}锡菲罗并非这般模样。{/n}
人や精霊、精獣たちが{/n}仲良く しあわせに{/n}くらしていた…。,人类、精灵与精兽们{/n}和睦幸福地生活着…。{/n}
だが、エメロード姫が{/n}捕らわれの身となってから、{/n}この世界は一変した。,然而自从艾美诺公主{/n}被掳走以后、{/n}这个世界便天翻地覆。
セフィーロは 魔物がうごめき、{/n}闘争と混乱であふれた世界と{/n}なってしまったのだ…。,如今的锡菲罗魔物横行、{/n}成为了充斥着争斗{/n}与混乱的世界…。
どうして そのお姫様が{/n}いなくなると、セフィーロは{/n}そんなになっちゃうんだ？,为什么那位公主一旦不在、{/n}锡菲罗就会变成这样呢？{/n}
エメロード姫は{/n}この世界の「柱」なのだ！{/n},艾美诺公主是{/n}这个世界的「柱」！{/n}
この世界では 何よりも{/n}「意志」がまさる。{/n},在这个世界里{/n}「意志」凌驾于万物之上。{/n}
「信じる心」が{/n}「力」となるのだ。{/n},「信仰之心」{/n}即是「力量」本身。{/n}
エメロード姫は その「祈り」で{/n}このセフィーロの 平和と秩序を{/n}支えておられた…。,艾美诺公主正是{/n}以「祈祷」维系着{/n}锡菲罗的和平与秩序…。
でも、誰かに{/n}捕らわれてしまった…{/n},可是却{/n}被某人掳走了…{/n}
だれなんだ？{/n}そのお姫様をさらったのは{var3}{/n},究竟是谁？{/n}绑架公主的{var3}{/n}
神官 ザガート…{/n}姫に次ぐ「力」の持ち主だ。{/n},是神官扎加特…{/n}仅次于公主的「力量」持有者。{/n}
ザガートは姫をさらい、そして…{/n}いずこかへ閉じこめたのだ。{/n},扎加特掳走公主后…{/n}将她幽禁在某处。{/n}
なんだか 信じられませんわね。{/n}{/n},总觉得…难以置信呢。{/n}{/n}
でも、わたしたちには{/n}関係ない話だわ。この世界のことはこの世界の人が 解決するべきよ。,但这与我们无关吧。{/n}这个世界的问题{/n}应该由本地人自己解决。
様々な魔術師、戦士、騎士たちが{/n}姫を救うためザガートと戦った。{/n}だが、勝てなかった…。,众多魔术师、战士与骑士们{/n}为拯救公主与扎加特交战。{/n}然而悉数败北…。
セフィーロの者ではダメなのだ。{/n}{/n},锡菲罗的子民无能为力。{/n}{/n}
わたし、やるよ！{/n}{var0}になって{/n}セフィーロを救う！,我、我来做！{/n}成为{var0}拯救锡菲罗！{/n}
ちょっと 待ちなさいよ！{/n}そんな 安うけあいして{/n}いいと思ってるの{var3},请等一下！{/n}随便就答应下来{/n}真的没问题吗{var3}
…姫の「願い」が{/n}おまえたちを この世界に呼んだ。{/n},…正是公主的「愿望」{/n}将你们召唤至此。{/n}
「{var0}」となって{/n}このセフィーロを救えれば、姫の{/n}願いはかなえられ、浄化される。,若能以「{var0}」的身份{/n}拯救锡菲罗、便能实现{/n}公主的愿望令世界得到净化。
そのときこそ、おまえたちは{/n}元の世界へ戻れるだろう。{/n},届时你们自当{/n}返回原本的世界。{/n}
わたくしたちに{/n}選択の余地はない、{/n}ということですわね。,也就是说我们{/n}并无选择余地、{/n}是这个意思吧。
このセフィーロを救ってほしい。{/n}「{var0}」となり、{/n}「魔神」をよみがえらせるのだ。,请务必拯救锡菲罗。{/n}成为「{var0}」{/n}并令「魔神」复苏。
マシン…？{/n}{/n},魔械…？{/n}{/n}
おまえたち、魔法は使えるか？{/n},你们会使用魔法吗？{/n}
はい{/n},会{/n}
いいえ{/n},不会{/n}
{Par}ほぅ！{/n}では使ってみろ。{/n},{Par}嚯！{/n}那就施展来看看。{/n}
え…いやぁ…そのぅ…{/n}{/n},呃…那个…这个…{/n}{/n}
{Par}そんなもの{/n}使えるワケないでしょう！{/n},{Par}怎么可能{/n}使得出来嘛！{/n}
{Par}魔法も使えんのか。{/n}それに その装備も{/n}なんとかせねばなるまい。,{Par}连魔法都不会用。{/n}并且、那些装备{/n}也得想办法改善。
魔法伝承！{/n}{/n},魔法传承！{/n}{/n}
{Par}わぁー、なにこれ。{/n}かっこいい！{/n},{Par}哇啊、这是什么。{/n}好帅气！{/n}
魔法を授けようとしたが、{/n}魔法の方で おまえたちを{/n}選んだようだ。,本想传授魔法、{/n}看来是魔法本身{/n}选择了你们。
ヒカルといったな？{/n}目を閉じよ。{/n},是叫光吗？{/n}闭上双眼。{/n}
わかるか？ おまえの中に{/n}「力」があることが…{/n}今までとは違う「力」が…,可曾察觉？{/n}你体内蕴藏着「力量」…{/n}与往日截然不同的「力量」…
わかる…{/n}なんだか 胸の奥が熱い…{/n}なにか 言葉が浮かんできて…,感受到了…{/n}胸口深处在发烫…{/n}有话语浮现心头…
そうだ。{/n}それが おまえの「魔法」だ。{/n},正是如此。{/n}那便是你的「魔法」。{/n}
{Par}何っ{var3}{/n}{/n},{Par}怎么回事{var3}{/n}{/n}
ザガートの手の者が{/n}現れたようだな。{/n},看来扎加特的爪牙{/n}已经追来了。{/n}
ええっ{var3}{/n},哎哎{var3}{/n}
精獣召喚！{/n}{/n},精兽召唤！{/n}{/n}
{Par}早く乗れ！{/n}{/n},{Par}快骑上去！{/n}{/n}
あなたは どうするんだ{var3}{/n}{/n},那您怎么办{var3}{/n}{/n}
追手をふせぐ。{/n}{/n},我来阻挡追兵。{/n}{/n}
そんな！{/n}{/n},这怎么行！{/n}{/n}
いいから行け！{/n}{/n},速速离开！{/n}{/n}
いいか、「魔神」を探すのだ！{/n}火山、海、空…{/n}「魔神」は そこにいる！,切记要去寻找「魔神」！{/n}火山、海洋、天空…{/n}「魔神」就在那些地方！
{Par}クレフ！{/n}{/n},{Par}克雷夫！{/n}{/n}
{Par}まず 西へ行け！{/n}「沈黙の森」にプレセアがいる。{/n}そこで 武器とモコナを…！,{Par}先往西行！{/n}「沉默之森」有普蕾西娅在。{/n}去获得武器和摩可拿…！
{Par}お久しぶりです、導師クレフ。{/n}{/n},{Par}久疏问候、导师克雷夫。{/n}{/n}
ザガートにくみするとは、{/n}我が教え子ながら あきれた{/n}ヤツだな、アルシオーネ。,竟投靠扎加特、{/n}作为我的学生实在是{/n}令人失望啊、阿尔希欧蕾。
導師には感謝していますわ。{/n}{/n},我对导师您始终心怀感激。{/n}{/n}
素晴らしい魔法を{/n}授けてくださいましたもの。{/n}こんなふうにね…,毕竟您将如此美妙的魔法{/n}倾囊相授了呀…{/n}就像这样…
{Par}さすがは 我が師、{/n}セフィーロ最高の魔導師！{/n},{Par}真不愧是吾师、{/n}锡菲罗首屈一指的魔导师！{/n}
わたしが おまえに魔法を{/n}教えたのは、エメロード姫を{/n}お守りするためだ！,我传授你的魔法是为{/n}守护艾美诺公主而存在！{/n}
このセフィーロを{/n}おびやかすためではない！{/n},绝非用来{/n}危害锡菲罗！{/n}
あいかわらず てきびしいこと。{/n}でも、おしゃべりしているヒマは{/n}ないのです、導師クレフ。,还是这般严厉呢。{/n}不过可没时间闲聊了、{/n}导师克雷夫。
…とは言うものの、まともに戦ってわたしが あなたに{/n}かなうはずもありませんわね。,…话虽如此、{/n}正面交锋的话{/n}我自然不是您的对手。
ザガート様、我に力を！{/n}{/n},扎加特大人、{/n}请赐予我力量！{/n}
やむをえん。{/n}{/n},没办法啊。{/n}{/n}
{Par}しまった！{/n}{/n},{Par}糟了！{/n}{/n}
すぐに追いついてあげるわ…{/n}{var0}の卵さんたち！{/n},很快就会追上你们的…{/n}{var0}的菜鸟们！{/n}
{Par}もし、あの者たちが{/n}アルシオーネに敗れるようなら…{/n},{Par}倘若那些孩子{/n}败给阿尔希欧蕾的话…{/n}
「{var0}」となり、{/n}「魔神」をよみがえらせる事など{/n}不可能だ。,成为「{var0}」{/n}并令魔神复苏之事{/n}将无从谈起。
「{var0}」の真の敵は、{/n}アルシオーネなど{/n}問題にならぬほど 強い…！,「{var0}」真正的敌人、{/n}其强大程度远非{/n}阿尔希欧蕾之流可比…！
頼むぞ…異世界の子どもたちよ…！{/n}{/n},拜托了…{/n}异世界的孩子们啊…！{/n}
