{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}よぅ、かわいい{/n}おじょうちゃんたち！{/n},{Par}哎哟～{/n}可爱的小姑娘们！{/n}
オレはアベニールってんだけど、{/n}いっしょに お茶でも どぅ？{/n},我叫阿贝尼尔、{/n}要不要一起喝个茶啊？{/n}
…セフィーロにも、{/n}ナンパするヤツなんているのね。{/n},…原来锡菲罗也有啊、{/n}这种搭讪的家伙。{/n}
{Par}わぁー、かけっこだ！{/n}{/n},{Par}哇啊～在赛跑呢！{/n}{/n}
ああ、入院してた子たちの{/n}リハビリさ。{/n}みんな なかなか 速いだろ？,啊啊、是住院的孩子们{/n}在做康复训练啦。{/n}大家跑得都挺快吧？
ま、あたしのカモシカのような{/n}脚には かなわないけどね。{/n},嘛、虽然根本比不上{/n}我羚羊般的长腿就是了～{/n}
カモシカ？ 何だそりゃ。{/n}そーゆー脚してんのか？{/n},羚羊？那是啥？{/n}你的腿真有那么厉害？{/n}
ちょっと！,喂！
じろじろ見ないでよっ！{/n},不要盯着看啦！{/n}
ま、いいや。そんなに{/n}脚の速さに 自信があるなら、{/n}試してみるかい？,嘛～也罢。既然{/n}你对脚力这么有自信、{/n}要不要比试看看？
わたしが やってみるよ！{/n}{/n},我要试试看！{/n}{/n}
よしなさいよ、光！{/n}あたしたちは{/n}そんなことしてるヒマは…,别闹了、光！{/n}我们可没时间{/n}做这种多余的事…
ははぁん、{/n}負けるのが こわいんだな。{/n},哈啊～{/n}该不会是怕输吧！{/n}
な…冗談はやめてよ。{/n}わたしが こんな子供たちに{/n}負けるわけないわ。,少…少胡说八道。{/n}我怎么可能会{/n}输给这种小鬼头。
ところがどっこい、{/n}この子どもたちは オレがいつも{/n}ケイコをつけてやってるんだ。,这你就错啦、{/n}这群小家伙可是{/n}老子亲自训练出来的！
おじょうちゃんが{/n}こいつらより速いとは、{/n}オレは思えねぇな。,要说小姑娘你{/n}能比他们更快～{/n}我可不信哟。
なぁんですってぇ！{/n}よし、{/n}やってあげようじゃないの！,岂～有此理！{/n}好啊、{/n}比就比！
よぉし、{/n}おじょうちゃんが負けたら{/n}オレとデートだ。,好咧～{/n}小姑娘要是输了{/n}就得跟我约会哟。
勝手なこと 言わないでよっ！{/n}{/n},别擅自做决定！{/n}{/n}
{Par}シ、ショック…！{/n}{/n},{Par}唔、唔啊…！{/n}{/n}
{Par}はっはっは！{/n}{/n},{Par}哈哈哈！{/n}{/n}
{Par}この「瞬発疾行脚」（しゅんぱつ{/n}しっこうきゃく）がポイントさ。{/n}まだまだ修行が足らんな！,{Par}关键就在这招「瞬发疾行脚」啦！{/n}修行还远远不足呢！{/n}
く、くやしーッ！{/n}{/n},可、可恶啊ー！{/n}{/n}
デート。{/n}{/n},约会。{/n}{/n}
知らないわよっ！,我才不知道啦！
