{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}光さん、海さん、{/n}見てください。{/n},{Par}光小姐、海小姐、{/n}请看这里。{/n}
暖炉の中の灰に{/n}足跡がついていますわ！{/n},壁炉里的灰烬{/n}上面留着脚印呢！{/n}
あ、ホントだ。{/n}{/n},啊、真的耶。{/n}{/n}
どういうこと？{/n}部屋の中には 灰のついた{/n}足跡なんてないのに…,怎么回事？{/n}房间里明明没有{/n}沾着灰的脚印啊…
わかりましたわ。{/n}{/n},我明白了。{/n}{/n}
犯人は 煙突からおりてきて、{/n}暖炉で 靴を脱いでから{/n}部屋に入ったに違いありません。,犯人一定是从烟囱爬下来、{/n}在壁炉处脱掉鞋子{/n}然后才进入房间的。
そうか！{/n}そうすれば 足跡は{/n}残らないものね。,原来如此！{/n}这样的话就不会{/n}在房间里留下脚印了。
でも、暖炉の灰の足跡を{/n}消していかなかったのは{/n}うかつでしたわね。,但是犯人没有清理掉{/n}壁炉灰烬上面的脚印{/n}实在是粗心呢。
まだ 手がかりが{/n}あるかもしれない。{/n}煙突を のぼってみよう！,说不定还留着{/n}其他线索。{/n}我们试着爬上烟囱看看吧！
えっ…{/n}は、灰だらけに{/n}なっちゃうわよ？,诶…{/n}会、会弄得{/n}满身是灰的啊？
それが どーしたの？{/n}{/n},那又怎么啦？{/n}{/n}
…聞いたわたしが 悪かったわ。{/n}{/n},…当我没问好了。{/n}{/n}
