{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}フェリオ！{/n}{/n},{Par}菲力欧！{/n}{/n}
…助かったよ。{/n}{/n},…得救了。{/n}{/n}
それにしても、実は おまえたちが{/n}{var0}だったとはな。{/n}まいった、まいった…ん？,不过真没想到你们{/n}真的是{var0}啊。{/n}佩服佩服…嗯？
よ…かった…！{/n}{/n},太…好了…！{/n}{/n}
{Par}フェリオ…実は わたしたち{/n}このセフィーロを救ってくれって{/n}クレフに言われて…,{Par}菲力欧…其实我们{/n}是被克雷夫拜托{/n}来拯救锡菲罗的…
クレフに会ったのか？{/n}あの セフィーロ最高の魔導師に{var3}{/n},你见过克雷夫了？{/n}那个锡菲罗最伟大的魔导师{var3}{/n}
そうなんだ。{/n}それで…{/n},是呀。{/n}所以…{/n}
… … …{/n}{/n},… … …{/n}{/n}
そうか…ようやく納得いったぜ。{/n}伝説は本当だったんだな。{/n},这样啊…终于明白了。{/n}原来传说是真的啊。{/n}
このセフィーロの「柱」に{/n}異変 起こりし時、{/n}「異世界」より召喚さる者…,当锡菲罗的「柱」发生异变时、{/n}自「异世界」被召唤之人…{/n}
「{var0}」となりて{/n}「魔神」の力を借り 戦う…{/n},成为「{var0}」后{/n}借助「魔神」之力而战…{/n}
昔からの言い伝えだ。{/n}{/n},是自古流传的传说呢。{/n}{/n}
クレフも言っていたけど、{/n}どうして「異世界」の者で{/n}なければならないのかしら？,虽然克雷夫也说过、{/n}但为什么必须是{/n}「异世界」的人呢？
オレも それが{/n}納得いかなかったんだ。{/n},我以前也{/n}无法接受这个说法。{/n}
だから エテルナの泉に行って、{/n}{var0}になれないか{/n}試してみるつもりだった…。,所以原本打算去艾蒂露娜之泉、{/n}试试能不能成为{var0}…{/n}
しかし、本物の登場とあっちゃ{/n}もう オレの出る幕はないな。{/n},不过既然本尊登场了、{/n}就没有我出场的份啦。{/n}
エメロード姫を助けるため、オレはオレの道を探すことにしよう。{/n},为了拯救艾美诺公主、{/n}我要寻找属于自己的道路。{/n}
フェリオさん…{/n}{/n},菲力欧先生…{/n}{/n}
