{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}…じゃ、なんにも{/n}覚えていないんだ…。{/n},{Par}…这么说{/n}你完全不记得了啊…。{/n}
ああ…アヤしげな女が{/n}近づいてきて、声かけられたのは{/n}覚えてるんだけどさ…面目ない。,唔…只记得有个可疑的女人{/n}靠近搭话…真是惭愧啊。{/n}
よかったじゃない、風！{/n}{/n},这不是很好嘛、风！{/n}{/n}
な…なにがですの？{/n}{/n},什…什么很好啊？{/n}{/n}
あーら、しらばっくれちゃって。{/n}{/n},哎呀～还装傻呢。{/n}{/n}
わ、わたくしは 何も{/n}しらばっくれてなんか{/n}いませんわ。,我、我才没有{/n}装什么傻呢！{/n}
いつまで さわいでいる！{/n}{/n},你们还要嬉闹到什么时候！{/n}{/n}
{Par}あ、クレフ！{/n}{/n},{Par}啊、克雷夫！{/n}{/n}
さっさと ウインダムを{/n}おさめるのだ！{/n},抓紧时间收服温达姆吧！{/n}{/n}
{Par}そなたらの心の力、{/n}見せてもらった…{/n},{Par}汝等心灵之力、{/n}吾已领教…{/n}
我が名は ウインダム…{/n}鳳凰寺 風よ、{/n}そなたと共に戦う者だ。,吾名温达姆…{/n}凤凰寺风啊、{/n}吾即是与汝并肩作战者。
真なる{var0}への{/n}そなたたちの成長を、{/n}我も待つこととしよう…,且待汝等成长为{/n}真正的{var0}之时、{/n}吾将静候佳音…
