{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}はい、これが 生命の木の葉を{/n}せんじた薬です。{/n}どうぞ お持ちください。,{Par}来、这是用生命之树的{/n}叶子煎制的药。{/n}请收下吧。
{Par}やったぁ！{/n}これで ラファーガも{/n}元通りになるね！,{Par}太好啦！{/n}这样拉法格{/n}就能恢复原样了！
あの…ちょっと{/n}お尋ねしてよろしいですか？{/n},那个…可以{/n}稍微请教一下吗？{/n}
何でしょう？{/n}{/n},是什么呢？{/n}{/n}
あの生命の木の葉…{/n}あなた方が 取ってきて{/n}くださったのでしょ？,那片生命之树的叶子…{/n}是各位帮忙{/n}取回来的对吧？
え？ …えと…その…{/n}{/n},咦？…那个…这个…{/n}{/n}
いいんですよ。{/n}あのひとが取ってきたなんて{/n}できすぎですもの。,没关系的。{/n}说是那个人取回来的{/n}未免也太假了嘛。
でも、努力はしてくれた…{/n}それだけでもいいんです。{/n},不过、他确实努力过了…{/n}光是这点就足够了。{/n}
改めて お礼を{/n}言わせていただきますわ。{/n}ありがとうございました。{/n},请允许我{/n}再次向你们道谢。{/n}非常感谢。
