{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}海ちゃん、風ちゃん、{/n}カメさんが 空中庭園まで{/n}つれていってくれるってさ！,{Par}小海、小风、{/n}龟先生说会载我们{/n}到空中庭园去呢！
光さん…{/n}精獣さん、ですわよ？{/n},光小姐…{/n}是精兽先生啦！{/n}
ま、カメにしか見えないもんね。{/n}いいんじゃない？{/n},嘛、看起来完全就是乌龟啊。{/n}有什么关系嘛？{/n}
おねえちゃんたち…{/n}もしかして…本当に…？{/n},姐姐们…{/n}该不会…真的…？{/n}
さあ…ねっ！{/n}{/n},嘛…谁知道呢～！{/n}{/n}
{Par}バイバイ！{/n}おねえちゃんたち！{/n},{Par}拜拜！{/n}姐姐们！{/n}
じゃあねーっ！{/n}{/n},回头见啦——！{/n}{/n}
お世話になりました！{/n}{/n},承蒙照顾了！{/n}{/n}
元気でねーっ！{/n}{/n},多多保重啊——！{/n}{/n}
またねーっ！{/n}{var0}さんたち！{/n},下次见啦——！{/n}{var0}们！{/n}
