{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}海ちゃん？ 風ちゃん？{/n}{/n},{Par}小海？小风？{/n}{/n}
はぐれちゃったのかなぁ…。{/n}{/n},难道走散了吗…。{/n}{/n}
{Par}閃光{var3}{/n}{/n},{Par}闪光{var3}{/n}{/n}
閃光…だよね？{/n}{/n},是闪光…对吧？{/n}{/n}
{Par}どうして{/n}こんなところにいるんだ…？{/n},{Par}为什么{/n}会在这里…？{/n}
{Par}閃光？{/n}どうしたの、閃光！{/n},{Par}闪光？{/n}你怎么了、闪光！{/n}
閃光！ わたしだ！{/n}光だよ！{/n},闪光！是我啊！{/n}是小光啊！{/n}
聞こえないの{var3}{/n}{/n},听不见吗{var3}{/n}{/n}
{Par}いたっ！{/n}{/n},{Par}好痛！{/n}{/n}
閃光…どうして…{/n}{/n},闪光…为什么…{/n}{/n}
わたしのこと、{/n}きらいになったのか…？{/n},难道你{/n}讨厌我了吗…？{/n}
{Par}パパ？ ママ{var3}{/n}{/n},{Par}爸爸？妈妈{var3}{/n}{/n}
どうして…{/n}これは、夢なの…？{/n},为什么…{/n}这是在做梦吗…？{/n}
{Par}これは…{/n}夢なんかじゃない…！{/n},{Par}这…{/n}才不是梦…！{/n}
パパ！ ママ！{/n}やめてえぇっ！{/n},爸爸！妈妈！{/n}不要啊——！{/n}
{Par}どなたですの？{/n}{/n},{Par}您是哪位？{/n}{/n}
わたくし…{var3}{/n}{/n},我自己…{var3}{/n}{/n}
鏡…ではありませんわね…。{/n}{/n},并不是…镜子呢…。{/n}{/n}
{Par}命中したのは{/n}あちらの方ですのに、なぜ…？{/n}{/n},{Par}明明击中的是那边、{/n}为什么…？{/n}
あのひとを攻撃すれば{/n}わたくしも傷つく…あのひとが{/n}傷つくと わたくしも傷つく…,攻击那个人的话{/n}我也会受伤…那个人{/n}受伤的话、我也会受伤…
あれは…わたくし…！{/n}{/n},那是…我自己…！{/n}{/n}
{Par}{var0}たちよ…！{/n}{/n},{Par}{var0}们啊…！{/n}{/n}
{Par}その声は…{/n}東京タワーで聞いた…あの…{/n},{Par}这个声音是…{/n}在东京塔听过的…那个…{/n}
{Par}わたしたちを{/n}セフィーロに 召喚した…{/n},{Par}将我们召唤至{/n}锡菲罗的…{/n}
{Par}エメロード姫…？{/n}{/n},{Par}艾美诺公主…？{/n}{/n}
わたしは{/n}セフィーロの エメロード…{/n},我正是锡菲罗的{/n}艾美诺…{/n}
{var0}たちよ…{/n}悲しみに 心を支配されては{/n}いけません…,{var0}们啊…{/n}切莫让悲伤支配心灵…{/n}
{Par}心を強く持って、{/n}そして 考えて…{/n},{Par}请保持坚强的心、{/n}然后认真思考…{/n}
今 あなたたちの前にあるのは{/n}あなたたちの{/n}「大切なもの」ですか？,此刻在你们眼前的{/n}真的是你们的{/n}「珍视之物」吗？
大切な友だちだ！{/n}{/n},是最重要的朋友！{/n}{/n}
わたしが泣いているとき{/n}ずっと側にいてくれた！{/n}転んだら傷の心配をしてくれた！,在我哭泣的时候{/n}始终陪伴在我身边！{/n}摔倒时会担心我受伤！
人間の言葉は話せないけど、{/n}「心」でわかりあえる{/n}大切な 友だちなんだ！,虽然不会说人类的语言、{/n}却能通过「心灵」相互理解{/n}是最重要的朋友啊！
{Par}大切な両親よ！{/n}{/n},{Par}是重要的双亲啊！{/n}{/n}
大きくなったら、パパやママが{/n}わたしに注いでくれた愛情を{/n}少しづつ返していくつもりよ。,本想着等我长大以后、{/n}要将爸爸妈妈倾注给我的爱{/n}一点一点地回报回去的。
それなのに…{/n}パパやママと戦うなんて{/n}できるわけないわ！,可是…{/n}要和爸爸妈妈战斗什么的{/n}怎么可能办得到啊！
{Par}わたくしは{/n}わたくしが 大切ですわ。{/n},{Par}是我自己{/n}对我而言很重要呢。{/n}
もし わたくしに何かあったら…{/n}わたくしを愛してくださる方々を{/n}悲しませることになりますもの！,若我遭遇不测…{/n}会让关爱我的人们{/n}陷入悲伤之中的！
わたくしは まだ子どもだから…{/n}せめて わたくしが幸せである事が{/n}精いっぱいの恩返しなんです。,因为我还是孩子…{/n}至少能保持幸福的状态{/n}就是最大的报恩了。
だから、わたくしは{/n}わたくしが大切ですわ！{/n},因此我自己{/n}对我而言很重要呢！{/n}
{Par}では 考えて…{/n}{/n},{Par}那么请思考…{/n}{/n}
あなたたちの「大切なもの」は{/n}あなたたちが傷つくことを{/n}望んだりするでしょうか…？,你们的「珍视之物」{/n}会希望你们受到伤害吗…？{/n}
ちがう…閃光は{/n}こんなことはしない…閃光は{/n}いつも わたしを守ってくれた…,不对…{/n}闪光绝不会这样…{/n}闪光总是守护着我…
これは 閃光じゃない！{/n}{/n},这不是闪光！{/n}{/n}
{Par}パパやママは 絶対に{/n}わたしを傷つけたりしないわ！{/n},{Par}爸爸妈妈{/n}绝对不会伤害我的！{/n}
{Par}わたくしは 自分を{/n}傷つけたりしませんわ！{/n},{Par}我才不会伤害自己呢！{/n}{/n}
{Par}よくも 閃光の姿で{/n}だましてくれたな！{/n},{Par}竟敢伪装成闪光的模样{/n}来欺骗我！{/n}
